region,cases_distance,deaths_distance,cases_per_100k_distance,deaths_per_100k_distance,is_same_cluster
Brazil.regions.BA:Bom Jesus da Lapa,0.0,0.0,3.9983591523661657,0.0,False
Brazil.regions.GO:Minaçu,18.14457831325301,0.0,7.244691024334108,0.0,False
Brazil.regions.GO:Padre Bernardo,2.5,0.0,2.558664789057473,0.0,False
Brazil.regions.GO:Quirinópolis,9.071428571428571,0.0,1.3264379749582216,0.0,False
Brazil.regions.MA:Arame,13.303395399780943,0.0,20.98100776517926,0.0,False
Brazil.regions.MA:Parnarama,1.0,0.0,11.118858557881047,0.0,False
Brazil.regions.MG:Diamantina,2.466666666666667,0.0,9.411588186310619,0.0,False
Brazil.regions.MT:Sorriso,6.71157495256167,0.0,16.945127949120916,0.0,False
Brazil.regions.PA:Breu Branco,27.12687052700065,0.21470396877033182,0.9741973780875687,0.3250824709601366,False
Brazil.regions.PA:Ipixuna do Pará,14.483412322274882,0.0,27.093107897251922,0.0,False
Brazil.regions.PA:Ulianópolis,4.55787476280835,0.0,38.24686833009155,0.0,False
Brazil.regions.RO:Buritis,70.69559412550066,1.8925233644859816,1.4739649228102045,0.6960857653305558,False
Brazil.regions.RS:Caçapava do Sul,24.863070539419088,0.0,1.0659986715565963,0.0,False
Brazil.regions.RS:Itaqui,14.52727272727273,0.0,2.7483134159208515,0.0,False
Brazil.regions.RS:São Borja,11.6,0.0,3.5615675916170217,0.0,False
Brazil.regions.AL:Canapi,17.792838874680307,0.0,3.5118395918516168,0.0,False
Brazil.regions.AL:Maravilha,12.68888888888889,0.0,20.881387553305913,0.0,False
Brazil.regions.AL:Olho d'Água do Casado,2.0,0.0,10.328781584792406,0.0,False
Brazil.regions.BA:Araças,7.095238095238096,0.0,7.2943082403848205,0.0,False
Brazil.regions.BA:Itaberaba,52.94444444444444,0.9423076923076923,1.9217523310733031,0.4769276074983297,False
Brazil.regions.BA:Nordestina,29.48544819557625,0.0,11.190598738292602,0.0,False
Brazil.regions.BA:Ponto Novo,5.266666666666667,0.0,10.389032004569883,0.0,False
Brazil.regions.CE:Antonina do Norte,33.009478672985786,0.0,13.386930683961225,0.0,False
Brazil.regions.CE:Piquet Carneiro,2.0,0.0,5.5564129674681935,0.0,False
Brazil.regions.ES:Conceição da Barra,22.01897533206831,0.0,2.37726201979907,0.0,False
Brazil.regions.ES:Pancas,10.87136929460581,0.0,61.73146073832317,0.0,False
Brazil.regions.ES:Rio Bananal,27.646935568360394,0.0,23.501834324650627,0.0,False
Brazil.regions.ES:São Domingos do Norte,2.0,0.0,11.236592755227294,0.0,False
Brazil.regions.MA:Anapurus,11.238776837996097,0.0,126.84729841892843,0.0,False
Brazil.regions.MA:Cajari,13.95380611581002,0.0,78.05738168204577,0.0,False
Brazil.regions.MA:Central do Maranhão,8.428571428571429,0.0,20.654394269189037,0.0,False
Brazil.regions.MA:Coroatá,25.434225844004654,0.0,82.91352839972771,0.0,False
Brazil.regions.MA:Lago Verde,4.266666666666667,0.0,15.617040269637542,0.0,False
Brazil.regions.MA:Nina Rodrigues,4.266666666666667,0.0,17.663183366927417,0.0,False
Brazil.regions.MA:Senador Alexandre Costa,16.987212276214834,0.0,14.076178050122826,0.0,False
Brazil.regions.MA:São Bernardo,4.50383631713555,0.0,78.96376871163342,0.0,False
Brazil.regions.MA:Água Doce do Maranhão,12.996714129244252,0.0,60.81975713454919,0.0,False
Brazil.regions.MG:Cana Verde,13.340153452685422,0.0,96.64705554777684,0.0,False
Brazil.regions.MG:Capinópolis,24.863070539419088,0.0,3.2506077079066586,0.0,False
Brazil.regions.MG:Cruzília,9.321428571428571,0.0,5.316029996605943,0.0,False
Brazil.regions.MG:Divisa Nova,33.27962085308057,0.0,12.74930225215275,0.0,False
Brazil.regions.MG:Inhapim,7.095238095238096,0.0,3.2246069774813018,0.0,False
Brazil.regions.MG:Itaipé,3.9,0.0,7.28139409473537,0.0,False
Brazil.regions.MG:Itumirim,24.863070539419088,0.0,13.670484710446615,0.0,False
Brazil.regions.MG:Lagoa Dourada,2.0,0.0,7.346824809830489,0.0,False
