region,similarity,distance,days,score
Brazil.regions.SE:São Cristóvão,0.9999902996673407,3.4,25,0.9999902996673405
Brazil.regions.SP:Sumaré,0.9999889302086122,3.88,25,0.9999889302086121
Brazil.regions.AL:Satuba,0.9999883596008088,4.08,25,0.9999883596008087
Brazil.regions.PE:Jaboatão dos Guararapes,0.999987903114566,4.24,25,0.9999879031145659
Brazil.regions.SP:Suzano,0.9999877889930052,4.28,25,0.9999877889930051
Japan,0.999987104263641,4.52,25,0.9999871042636409
Thailand,0.9999869901420804,4.56,25,0.9999869901420803
Brazil.regions.SP:Ribeirão Pires,0.9999868760205196,4.6,25,0.9999868760205195
Brazil.regions.SP:Mauá,0.999986761898959,4.64,25,0.9999867618989589
Brazil.regions.PA:Salinópolis,0.9999866477773982,4.68,25,0.9999866477773981
Brazil.regions.MA:Chapadinha,0.9999866477773982,4.68,25,0.9999866477773981
Brazil.regions.CE:Chorozinho,0.9999865336558376,4.72,25,0.9999865336558375
Brazil.regions.MA:Barreirinhas,0.9999864195342768,4.76,25,0.9999864195342767
Brazil.regions.ES:Cariacica,0.9999864195342768,4.76,25,0.9999864195342767
Brazil.regions.SP:Jundiaí,0.9999863054127162,4.8,25,0.999986305412716
Brazil.regions.SP:São José do Rio Preto,0.9999860771695948,4.88,25,0.9999860771695946
Brazil.regions.AM:Itacoatiara,0.9999858489264734,4.96,25,0.9999858489264732
Brazil.regions.PA:Santo Antônio do Tauá,0.9999858489264734,4.96,25,0.9999858489264732
Brazil.regions.PE:Escada,0.9999857348049127,5.0,25,0.9999857348049126
Afghanistan,0.999985620683352,5.04,25,0.9999856206833518
Brazil.regions.AP:Mazagão,0.9999855065617913,5.08,25,0.9999855065617912
Brazil.regions.AP:Porto Grande,0.9999852783186699,5.16,25,0.9999852783186698
Benin,0.9999851641971091,5.2,25,0.999985164197109
Brazil.regions.BA:Itabuna,0.9999850500755485,5.24,25,0.9999850500755484
Brazil.regions.SC:Armazém,0.9999849359539877,5.28,25,0.9999849359539876
Brazil.regions.MA:Bacabeira,0.9999848218324271,5.32,25,0.999984821832427
Brazil.regions.SC:Joinville,0.9999848218324271,5.32,25,0.999984821832427
Togo,0.9999848218324271,5.32,25,0.999984821832427
Brazil.regions.PB:Bayeux,0.9999848218324271,5.32,25,0.999984821832427
Saint_Lucia,0.9999844794677449,5.44,25,0.9999844794677448
Brazil.regions.SP:Arujá,0.9999844794677449,5.44,25,0.9999844794677448
Brazil.regions.SE:Lagarto,0.9999843653461843,5.48,25,0.9999843653461842
Brazil.regions.SP:Andradina,0.9999842512246235,5.52,25,0.9999842512246234
Brazil.regions.PA:Marituba,0.9999842512246235,5.52,25,0.9999842512246234
Brazil.regions.CE:Aracoiaba,0.9999841371030629,5.56,25,0.9999841371030628
Brazil.regions.AL,0.9999841371030629,5.56,25,0.9999841371030628
Brazil.regions.SP:Iguape,0.9999841371030629,5.56,25,0.9999841371030628
Brazil.regions.MA:Trizidela do Vale,0.9999839088599415,5.64,25,0.9999839088599414
Brazil.regions.AM:Canutama,0.9999837947383808,5.68,25,0.9999837947383807
Brazil.regions.GO:Goianésia,0.9999837947383808,5.68,25,0.9999837947383807
Brazil.regions.CE:Baturité,0.9999837947383808,5.68,25,0.9999837947383807
Brazil.regions.CE:Massapê,0.9999836806168201,5.72,25,0.99998368061682
Namibia,0.9999836806168201,5.72,25,0.99998368061682
Brazil.regions.MG:Uberaba,0.9999835664952594,5.76,25,0.9999835664952593
