region,similarity,distance,days,score
Brazil.regions.PB:Riachão do Poço,1.0,0.0,25,0.9999999999999999
Brazil.regions.SP:Santo Antônio da Alegria,1.0,0.0,25,0.9999999999999999
Brazil.regions.CE:Farias Brito,1.0,0.0,25,0.9999999999999999
Brazil.regions.BA:Utinga,1.0,0.0,25,0.9999999999999999
Brazil.regions.PR:Campina da Lagoa,1.0,0.0,25,0.9999999999999999
Brazil.regions.PE:Gameleira,1.0,0.0,25,0.9999999999999999
Brazil.regions.CE:Salitre,1.0,0.0,25,0.9999999999999999
Brazil.regions.SC:Massaranduba,1.0,0.0,25,0.9999999999999999
Brazil.regions.RN:Cerro Corá,1.0,0.0,25,0.9999999999999999
Brazil.regions.BA:Araci,1.0,0.0,25,0.9999999999999999
Brazil.regions.RN:Lagoa de Pedras,1.0,0.0,25,0.9999999999999999
Brazil.regions.RN:Taipu,1.0,0.0,25,0.9999999999999999
Brazil.regions.SP:Caiabu,1.0,0.0,25,0.9999999999999999
Brazil.regions.PR:Jussara,1.0,0.0,25,0.9999999999999999
Brazil.regions.PI:Bom Princípio do Piauí,1.0,0.0,25,0.9999999999999999
Brazil.regions.MT:Lucas do Rio Verde,0.999999657635318,0.12,25,0.9999996576353178
Brazil.regions.AL:Viçosa,0.999999657635318,0.12,25,0.9999996576353178
Brazil.regions.RJ:Miguel Pereira,0.9999995435137572,0.16,25,0.9999995435137571
Brazil.regions.SP:Conchas,0.9999995435137572,0.16,25,0.9999995435137571
Brazil.regions.MG:Varzelândia,0.9999995435137572,0.16,25,0.9999995435137571
Brazil.regions.BA:Adustina,0.9999994293921965,0.2,25,0.9999994293921964
Brazil.regions.BA:Itapé,0.9999993152706358,0.24,25,0.9999993152706357
Brazil.regions.SP:Iepê,0.9999993152706358,0.24,25,0.9999993152706357
Brazil.regions.MG:Bonfim,0.9999993152706358,0.24,25,0.9999993152706357
Brazil.regions.SC:Pouso Redondo,0.9999992011490751,0.28,25,0.999999201149075
Brazil.regions.SP:Penápolis,0.9999990870275144,0.32,25,0.9999990870275143
Brazil.regions.PR:Manoel Ribas,0.9999989729059537,0.36,25,0.9999989729059536
Brazil.regions.MG:Espinosa,0.999998858784393,0.4,25,0.9999988587843929
Brazil.regions.CE:Cariús,0.999998858784393,0.4,25,0.9999988587843929
Brazil.regions.MG:Ouro Fino,0.9999986305412716,0.48,25,0.9999986305412715
Brazil.regions.SP:Nova Odessa,0.9999985164197109,0.52,25,0.9999985164197108
Brazil.regions.SP:Águas de Lindóia,0.9999985164197109,0.52,25,0.9999985164197108
Brazil.regions.SP:Eldorado,0.9999985164197109,0.52,25,0.9999985164197108
Brazil.regions.PE:Lagoa dos Gatos,0.9999984022981502,0.56,25,0.9999984022981501
Brazil.regions.MA:Altamira do Maranhão,0.9999982881765895,0.6,25,0.9999982881765894
Brazil.regions.GO:Goiandira,0.9999981740550288,0.64,25,0.9999981740550287
Brazil.regions.PR:Iretama,0.9999981740550288,0.64,25,0.9999981740550287
Brazil.regions.PR:Primeiro de Maio,0.9999979458119074,0.72,25,0.9999979458119073
Brazil.regions.SP:Angatuba,0.999997717568786,0.8,25,0.9999977175687859
Brazil.regions.SC:Cocal do Sul,0.999997717568786,0.8,25,0.9999977175687859
Brazil.regions.MG:Belmiro Braga,0.999997717568786,0.8,25,0.9999977175687859
Brazil.regions.SP:Rincão,0.999997717568786,0.8,25,0.9999977175687859
Brazil.regions.MG:Novo Cruzeiro,0.9999974893256647,0.88,25,0.9999974893256646
Brazil.regions.AM:Novo Airão,0.9999973752041039,0.92,25,0.9999973752041038
Brazil.regions.MG:São Tomás de Aquino,0.9999971469609825,1.0,25,0.9999971469609824
Brazil.regions.RN:Touros,0.9999971469609825,1.0,25,0.9999971469609824
Brazil.regions.RS:Encruzilhada do Sul,0.9999971469609825,1.0,25,0.9999971469609824
Brazil.regions.GO:Silvânia,0.9999970328394219,1.04,25,0.9999970328394218
Brazil.regions.MG:Bom Despacho,0.9999970328394219,1.04,25,0.9999970328394218
Brazil.regions.RS:Flores da Cunha,0.9999970328394219,1.04,25,0.9999970328394218
Brazil.regions.BA:Euclides da Cunha,0.9999970328394219,1.04,25,0.9999970328394218
