region,similarity,distance,days,is_same_cluster,score
Brazil.regions.CE:Fortim,0.9999990966058468,0.55,15,True,1.4999986449087703
Brazil.regions.SP:Ituverava,0.9999990966058468,0.55,15,True,1.4999986449087703
Brazil.regions.BA:Coração de Maria,0.9999990966058468,0.55,15,True,1.4999986449087703
Brazil.regions.BA:Jequié,0.9999990966058468,0.55,15,True,1.4999986449087703
Brazil.regions.BA:Ouriçangas,0.9999990966058468,0.55,15,True,1.4999986449087703
Brazil.regions.RN:Serra de São Bento,0.9999990966058468,0.55,15,True,1.4999986449087703
Brazil.regions.SC:Itapiranga,0.9999990966058468,0.55,15,True,1.4999986449087703
Brazil.regions.CE:Camocim,0.9999990966058468,0.55,15,True,1.4999986449087703
Brazil.regions.PE:Capoeiras,0.9999990966058468,0.55,15,True,1.4999986449087703
Brazil.regions.SE:Aquidabã,0.9999990966058468,0.55,15,True,1.4999986449087703
Brazil.regions.RN:Luís Gomes,0.9999990966058468,0.55,15,True,1.4999986449087703
Brazil.regions.RN:Januário Cicco,0.9999990966058468,0.55,15,True,1.4999986449087703
Brazil.regions.GO:Caldas Novas,0.9999990966058468,0.55,15,True,1.4999986449087703
Brazil.regions.BA:Camacan,0.9999990966058468,0.55,15,True,1.4999986449087703
Brazil.regions.SP:Dobrada,0.9999990966058468,0.55,15,True,1.4999986449087703
Brazil.regions.PR:Japurá,0.9999990966058468,0.55,15,True,1.4999986449087703
Brazil.regions.PR:Guarapuava,0.9999990966058468,0.55,15,True,1.4999986449087703
Brazil.regions.SP:Águas da Prata,0.9999990966058468,0.55,15,True,1.4999986449087703
Brazil.regions.PE:Poção,0.9999990966058468,0.55,15,True,1.4999986449087703
Brazil.regions.MG:Itapeva,0.9999990966058468,0.55,15,True,1.4999986449087703
Brazil.regions.PB:Bom Jesus,0.9999990966058468,0.55,15,True,1.4999986449087703
Brazil.regions.MG:Pirapetinga,0.9999990966058468,0.55,15,True,1.4999986449087703
Brazil.regions.PR:Barracão,0.9999990966058468,0.55,15,True,1.4999986449087703
Brazil.regions.SP:São Pedro,0.9999990966058468,0.55,15,True,1.4999986449087703
Brazil.regions.RN:Caicó,0.9999990144791057,0.6,15,True,1.4999985217186584
Brazil.regions.AL:Ibateguara,0.9999989186645742,0.6583333333333333,15,True,1.4999983779968613
Brazil.regions.SP:Guará,0.9999989186645742,0.6583333333333333,15,True,1.4999983779968613
