region,similarity,distance,days,is_same_cluster,score
Brazil.regions.MA:Balsas,0.9999771325021923,13.922077922077921,21,True,1.4999656987532886
Brazil.regions.AM:Maraã,0.999971074321803,17.61038961038961,21,True,1.4999566114827045
Brazil.regions.AM:Beruri,0.9999683580953843,19.264069264069263,21,True,1.4999525371430764
Brazil.regions.AM:São Paulo de Olivença,0.9999631531798385,22.432900432900432,21,True,1.4999447297697577
Brazil.regions.PA:Porto de Moz,0.999958893966161,25.025974025974026,21,True,1.4999383409492415
Brazil.regions.PA:Anapu,0.9999575785161938,25.826839826839826,21,True,1.4999363677742907
Brazil.regions.AP:Mazagão,0.999955388469762,27.16017316017316,21,True,1.4999330827046429
Brazil.regions.AM:Codajás,0.9999528571173927,28.7012987012987,21,True,1.499929285676089
Brazil.regions.AM:Nhamundá,0.9999517407625558,29.38095238095238,21,True,1.4999276111438338
Brazil.regions.RR:Caroebe,0.9999514990041833,29.528138528138527,21,True,1.4999272485062751
Brazil.regions.AM:Santo Antônio do Içá,0.9999485765720941,31.307359307359306,21,True,1.4999228648581413
Brazil.regions.MT:Querência,0.99994653584701,32.54978354978355,21,True,1.499919803770515
Brazil.regions.PA:Pacajá,0.9999450852967758,33.43290043290043,21,True,1.4999176279451638
Brazil.regions.MT:Tangará da Serra,0.9999447368802981,33.64502164502164,21,True,1.499917105320447
Brazil.regions.PA:Monte Alegre,0.999943912057616,34.14718614718615,21,True,1.499915868086424
Brazil.regions.RR:Mucajaí,0.9999437058519455,34.27272727272727,21,True,1.4999155587779183
Brazil.regions.PA:Paragominas,0.999943129898176,34.62337662337662,21,True,1.4999146948472641
Brazil.regions.BA:Barra,0.9999403141241923,36.33766233766234,21,True,1.4999104711862885
Brazil.regions.MT:Canarana,0.9999388706844985,37.21645021645022,21,True,1.4999083060267477
Brazil.regions.RO:Vilhena,0.9999388706844985,37.21645021645022,21,True,1.4999083060267477
Brazil.regions.MT:Vila Bela da Santíssima Trindade,0.9999388706844985,37.21645021645022,21,True,1.4999083060267477
Brazil.regions.AM:Juruá,0.9999295416555422,42.896103896103895,21,True,1.4998943124833133
Brazil.regions.AM:São Sebastião do Uatumã,0.999960696488143,23.928571428571427,20,True,1.4249439924956038
Brazil.regions.MT:Poconé,0.999965487557765,21.01169590643275,18,True,1.2749559966361503
Brazil.regions.PA:Ourilândia do Norte,0.9999882421882191,7.158333333333333,15,True,1.04998765429763
Brazil.regions.MT:Peixoto de Azevedo,0.9999867091557169,8.091666666666667,15,True,1.0499860446135028
Brazil.regions.PA:Prainha,0.9999772508926894,13.85,15,True,1.0499761134373238
Brazil.regions.CE:Caucaia,0.9999865326365523,8.1991341991342,21,False,0.9999865326365523
Senegal,0.9999854376133364,8.865800865800866,21,False,0.9999854376133364
Tunisia,0.9999853593973924,8.913419913419913,21,False,0.9999853593973924
Brazil.regions.CE:Maracanaú,0.999983901736618,9.8008658008658,21,False,0.999983901736618
Brazil.regions.SC:Florianópolis,0.9999831337982588,10.268398268398268,21,False,0.9999831337982588
Algeria,0.9999830840244762,10.2987012987013,21,False,0.9999830840244762
Brazil.regions.PE:Camaragibe,0.9999830698033955,10.307359307359308,21,False,0.9999830698033955
Brazil.regions.RR:Boa Vista,0.9999828209344828,10.458874458874458,21,False,0.9999828209344828
Brazil.regions.MA:Paço do Lumiar,0.9999817116901861,11.134199134199134,21,False,0.9999817116901861
Brazil.regions.RJ:Niterói,0.9999810504099323,11.536796536796537,21,False,0.9999810504099323
Brazil.regions.RJ:São Gonçalo,0.9999807375461564,11.727272727272727,21,False,0.9999807375461564
Brazil.regions.SP:Bauru,0.9999801473713062,12.086580086580087,21,False,0.9999801473713062
Brazil.regions.RR,0.9999801118186045,12.108225108225108,21,False,0.9999801118186045
Paraguay,0.9999800975975237,12.116883116883116,21,False,0.9999800975975237
Sweden.regions.Uppsala,0.9999799624972568,12.1991341991342,21,False,0.9999799624972568
Brazil.regions.AM:Iranduba,0.9999797634021267,12.32034632034632,21,False,0.9999797634021267
Brazil.regions.PE:Vitória de Santo Antão,0.999979692296723,12.363636363636363,21,False,0.999979692296723
Brazil.regions.PA:Bragança,0.9999796211913194,12.406926406926408,21,False,0.9999796211913194
Lebanon,0.9999795856386176,12.428571428571429,21,False,0.9999795856386176
Brazil.regions.PE:Abreu e Lima,0.9999788603635006,12.87012987012987,21,False,0.9999788603635006
Brazil.regions.SP:Guarujá,0.999978711042153,12.96103896103896,21,False,0.999978711042153
Bangladesh,0.9999784266205384,13.134199134199134,21,False,0.9999784266205384
Brazil.regions.MT:Cuiabá,0.9999781777516257,13.285714285714286,21,False,0.9999781777516257
Brazil.regions.BA:Ilhéus,0.9999780710935202,13.35064935064935,21,False,0.9999780710935202
Brazil.regions.PA:Tailândia,0.9999780213197377,13.380952380952381,21,False,0.9999780213197377
Sweden.regions.Norrbotten,0.9999779857670359,13.402597402597403,21,False,0.9999779857670359
Singapore,0.9999778222246075,13.502164502164502,21,False,0.9999778222246075
Brazil.regions.RJ:Belford Roxo,0.9999777653402846,13.536796536796537,21,False,0.9999777653402846
Brazil.regions.SP:Ribeirão Preto,0.999977751119204,13.545454545454545,21,False,0.999977751119204
Brazil.regions.AL:Arapiraca,0.9999776729032599,13.593073593073592,21,False,0.9999776729032599
Sweden.regions.Örebro,0.999977616018937,13.627705627705629,21,False,0.999977616018937
Brazil.regions.MS,0.9999774311448876,13.74025974025974,21,False,0.9999774311448876
Brazil.regions.SP:Franco da Rocha,0.9999774027027261,13.757575757575758,21,False,0.9999774027027261
Brazil.regions.SP:São Vicente,0.9999768480805777,14.095238095238095,21,False,0.9999768480805777
Brazil.regions.PR:Cascavel,0.9999768480805777,14.095238095238095,21,False,0.9999768480805777
Brazil.regions.CE:São Gonçalo do Amarante,0.9999765921011248,14.25108225108225,21,False,0.9999765921011248
Brazil.regions.PE:Recife,0.9999765849905844,14.255411255411255,21,False,0.9999765849905844
Brazil.regions.SE:Nossa Senhora do Socorro,0.9999764925535596,14.311688311688311,21,False,0.9999764925535596
Brazil.regions.PB,0.9999764498903174,14.337662337662337,21,False,0.9999764498903174
Guatemala,0.9999762863478892,14.437229437229437,21,False,0.9999762863478892
Brazil.regions.MA:Lago da Pedra,0.9999762152424855,14.480519480519481,21,False,0.9999762152424855
Brazil.regions.PA:Belém,0.9999761299160012,14.532467532467532,21,False,0.9999761299160012
Brazil.regions.PA:Ponta de Pedras,0.9999760659211379,14.571428571428571,21,False,0.9999760659211379
Croatia,0.9999760303684361,14.593073593073592,21,False,0.9999760303684361
Israel,0.9999760232578957,14.597402597402597,21,False,0.9999760232578957
Cayman_Islands,0.999975930820871,14.653679653679653,21,False,0.999975930820871
Brazil.regions.AL:Murici,0.9999758952681691,14.675324675324676,21,False,0.9999758952681691
Brazil.regions.SP:Pirassununga,0.9999758526049269,14.7012987012987,21,False,0.9999758526049269
Aruba,0.9999758028311444,14.731601731601732,21,False,0.9999758028311444
Brazil.regions.AM:Careiro,0.9999758028311444,14.731601731601732,21,False,0.9999758028311444
Brazil.regions.PB:Santa Rita,0.999975795720604,14.735930735930737,21,False,0.999975795720604
Brazil.regions.SP:Guarulhos,0.9999757388362811,14.770562770562771,21,False,0.9999757388362811
Brazil.regions.AM:Nova Olinda do Norte,0.9999757246152005,14.779220779220779,21,False,0.9999757246152005
Brazil.regions.PA:Capanema,0.9999756890624986,14.8008658008658,21,False,0.9999756890624986
Brazil.regions.AM:Tabatinga,0.9999756677308775,14.813852813852813,21,False,0.9999756677308775
Brazil.regions.AM:Manaquiri,0.9999754686357474,14.935064935064934,21,False,0.9999754686357474
Brazil.regions.MA:Imperatriz,0.9999754259725052,14.96103896103896,21,False,0.9999754259725052
Brazil.regions.SP:Araraquara,0.9999753122038594,15.030303030303031,21,False,0.9999753122038594
Brazil.regions.PE:Igarassu,0.9999752979827786,15.03896103896104,21,False,0.9999752979827786
Brazil.regions.MA:Bacabal,0.9999752553195365,15.064935064935066,21,False,0.9999752553195365
Ukraine,0.9999751842141328,15.108225108225108,21,False,0.9999751842141328
Brazil.regions.GO,0.9999751059981888,15.155844155844155,21,False,0.9999751059981888
Brazil.regions.SP:Itapecerica da Serra,0.999974970897922,15.238095238095237,21,False,0.999974970897922
Brazil.regions.SE:Estância,0.9999748215765744,15.329004329004329,21,False,0.9999748215765744
Brazil.regions.SP:Cubatão,0.9999746722552267,15.41991341991342,21,False,0.9999746722552267
Brazil.regions.AM:Silves,0.9999745798182019,15.476190476190476,21,False,0.9999745798182019
Sweden.regions.Gävleborg,0.999974501602258,15.523809523809524,21,False,0.999974501602258
Brazil.regions.ES:Vitória,0.9999744731600965,15.541125541125542,21,False,0.9999744731600965
Barbados,0.9999744447179351,15.558441558441558,21,False,0.9999744447179351
Brazil.regions.RJ:Magé,0.9999744233863139,15.571428571428571,21,False,0.9999744233863139
Brazil.regions.SP:Embu das Artes,0.9999743238387488,15.632034632034632,21,False,0.9999743238387488
Brazil.regions.RJ:Nova Friburgo,0.9999743167282086,15.636363636363637,21,False,0.9999743167282086
Brazil.regions.PE:São Lourenço da Mata,0.9999743096176682,15.64069264069264,21,False,0.9999743096176682
Brazil.regions.AM:Eirunepé,0.9999904263684551,5.828571428571428,14,True,0.9749906657092439
Brazil.regions.AP:Calçoene,0.9999815253940286,11.247619047619047,14,True,0.974981987259178
Brazil.regions.PA:Uruará,0.9999837731999268,9.87912087912088,13,True,0.899985395879934
Brazil.regions.PA:Senador José Porfírio,0.9999901026747793,6.0256410256410255,12,True,0.8249918347066929
Brazil.regions.PA:Chaves,0.9999867544307152,8.064102564102564,12,True,0.8249890724053401
Brazil.regions.AC:Tarauacá,0.9999841221633692,9.666666666666666,12,True,0.8249869007847797
Brazil.regions.BA:Pilão Arcado,0.9999837010005939,9.923076923076923,12,True,0.8249865533254901
Brazil.regions.PA:Novo Repartimento,0.9999972624419602,1.6666666666666667,8,True,0.5249985627820292
Brazil.regions.TO:Formoso do Araguaia,0.9999963499226137,2.2222222222222223,8,True,0.5249980837093722
Brazil.regions.PA:Faro,0.9999949550716124,3.0714285714285716,7,True,0.44999772978222563
Brazil.regions.PA:Santana do Araguaia,0.9999920219737126,4.857142857142857,7,True,0.44999640988817075
Brazil.regions.MS:Ribas do Rio Pardo,0.9999937427244805,3.8095238095238093,6,True,0.37499765352168024
Brazil.regions.PA:Trairão,0.9999980837093722,1.1666666666666667,3,True,0.14999971255640585
Brazil.regions.MT:São Félix do Araguaia,0.9999978099535681,1.3333333333333333,2,True,0.07499983574651761
Brazil.regions.RR:Iracema,0.9999934298607045,4.0,1,True,0.0
Brazil.regions.BA:São Desidério,0.9999967149303522,2.0,1,True,0.0
