region,similarity,distance,days
Brazil.regions.AM:Canutama,1.0,0.0,2
Brazil.regions.AM:Maués,1.0,0.0,2
Brazil.regions.AM:Novo Airão,1.0,0.0,2
Brazil.regions.PA:Jacareacanga,1.0,0.0,2
Brazil.regions.PA:Novo Progresso,1.0,0.0,2
Brazil.regions.RR:Caracaraí,1.0,0.0,2
Brazil.regions.RR:Rorainópolis,1.0,0.0,2
Brazil.regions.AM:Coari,0.9621212121212122,0.5,2
Brazil.regions.AM:Humaitá,0.9621212121212122,0.5,2
Brazil.regions.AM:Manicoré,0.9621212121212122,0.5,2
Brazil.regions.AP:Laranjal do Jari,0.9621212121212122,0.5,2
Sweden.regions.Jämtland Härjedalen,0.9242424242424242,1.0,2
Brazil.regions.AM:Borba,0.8863636363636364,1.5,2
Brazil.regions.AM:Novo Aripuanã,0.8863636363636364,1.5,2
Sweden.regions.Västerbotten,0.7348484848484849,3.5,2
Brazil.regions.AM:Apuí,0.696969696969697,4.0,2
Brazil.regions.AM:Japurá,0.5454545454545454,6.0,1
