region,cases_distance,deaths_distance,cases_per_100k_distance,deaths_per_100k_distance,is_same_cluster
Brazil.regions.BA:Bom Jesus da Lapa,1.0,0.0,7.319208799024891,0.0,False
Brazil.regions.GO:Padre Bernardo,4.0,0.0,26.188803253400508,0.0,False
Brazil.regions.MA:Parnarama,2.0,0.0,0.1987093935100095,0.0,False
Brazil.regions.MG:Diamantina,7.400000000000001,0.0,61.302999985631494,0.0,False
Brazil.regions.AL:Olho d'Água do Casado,1.0,0.0,0.9887863665986512,0.0,False
Brazil.regions.BA:Araças,13.190476190476192,0.0,74.50216009832499,0.0,False
Brazil.regions.BA:Ponto Novo,10.6,0.0,60.559221435663794,0.0,False
Brazil.regions.CE:Piquet Carneiro,1.0,0.0,5.761154983922864,0.0,False
Brazil.regions.ES:São Domingos do Norte,1.0,0.0,0.08097519616376303,0.0,False
Brazil.regions.MA:Lago Verde,9.6,0.0,55.355413398715086,0.0,False
Brazil.regions.MA:Nina Rodrigues,9.6,0.0,53.051404805014705,0.0,False
Brazil.regions.MG:Inhapim,13.190476190476192,0.0,78.57186136122853,0.0,False
Brazil.regions.MG:Itaipé,8.4,0.0,46.95433605395738,0.0,False
Brazil.regions.MG:Lagoa Dourada,1.0,0.0,3.9707431415605683,0.0,False
Brazil.regions.MG:Malacacheta,11.266666666666666,0.0,66.13880802793521,0.0,False
Brazil.regions.PB:Lastro,8.4,0.0,33.182147736181456,0.0,False
Brazil.regions.PR:Anahy,1.0,0.0,24.04380609163583,0.0,False
Brazil.regions.PR:Cruzeiro do Iguaçu,0.0,0.0,35.378959542745044,0.0,False
Brazil.regions.PR:São João,11.266666666666666,0.0,61.73606690403462,0.0,False
Brazil.regions.RJ:Cambuci,5.523809523809524,0.0,26.818415888676466,0.0,False
Brazil.regions.RN:Antônio Martins,13.190476190476192,0.0,69.38658279721336,0.0,False
Brazil.regions.RN:Caiçara do Norte,10.333333333333334,0.0,49.532205658836254,0.0,False
