region,cases_distance,deaths_distance,cases_per_100k_distance,deaths_per_100k_distance,is_same_cluster
Brazil.regions.BA:Barreiras,1.0482490272373541,0.0,3.319508714905899,0.0,False
Brazil.regions.BA:Bom Jesus da Lapa,2.0,0.0,2.4720825583780353,0.0,False
Brazil.regions.BA:Campo Alegre de Lourdes,2.9934279705573084,0.0,13.507826886277446,0.0,False
Brazil.regions.BA:Campo Formoso,0.9713311948676825,0.0,2.2749908590199253,0.0,False
Brazil.regions.GO:Formosa,4.408699336251943,0.0,1.9521305114127536,0.0,False
Brazil.regions.GO:Jataí,3.2817120622568092,0.0,1.882075014739787,0.0,False
Brazil.regions.GO:Minaçu,1.1829134720700987,0.0,6.366585014288851,0.0,False
Brazil.regions.GO:Padre Bernardo,0.0,0.0,1.0890817155668846,0.0,False
Brazil.regions.GO:Quirinópolis,0.0,0.0,0.1637070732979004,0.0,False
Brazil.regions.MA:Arame,6.024096385542169,0.0,20.161472054208936,0.0,False
Brazil.regions.MA:Parnarama,3.0,0.0,9.592581963892917,0.0,False
Brazil.regions.MA:Tuntum,12.970437245530182,0.0,31.975406370946008,0.0,False
Brazil.regions.MG:Diamantina,3.8666666666666667,0.0,8.331300620236485,0.0,False
Brazil.regions.MG:Três Marias,0.9384858044164037,0.0,0.6780549258544359,0.0,False
Brazil.regions.MG:Unaí,6.2910505836575865,0.0,7.090493667144916,0.0,False
Brazil.regions.MS:Naviraí,0.6792604501607716,0.0,1.3246285023811342,0.0,False
Brazil.regions.MS:Nova Andradina,8.919844357976654,0.0,16.34552224318253,0.0,False
Brazil.regions.MS:Ponta Porã,0.975875486381323,0.0,2.7538093700757917,0.0,False
Brazil.regions.MS:Sidrolândia,1.1237354085603115,0.0,2.2348129209738112,0.0,False
Brazil.regions.MT:Primavera do Leste,13.000659485601235,0.0,20.494363676555345,0.0,False
Brazil.regions.MT:Sorriso,15.922201138519924,0.0,16.265806864938945,0.0,False
Brazil.regions.PA:Ipixuna do Pará,17.947867298578203,0.0,27.441702118712087,0.0,False
Brazil.regions.PA:Ulianópolis,22.432637571157496,0.0,37.567547245909594,0.0,False
Brazil.regions.PI:Floriano,19.277388343681157,0.0,31.779990348542896,0.0,False
Brazil.regions.RS:Alegrete,1.0618823910578323,0.0,1.5594037884876815,0.0,False
Brazil.regions.RS:Caçapava do Sul,0.8215767634854771,0.0,0.8210467298373266,0.0,False
Brazil.regions.RS:Itaqui,0.10909090909090909,0.0,1.5711326493567512,0.0,False
Brazil.regions.RS:Sant'Ana do Livramento,7.221011673151752,0.0,8.145852678043376,0.0,False
Brazil.regions.RS:São Borja,1.6222222222222222,0.0,2.3727852082741925,0.0,False
Brazil.regions.RS:São Gabriel,1.0934863314208572,0.0,2.2971855346257146,0.0,False
