region,similarity,distance,days,score
Brazil.regions.PR:Quatiguá,0.9999992527754954,0.2619047619047619,42,0.9999992527754954
Brazil.regions.PR:Terra Boa,0.9999987772689926,0.42857142857142855,42,0.9999987772689926
Brazil.regions.BA:Barra,0.9999978941854871,0.7380952380952381,42,0.9999978941854871
Brazil.regions.PR:Iretama,0.9999977583264863,0.7857142857142857,42,0.9999977583264863
Brazil.regions.PR:Matinhos,0.9999976903969858,0.8095238095238095,42,0.9999976903969858
Brazil.regions.PR:Marechal Cândido Rondon,0.9999976224674855,0.8333333333333334,42,0.9999976224674855
Brazil.regions.SE:Propriá,0.9999974866084846,0.8809523809523809,42,0.9999974866084846
Brazil.regions.PR:Palmeira,0.9999974866084846,0.8809523809523809,42,0.9999974866084846
Brazil.regions.PR:Castro,0.9999974866084846,0.8809523809523809,42,0.9999974866084846
Brazil.regions.RS:Anta Gorda,0.9999974186789842,0.9047619047619048,42,0.9999974186789842
Brazil.regions.SC:Rancho Queimado,0.9999973507494838,0.9285714285714286,42,0.9999973507494838
Brazil.regions.SC:Papanduva,0.9999973507494838,0.9285714285714286,42,0.9999973507494838
Brazil.regions.PR:Peabiru,0.9999972828199833,0.9523809523809523,42,0.9999972828199833
Brazil.regions.PR:Mariópolis,0.9999972828199833,0.9523809523809523,42,0.9999972828199833
Brazil.regions.RS:Cachoeira do Sul,0.999997214890483,0.9761904761904762,42,0.999997214890483
Brazil.regions.RS:Paraí,0.999997214890483,0.9761904761904762,42,0.999997214890483
Brazil.regions.RS:Osório,0.999997214890483,0.9761904761904762,42,0.999997214890483
Brazil.regions.RS:Santo Antônio da Patrulha,0.9999969431724813,1.0714285714285714,42,0.9999969431724813
Brazil.regions.PR:Verê,0.9999968752429809,1.0952380952380953,42,0.9999968752429809
Brazil.regions.SC:Paulo Lopes,0.9999968073134805,1.119047619047619,42,0.9999968073134805
Brazil.regions.PR:Rio Negro,0.9999968073134805,1.119047619047619,42,0.9999968073134805
Brazil.regions.RS:Dois Irmãos,0.9999966035249792,1.1904761904761905,42,0.9999966035249792
Brazil.regions.RS:Canguçu,0.9999965355954787,1.2142857142857142,42,0.9999965355954787
Brazil.regions.PI:São José do Divino,0.9999963997364779,1.2619047619047619,42,0.9999963997364779
Brazil.regions.MG:Capitólio,0.9999963318069776,1.2857142857142858,42,0.9999963318069776
Brazil.regions.RN:Tibau,0.9999963318069776,1.2857142857142858,42,0.9999963318069776
Brazil.regions.RS:Dom Pedrito,0.9999963318069776,1.2857142857142858,42,0.9999963318069776
Brazil.regions.ES:São Roque do Canaã,0.9999961959479767,1.3333333333333333,42,0.9999961959479767
Brazil.regions.RS:Charqueadas,0.9999961280184763,1.3571428571428572,42,0.9999961280184763
Brazil.regions.CE:Mauriti,0.9999959921594754,1.4047619047619047,42,0.9999959921594754
Brazil.regions.BA:Canarana,0.9999959921594754,1.4047619047619047,42,0.9999959921594754
Brazil.regions.BA:Nova Soure,0.9999958563004746,1.4523809523809523,42,0.9999958563004746
Brazil.regions.PR:Quatro Barras,0.9999958563004746,1.4523809523809523,42,0.9999958563004746
Brazil.regions.MG:Carmo do Cajuru,0.9999958563004746,1.4523809523809523,42,0.9999958563004746
Brazil.regions.RS:Tramandaí,0.9999957883709742,1.4761904761904763,42,0.9999957883709742
Brazil.regions.RS:Eldorado do Sul,0.9999957204414738,1.5,42,0.9999957204414738
Brazil.regions.GO:Caldas Novas,0.9999957204414738,1.5,42,0.9999957204414738
Brazil.regions.SE:Nossa Senhora da Glória,0.9999956525119734,1.5238095238095237,42,0.9999956525119734
Brazil.regions.SP:Águas de Lindóia,0.9999956525119734,1.5238095238095237,42,0.9999956525119734
Brazil.regions.RS:Santiago,0.9999956525119734,1.5238095238095237,42,0.9999956525119734
Brazil.regions.BA:Pojuca,0.999995584582473,1.5476190476190477,42,0.999995584582473
Brazil.regions.RS:Vila Maria,0.999995584582473,1.5476190476190477,42,0.999995584582473
Brazil.regions.PR:Ibaiti,0.999995584582473,1.5476190476190477,42,0.999995584582473
Brazil.regions.SC:Balneário Arroio do Silva,0.999995584582473,1.5476190476190477,42,0.999995584582473
