region,similarity,distance,days,score
Brazil.regions.PI:Canto do Buriti,1.0,0.0,8,1.0
Brazil.regions.PE:Goiana,1.0,0.0,8,1.0
Brazil.regions.BA:Gongogi,1.0,0.0,8,1.0
Brazil.regions.BA:Adustina,1.0,0.0,8,1.0
Brazil.regions.RR:Alto Alegre,1.0,0.0,8,1.0
Brazil.regions.SP:Eldorado,1.0,0.0,8,1.0
Brazil.regions.MG:Jequitinhonha,1.0,0.0,8,1.0
Brazil.regions.PE:Itapetim,1.0,0.0,8,1.0
Brazil.regions.MG:Presidente Juscelino,1.0,0.0,8,1.0
Brazil.regions.ES:Ecoporanga,1.0,0.0,8,1.0
Brazil.regions.PI:Parnaíba,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.PR:Ribeirão do Pinhal,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.SP:Conchas,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.BA:Maraú,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.MG:Varzelândia,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.CE:Santa Quitéria,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.MG:Ipiaçu,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.SP:Dracena,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.PI:Cocal,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.CE:Viçosa do Ceará,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.GO:Planaltina,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.SP:Nova Odessa,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.PB:Sapé,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.RN:Carnaúba dos Dantas,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.PB:Boqueirão,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.MG:Bonfim,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.MG:Martinho Campos,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.PE:Quixaba,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.RN:Touros,0.9999985734804913,0.5,8,0.9999985734804913
Brazil.regions.MG:Belmiro Braga,0.9999985734804913,0.5,8,0.9999985734804913
Brazil.regions.MG:Belo Vale,0.9999985734804913,0.5,8,0.9999985734804913
Brazil.regions.PB:Patos,0.9999985734804913,0.5,8,0.9999985734804913
Brazil.regions.SP:Penápolis,0.9999985734804913,0.5,8,0.9999985734804913
Brazil.regions.SC:Pouso Redondo,0.9999985734804913,0.5,8,0.9999985734804913
Brazil.regions.PB:Junco do Seridó,0.9999985734804913,0.5,8,0.9999985734804913
Brazil.regions.PE:São José da Coroa Grande,0.9999985734804913,0.5,8,0.9999985734804913
Brazil.regions.SP:Nhandeara,0.9999985734804913,0.5,8,0.9999985734804913
Brazil.regions.MT:Lucas do Rio Verde,0.9999985734804913,0.5,8,0.9999985734804913
Brazil.regions.BA:Itapé,0.9999985734804913,0.5,8,0.9999985734804913
Brazil.regions.PE:Sairé,0.9999985734804913,0.5,8,0.9999985734804913
Brazil.regions.MA:Cururupu,0.9999985734804913,0.5,8,0.9999985734804913
Brazil.regions.AL:Limoeiro de Anadia,0.9999985734804913,0.5,8,0.9999985734804913
Brazil.regions.BA:Nilo Peçanha,0.9999985734804913,0.5,8,0.9999985734804913
Brazil.regions.PA:São João do Araguaia,0.9999985734804913,0.5,8,0.9999985734804913
Brazil.regions.PE:Tabira,0.9999985734804913,0.5,8,0.9999985734804913
Brazil.regions.MG:São Geraldo da Piedade,0.9999985734804913,0.5,8,0.9999985734804913
Brazil.regions.AM:Manicoré,0.9999985734804913,0.5,8,0.9999985734804913
Brazil.regions.AL:Viçosa,0.9999985734804913,0.5,8,0.9999985734804913
Brazil.regions.PB:Brejo do Cruz,0.9999985734804913,0.5,8,0.9999985734804913
Brazil.regions.PI:Itaueira,0.9999985734804913,0.5,8,0.9999985734804913
Brazil.regions.GO:Luziânia,0.9999985734804913,0.5,8,0.9999985734804913
Brazil.regions.PI:São Francisco do Piauí,0.9999982168506141,0.625,8,0.9999982168506141
Brazil.regions.PA:Curionópolis,0.9999982168506141,0.625,8,0.9999982168506141
Brazil.regions.SP:Agudos,0.9999982168506141,0.625,8,0.9999982168506141
Brazil.regions.PI:Santa Luz,0.9999982168506141,0.625,8,0.9999982168506141
Brazil.regions.SP:Santo Antônio da Alegria,0.9999982168506141,0.625,8,0.9999982168506141
Brazil.regions.PR:Campina da Lagoa,0.9999982168506141,0.625,8,0.9999982168506141
Brazil.regions.SP:Santa Rita do Passa Quatro,0.9999982168506141,0.625,8,0.9999982168506141
Brazil.regions.SP:Pitangueiras,0.9999982168506141,0.625,8,0.9999982168506141
Brazil.regions.BA:Araci,0.9999982168506141,0.625,8,0.9999982168506141
Brazil.regions.PR:Jussara,0.9999982168506141,0.625,8,0.9999982168506141
Brazil.regions.RS:Monte Belo do Sul,0.9999982168506141,0.625,8,0.9999982168506141
Brazil.regions.RS:Doutor Maurício Cardoso,0.9999982168506141,0.625,8,0.9999982168506141
Brazil.regions.AL:São Miguel dos Milagres,0.9999982168506141,0.625,8,0.9999982168506141
Brazil.regions.PI:São José do Divino,0.9999982168506141,0.625,8,0.9999982168506141
Brazil.regions.PE:Custódia,0.9999982168506141,0.625,8,0.9999982168506141
Brazil.regions.CE:Salitre,0.9999982168506141,0.625,8,0.9999982168506141
Brazil.regions.SP:Jarinu,0.9999982168506141,0.625,8,0.9999982168506141
Brazil.regions.RN:Lagoa de Pedras,0.9999982168506141,0.625,8,0.9999982168506141
Brazil.regions.MG:Morro da Garça,0.9999982168506141,0.625,8,0.9999982168506141
Brazil.regions.MG:Nova Serrana,0.9999982168506141,0.625,8,0.9999982168506141
