region,cases_distance,deaths_distance,cases_per_100k_distance,deaths_per_100k_distance,is_same_cluster
Brazil.regions.BA:Bom Jesus da Lapa,2.0,0.0,3.0397683759267666,0.0,False
Brazil.regions.BA:Campo Alegre de Lourdes,4.139589905362776,0.0,6.997312681749123,0.0,False
Brazil.regions.GO:Formosa,22.802993927411382,0.0,32.263729342008595,0.0,False
Brazil.regions.GO:Minaçu,1.7962760131434832,0.0,7.580655279437609,0.0,False
Brazil.regions.GO:Padre Bernardo,0.0,0.0,1.656767533115616,0.0,False
Brazil.regions.GO:Quirinópolis,0.25,0.0,1.1980023200899783,0.0,False
Brazil.regions.MA:Arame,6.06790799561884,0.0,21.316972020282762,0.0,False
Brazil.regions.MA:Parnarama,3.0,0.0,10.160267781441648,0.0,False
Brazil.regions.MA:Tuntum,4.715878916622412,0.0,18.80436828208319,0.0,False
Brazil.regions.MG:Diamantina,3.8666666666666667,0.0,8.898986437785219,0.0,False
Brazil.regions.MG:Três Marias,7.158254468980022,0.0,8.26237610629098,0.0,False
Brazil.regions.MS:Naviraí,30.92443729903537,0.0,39.607298339835275,0.0,False
Brazil.regions.MT:Sorriso,15.69449715370019,0.0,16.990186829431718,0.0,False
Brazil.regions.PA:Breu Branco,1.2296681847755366,0.21470396877033182,1.3542285977244355,0.3250824709601366,False
Brazil.regions.PA:Eldorado do Carajás,1.3142485361093037,0.11060507482108002,2.545622126991837,0.32715651567995746,False
Brazil.regions.PA:Ipixuna do Pará,15.113744075829384,0.0,24.837060844605695,0.0,False
Brazil.regions.PA:Ulianópolis,22.204933586337763,0.0,38.29192721040236,0.0,False
Brazil.regions.PI:Floriano,9.277388343681153,0.0,19.897756589847614,0.0,False
Brazil.regions.RS:Caçapava do Sul,1.3941908713692945,0.0,2.3181683734628575,0.0,False
Brazil.regions.RS:Itaqui,0.7272727272727273,0.0,3.2926163283072114,0.0,False
Brazil.regions.RS:São Borja,2.155555555555556,0.0,3.9359044748753957,0.0,False
United_States_of_America.regions.Minnesota:Becker,19.266641211658392,0.0,22.413976138521093,0.0,False
United_States_of_America.regions.Minnesota:Morrison,2.489485279391148,0.0,27.54032910771332,0.0,False
United_States_of_America.regions.Oregon:Coos,22.48059055619193,0.0,29.467577293232008,0.0,False
Brazil.regions.AL:Canapi,0.0,0.0,4.34395208432436,0.0,False
Brazil.regions.AL:Maravilha,1.0666666666666667,0.0,21.255724436564286,0.0,False
Brazil.regions.AL:Olho d'Água do Casado,0.0,0.0,9.370190808353007,0.0,False
Brazil.regions.BA:Aiquara,14.672897196261687,0.0,26.29425871602708,0.0,False
Brazil.regions.BA:Araças,0.0,0.0,6.9134514347299,0.0,False
Brazil.regions.BA:Barro Preto,9.399158822351291,0.0,36.71730084326579,0.0,False
Brazil.regions.BA:Caldeirão Grande,5.0244648318042815,0.0,7.126318600678463,0.0,False
Brazil.regions.BA:Cravolândia,8.466879853814527,0.0,26.302204986062183,0.0,False
Brazil.regions.BA:Dário Meira,3.6084905660377355,0.0,17.420924327447644,0.0,False
Brazil.regions.BA:Nordestina,2.6135040745052387,0.0,9.871475487183314,0.0,False
Brazil.regions.BA:Ponto Novo,0.6666666666666666,0.0,9.876430256044484,0.0,False
Brazil.regions.CE:Antonina do Norte,3.459715639810427,0.0,11.130883631314985,0.0,False
Brazil.regions.CE:Piquet Carneiro,0.0,0.0,4.5978221910287935,0.0,False
Brazil.regions.CE:Quixelô,3.912797281993205,0.0,10.94772824363544,0.0,False
Brazil.regions.CE:São João do Jaguaribe,4.102329830973047,0.0,66.68089373775604,0.0,False
