region,similarity,distance,days,is_same_cluster,score
Brazil.regions.CE:Mombaça,0.9999958459764454,2.529032258064516,30,True,1.499993768964668
Brazil.regions.CE:Acopiara,0.9999955351311455,2.718279569892473,30,True,1.4999933026967183
Brazil.regions.GO:Rio Verde,0.999994637918575,3.264516129032258,30,True,1.4999919568778626
Brazil.regions.RN:Apodi,0.9999941787152908,3.544086021505376,30,True,1.4999912680729364
Brazil.regions.RJ:Silva Jardim,0.999992691603117,4.449462365591398,30,True,1.4999890374046756
Brazil.regions.MA:Mirinzal,0.9999925432451329,4.539784946236559,30,True,1.4999888148676992
Brazil.regions.SC:São Domingos,0.9999923136434908,4.679569892473118,30,True,1.4999884704652362
Brazil.regions.AM:Parintins,0.9999922747878284,4.703225806451613,30,True,1.4999884121817426
Brazil.regions.CE:Granja,0.999992225335167,4.733333333333333,30,True,1.4999883380027503
Brazil.regions.GO:Formosa,0.9999920027981909,4.868817204301076,30,True,1.4999880041972864
Sweden.regions.Gotland,0.999991840310875,4.967741935483871,30,True,1.4999877604663125
Brazil.regions.CE:Jucás,0.9999914835452466,5.184946236559139,30,True,1.4999872253178699
Brazil.regions.CE:Senador Pompeu,0.999991292799267,5.301075268817204,30,True,1.4999869391989005
Brazil.regions.CE:Ipueiras,0.9999909430983045,5.513978494623656,30,True,1.4999864146474566
Brazil.regions.SP:Morro Agudo,0.9999906852379988,5.670967741935484,30,True,1.4999860278569983
Brazil.regions.SC:Pedras Grandes,0.9999902684227102,5.924731182795699,30,True,1.4999854026340653
Brazil.regions.MG:Frutal,0.9999901624527215,5.989247311827957,30,True,1.4999852436790824
Brazil.regions.RS:Tio Hugo,0.9999898657367533,6.16989247311828,30,True,1.49998479860513
Brazil.regions.MA:Colinas,0.9999897138464363,6.26236559139785,30,True,1.4999845707696544
Brazil.regions.MA:Açailândia,0.9999896926524385,6.275268817204301,30,True,1.4999845389786577
Brazil.regions.MG:Santo Antônio do Monte,0.9999895725531182,6.348387096774194,30,True,1.4999843588296773
Brazil.regions.RS:Uruguaiana,0.9999895301651227,6.374193548387097,30,True,1.499984295247684
Brazil.regions.BA:Barra do Rocha,0.9999894135981352,6.445161290322581,30,True,1.4999841203972029
Brazil.regions.MG:Nanuque,0.9999892864341487,6.52258064516129,30,True,1.4999839296512232
Brazil.regions.MG:São Tomás de Aquino,0.9999892793694829,6.526881720430108,30,True,1.4999839190542243
Brazil.regions.SC:Tangará,0.9999892652401511,6.535483870967742,30,True,1.4999838978602267
Brazil.regions.PR:Primeiro de Maio,0.9999892369814875,6.552688172043011,30,True,1.4999838554722311
Brazil.regions.PR:Lapa,0.9999890709618385,6.653763440860215,30,True,1.4999836064427579
Brazil.regions.BA:Itatim,0.9999889967828465,6.698924731182796,30,True,1.4999834951742697
Brazil.regions.CE:Crateús,0.9999888166338659,6.808602150537634,30,True,1.4999832249507987
Brazil.regions.PB:Taperoá,0.9999887424548738,6.853763440860215,30,True,1.4999831136823107
Brazil.regions.PR:Verê,0.999988728325542,6.862365591397849,30,True,1.4999830924883129
Brazil.regions.GO:Bela Vista de Goiás,0.9999887141962102,6.870967741935484,30,True,1.4999830712943152
Brazil.regions.RO:Ji-Paraná,0.999988103102609,7.243010752688172,30,True,1.4999821546539134
Brazil.regions.BA:Luís Eduardo Magalhães,0.9999880642469465,7.266666666666667,30,True,1.4999820963704198
Brazil.regions.SC:Papanduva,0.9999880147942851,7.296774193548387,30,True,1.4999820221914277
Brazil.regions.RS:Anta Gorda,0.9999880006649533,7.305376344086022,30,True,1.4999820009974298
Brazil.regions.PR:Palmeira,0.9999879900679545,7.311827956989247,30,True,1.4999819851019316
Brazil.regions.CE:Canindé,0.9999879830032886,7.316129032258065,30,True,1.499981974504933
Brazil.regions.PR:Marumbi,0.9999879759386227,7.320430107526882,30,True,1.499981963907934
Brazil.regions.MG:Goianá,0.999987951212292,7.335483870967742,30,True,1.499981926818438
Brazil.regions.RS:São Jorge,0.9999879158889624,7.356989247311828,30,True,1.4999818738334436
Brazil.regions.RS:Cachoeira do Sul,0.9999878876302988,7.374193548387097,30,True,1.499981831445448
Brazil.regions.GO:Itaguaru,0.9999878381776375,7.404301075268817,30,True,1.4999817572664562
Brazil.regions.PR:Manoel Ribas,0.9999877639986454,7.449462365591398,30,True,1.499981645997968
Brazil.regions.MG:Bonfim,0.999987711013651,7.481720430107527,30,True,1.4999815665204765
Brazil.regions.BA:Adustina,0.9999877004166522,7.488172043010753,30,True,1.4999815506249783
Brazil.regions.RN:Tibau,0.9999876438993249,7.52258064516129,30,True,1.4999814658489874
Brazil.regions.MA:Governador Nunes Freire,0.9999874708150102,7.627956989247312,30,True,1.4999812062225153
Brazil.regions.RS:São Lourenço do Sul,0.9999874072330169,7.666666666666667,30,True,1.4999811108495253
Brazil.regions.BA:Canavieiras,0.9999873153923602,7.72258064516129,30,True,1.4999809730885403
Brazil.regions.SP:Nhandeara,0.9999866371844329,8.135483870967741,30,True,1.4999799557766493
Brazil.regions.RS:Vila Maria,0.999986474697117,8.234408602150538,30,True,1.4999797120456755
Brazil.regions.SC:Aurora,0.9999863687271283,8.298924731182796,30,True,1.4999795530906925
Brazil.regions.BA:Santa Maria da Vitória,0.9999863687271283,8.298924731182796,30,True,1.4999795530906925
Brazil.regions.CE:Croatá,0.9999863687271283,8.298924731182796,30,True,1.4999795530906925
Brazil.regions.MG:Guimarânia,0.9999863687271283,8.298924731182796,30,True,1.4999795530906925
Brazil.regions.MG:Carmo da Cachoeira,0.9999863687271283,8.298924731182796,30,True,1.4999795530906925
Brazil.regions.MG:Campos Altos,0.9999863687271283,8.298924731182796,30,True,1.4999795530906925
Brazil.regions.BA:Cansanção,0.9999863687271283,8.298924731182796,30,True,1.4999795530906925
Brazil.regions.MA:Icatu,0.9999863687271283,8.298924731182796,30,True,1.4999795530906925
Brazil.regions.PR:São Manoel do Paraná,0.9999863687271283,8.298924731182796,30,True,1.4999795530906925
Brazil.regions.BA:Barreiras,0.9999863687271283,8.298924731182796,30,True,1.4999795530906925
Brazil.regions.BA:Aurelino Leal,0.9999863687271283,8.298924731182796,30,True,1.4999795530906925
Brazil.regions.PR:Faxinal,0.9999863687271283,8.298924731182796,30,True,1.4999795530906925
Brazil.regions.PR:Terra Rica,0.9999863687271283,8.298924731182796,30,True,1.4999795530906925
Brazil.regions.SC:Irati,0.9999863687271283,8.298924731182796,30,True,1.4999795530906925
Brazil.regions.PR:Tupãssi,0.9999863687271283,8.298924731182796,30,True,1.4999795530906925
Brazil.regions.PR:Vitorino,0.9999863687271283,8.298924731182796,30,True,1.4999795530906925
Brazil.regions.RJ:Cantagalo,0.9999863687271283,8.298924731182796,30,True,1.4999795530906925
Brazil.regions.SP:Apiaí,0.9999863687271283,8.298924731182796,30,True,1.4999795530906925
Brazil.regions.RS:Ajuricaba,0.9999863687271283,8.298924731182796,30,True,1.4999795530906925
Brazil.regions.RS:Glorinha,0.9999863687271283,8.298924731182796,30,True,1.4999795530906925
Brazil.regions.GO:Hidrolândia,0.9999863687271283,8.298924731182796,30,True,1.4999795530906925
Brazil.regions.RS:Santiago,0.9999863687271283,8.298924731182796,30,True,1.4999795530906925
Brazil.regions.CE:Quixeramobim,0.9999847933066306,9.258064516129032,30,True,1.499977189959946
Brazil.regions.MA:Zé Doca,0.9999825750015351,10.608602150537635,30,True,1.4999738625023027
Brazil.regions.ES:Alfredo Chaves,0.9999782231673351,13.258064516129032,30,True,1.4999673347510027
Brazil.regions.PA:Capitão Poço,0.9999735958111646,16.0752688172043,30,True,1.499960393716747
Sweden.regions.Kalmar,0.9999486893315019,31.238709677419354,30,True,1.499923033997253
Sweden.regions.Kronoberg,0.9999439877963394,34.101075268817205,30,True,1.4999159816945091
Brazil.regions.MA:Chapadinha,0.9999317306009871,41.56344086021505,30,True,1.4998975959014806
Brazil.regions.RO:Ariquemes,0.9998830020678788,71.23010752688172,30,True,1.4998245031018183
Brazil.regions.AM:Iranduba,0.9998572125049776,86.93118279569893,30,True,1.4997858187574664
Brazil.regions.AM:Tabatinga,0.9998033161687568,119.74408602150538,30,True,1.4997049742531352
Brazil.regions.BA:Aiquara,0.9999878716738982,7.3839080459770114,29,True,1.4482582969070252
Brazil.regions.SC:Lindóia do Sul,0.9999580606108305,25.533333333333335,29,True,1.4482151222639614
Brazil.regions.SP:Arandu,0.999993907247673,3.70935960591133,28,True,1.396543215294164
Brazil.regions.PR:Guaraci,0.9999918561019693,4.958128078817734,28,True,1.396540350763095
Brazil.regions.GO:Carmo do Rio Verde,0.9999901366997522,6.004926108374384,28,True,1.3965379495289643
Brazil.regions.SP:Santo Antônio da Alegria,0.9999882878366623,7.130541871921182,28,True,1.3965353674960284
Brazil.regions.RN:Barcelona,0.9999870134561955,7.906403940886699,28,True,1.3965335877577902
Brazil.regions.MA:Barreirinhas,0.9999732420558495,16.29064039408867,28,True,1.3965143552848933
Brazil.regions.MT:Mirassol d'Oeste,0.9999957676483638,2.5767195767195767,27,True,1.3448218944236616
Brazil.regions.PR:Santa Isabel do Ivaí,0.9999944683946276,3.367724867724868,27,True,1.3448201471513959
Brazil.regions.MA:Cururupu,0.9999939035016987,3.7116402116402116,27,True,1.3448193874678018
Brazil.regions.SP:Angatuba,0.9999902751509634,5.920634920634921,27,True,1.3448145079616405
Brazil.regions.PR:Morretes,0.9999886369614698,6.917989417989418,27,True,1.344812304879218
Brazil.regions.RS:Soledade,0.9999824970098662,10.656084656084657,27,True,1.3448040477029235
Brazil.regions.PI:Pedro II,0.9999965043489646,2.128205128205128,26,True,1.2930989280374543
