region,similarity,distance,days
Brazil.regions.MA:Fortuna,1.0,0.0,2
Brazil.regions.PA:Floresta do Araguaia,1.0,0.0,2
Brazil.regions.PI:Vera Mendes,1.0,0.0,2
Brazil.regions.RS:Esperança do Sul,1.0,0.0,2
Brazil.regions.RS:Fontoura Xavier,1.0,0.0,2
Brazil.regions.RS:Ibirubá,1.0,0.0,2
Brazil.regions.RS:Progresso,1.0,0.0,2
Brazil.regions.RS:São Borja,1.0,0.0,2
Brazil.regions.MA:Godofredo Viana,1.0,0.0,1
Brazil.regions.PB:Itatuba,1.0,0.0,1
Brazil.regions.RO:Nova Mamoré,1.0,0.0,1
Brazil.regions.RS:Restinga Sêca,1.0,0.0,1
Brazil.regions.SP:Casa Branca,1.0,0.0,1
Brazil.regions.SP:Severínia,1.0,0.0,1
Brazil.regions.SP:Tambaú,1.0,0.0,1
Brazil.regions.TO:Maurilândia do Tocantins,0.9999850657593574,0.2,5
Brazil.regions.PA:Pau D'Arco,0.9999834063992861,0.2222222222222222,9
Brazil.regions.MG:Wenceslau Braz,0.9999786653705106,0.2857142857142857,7
Brazil.regions.RO:Nova Brasilândia D'Oeste,0.9999786653705106,0.2857142857142857,7
Brazil.regions.PA:Senador José Porfírio,0.9999775986390361,0.3,10
Brazil.regions.SE:Laranjeiras,0.9999770242451653,0.3076923076923077,13
Brazil.regions.CE:Aratuba,0.9999751095989291,0.3333333333333333,9
Brazil.regions.MA:Fortaleza dos Nogueiras,0.9999751095989291,0.3333333333333333,9
Brazil.regions.RS:São Luiz Gonzaga,0.9999751095989291,0.3333333333333333,9
Brazil.regions.SP:Cândido Mota,0.9999751095989291,0.3333333333333333,9
Brazil.regions.SP:Guaraçaí,0.9999751095989291,0.3333333333333333,9
Brazil.regions.SP:Sud Mennucci,0.9999751095989291,0.3333333333333333,9
Brazil.regions.CE:Paramoti,0.9999751095989291,0.3333333333333333,6
Brazil.regions.MA:Água Doce do Maranhão,0.9999751095989291,0.3333333333333333,6
Brazil.regions.PB:Cuitegi,0.9999751095989291,0.3333333333333333,6
Brazil.regions.TO:Formoso do Araguaia,0.9999751095989291,0.3333333333333333,6
Brazil.regions.PA:Brasil Novo,0.9999751095989291,0.3333333333333333,3
Brazil.regions.RS:Canudos do Vale,0.9999728468351954,0.36363636363636365,11
Brazil.regions.MA:Amapá do Maranhão,0.9999719982987952,0.375,8
Brazil.regions.MA:Joselândia,0.9999719982987952,0.375,8
Brazil.regions.RS:General Câmara,0.9999719982987952,0.375,8
Brazil.regions.RS:Mormaço,0.9999719982987952,0.375,8
Brazil.regions.RS:Pinto Bandeira,0.9999719982987952,0.375,8
Brazil.regions.RS:Sertão,0.9999719982987952,0.375,8
Brazil.regions.SC:Balneário Rincão,0.9999719982987952,0.375,8
Brazil.regions.SC:Santa Rosa de Lima,0.9999719982987952,0.375,8
Brazil.regions.SP:Guapiaçu,0.9999719982987952,0.375,8
Brazil.regions.SP:Itapura,0.9999719982987952,0.375,8
Brazil.regions.SP:Patrocínio Paulista,0.9999719982987952,0.375,8
Brazil.regions.SP:Torre de Pedra,0.9999719982987952,0.375,8
Brazil.regions.AL:Taquarana,0.9999712803064567,0.38461538461538464,13
Brazil.regions.CE:Deputado Irapuan Pinheiro,0.9999709611987506,0.3888888888888889,18
Brazil.regions.BA:Dário Meira,0.9999701315187148,0.4,15
Brazil.regions.PI:Francisco Santos,0.9999701315187148,0.4,10
Brazil.regions.SC:Paial,0.9999701315187148,0.4,10
Brazil.regions.MA:Centro do Guilherme,0.9999701315187148,0.4,5
Brazil.regions.SC:São Carlos,0.9999701315187148,0.4,5
Brazil.regions.SP:Nova Aliança,0.9999701315187148,0.4,5
Brazil.regions.PR:Palotina,0.9999688869986614,0.4166666666666667,12
Brazil.regions.SP:Pedro de Toledo,0.999968559493384,0.42105263157894735,19
Brazil.regions.SP:Socorro,0.999968559493384,0.42105263157894735,19
Brazil.regions.TO:Wanderlândia,0.999967998055766,0.42857142857142855,14
Brazil.regions.AC:Epitaciolândia,0.999967998055766,0.42857142857142855,7
Brazil.regions.MG:Santana de Cataguases,0.999967998055766,0.42857142857142855,7
Brazil.regions.RN:Goianinha,0.999967998055766,0.42857142857142855,7
Brazil.regions.RN:Paraú,0.999967998055766,0.42857142857142855,7
Brazil.regions.RO:Alvorada D'Oeste,0.999967998055766,0.42857142857142855,7
Brazil.regions.RR:Normandia,0.999967998055766,0.42857142857142855,7
Brazil.regions.SC:Treze Tílias,0.999967998055766,0.42857142857142855,7
Brazil.regions.SP:Américo de Campos,0.999967998055766,0.42857142857142855,7
Brazil.regions.SP:Bananal,0.999967998055766,0.42857142857142855,7
Brazil.regions.SP:Gastão Vidigal,0.999967998055766,0.42857142857142855,7
Brazil.regions.SP:Guareí,0.999967998055766,0.42857142857142855,7
Brazil.regions.SP:Santa Cruz da Esperança,0.999967998055766,0.42857142857142855,7
Brazil.regions.SP:Colina,0.9999673313485944,0.4375,16
Brazil.regions.CE:Assaré,0.9999668127985721,0.4444444444444444,9
Brazil.regions.CE:Chaval,0.9999668127985721,0.4444444444444444,9
Brazil.regions.MG:Lima Duarte,0.9999668127985721,0.4444444444444444,9
Brazil.regions.PB:Mataraca,0.9999668127985721,0.4444444444444444,9
Brazil.regions.PB:Nova Floresta,0.9999668127985721,0.4444444444444444,9
Brazil.regions.PB:Uiraúna,0.9999668127985721,0.4444444444444444,9
Brazil.regions.PI:Beneditinos,0.9999668127985721,0.4444444444444444,9
Brazil.regions.PR:Marilândia do Sul,0.9999668127985721,0.4444444444444444,9
Brazil.regions.RN:Bom Jesus,0.9999668127985721,0.4444444444444444,9
Brazil.regions.RN:Ielmo Marinho,0.9999668127985721,0.4444444444444444,9
Brazil.regions.RN:Parelhas,0.9999668127985721,0.4444444444444444,9
Brazil.regions.RS:São Marcos,0.9999668127985721,0.4444444444444444,9
Brazil.regions.RS:Três Arroios,0.9999668127985721,0.4444444444444444,9
Brazil.regions.SC:Grão Pará,0.9999668127985721,0.4444444444444444,9
Brazil.regions.SC:Passo de Torres,0.9999668127985721,0.4444444444444444,9
Brazil.regions.SE:Pinhão,0.9999668127985721,0.4444444444444444,9
Brazil.regions.SP:Ibirarema,0.9999668127985721,0.4444444444444444,9
Brazil.regions.SP:Nipoã,0.9999668127985721,0.4444444444444444,9
Brazil.regions.SP:Santa Cruz das Palmeiras,0.9999668127985721,0.4444444444444444,9
Brazil.regions.TO:Miranorte,0.9999668127985721,0.4444444444444444,9
Brazil.regions.BA:Santo Antônio de Jesus,0.9999660585439942,0.45454545454545453,11
Brazil.regions.PA:Breu Branco,0.9999660585439942,0.45454545454545453,11
Brazil.regions.PA:Rio Maria,0.9999660585439942,0.45454545454545453,11
Brazil.regions.PB:Piancó,0.9999660585439942,0.45454545454545453,11
