region,cases_distance,deaths_distance,cases_per_100k_distance,deaths_per_100k_distance,is_same_cluster
Brazil.regions.BA:Barreiras,0.0,1.0,5.397496863989616,6.040836051709558,False
Brazil.regions.BA:Campo Formoso,0.0,1.0,4.63646001598223,6.040836051709558,False
Brazil.regions.GO:Padre Bernardo,0.0,1.0,3.085316619169288,6.040836051709557,False
Brazil.regions.MG:Três Marias,0.0,1.0,2.9502191645788858,6.040836051709556,False
Brazil.regions.MS:Ponta Porã,0.0,1.0,4.960058756678972,6.040836051709558,False
Brazil.regions.MS:Sidrolândia,0.0,1.0,4.306681885404173,6.040836051709558,False
Brazil.regions.PA:Viseu,10.145259938837919,0.0,13.105520591827513,4.412251129148769,False
Brazil.regions.RS:Caçapava do Sul,0.0,1.0,3.0667699084785314,6.040836051709558,False
Brazil.regions.RS:São Gabriel,0.0,1.0,4.430659737403142,6.040836051709558,False
United_States_of_America.regions.California:Tehama,0.0,0.4452324665090623,4.50436011292276,5.1884490848806335,False
Brazil.regions.AL:Canapi,0.0,1.0,0.39813206796054423,6.040836051709558,False
Brazil.regions.AL:Olho d'Água do Casado,0.0,1.0,4.628106656068103,6.040836051709557,False
Brazil.regions.BA:Adustina,0.0,0.016548463356974,0.1722914507705902,0.2694068460579963,False
Brazil.regions.BA:Araças,0.0,1.0,2.1713672824449963,6.040836051709557,False
Brazil.regions.BA:Aurelino Leal,0.0,1.0,2.6314386859541328,6.040836051709558,False
Brazil.regions.BA:Conde,0.0,1.0,2.1704176594813576,6.040836051709558,False
Brazil.regions.BA:Itamaraju,0.0,1.0,4.490111863513671,6.040836051709558,False
Brazil.regions.CE:Aurora,0.910865322055953,0.0,3.7423718780530844,1.9846991165266248,False
Brazil.regions.CE:Croatá,0.0,1.0,0.5046571224065621,6.040836051709558,False
Brazil.regions.CE:Piquet Carneiro,0.0,1.0,0.14426196125611046,6.040836051709557,False
Brazil.regions.ES:Ibitirama,0.0,1.0,5.209023325048233,6.040836051709557,False
Brazil.regions.ES:São Domingos do Norte,0.0,1.0,5.535917826502991,6.040836051709557,False
Brazil.regions.GO:Campos Belos,11.452282157676349,0.0,56.63316364238048,1.0124255322747509,False
Brazil.regions.GO:Catalão,0.0,1.0,5.121912662352528,6.040836051709558,False
Brazil.regions.GO:Guapó,0.0,1.0,0.9969568964219092,6.040836051709558,False
Brazil.regions.MG:Capinópolis,0.0,1.0,0.14230869570898008,6.040836051709558,False
Brazil.regions.MG:Cruzília,0.0,1.0,0.4455101894527962,6.040836051709557,False
Brazil.regions.MG:Divinésia,0.0,1.0,23.22460146658134,6.040836051709558,False
Brazil.regions.MG:Divisa Nova,0.0,1.0,10.595330975407398,6.040836051709557,False
Brazil.regions.MG:Inhapim,0.0,1.0,1.8983339804585213,6.040836051709557,False
Brazil.regions.MG:Itaipé,0.0,1.0,1.7961545439017286,6.040836051709557,False
Brazil.regions.MG:Itumirim,0.0,1.0,10.562185698248934,6.040836051709558,False
Brazil.regions.MG:Lagoa Dourada,0.0,1.0,1.6461498811061857,6.040836051709557,False
Brazil.regions.MG:Malacacheta,0.0,1.0,0.6789057568033909,6.040836051709557,False
Brazil.regions.MG:Poté,0.0,1.0,0.00036489495933000887,6.040836051709558,False
Brazil.regions.MG:Sobrália,0.0,1.0,11.9674477588433,6.040836051709558,False
Brazil.regions.MG:São Geraldo da Piedade,0.0,0.006852667645619188,19.19894183824501,19.10877371244398,False
Brazil.regions.MG:Tombos,0.0,1.0,6.424883220292438,6.040836051709556,False
Brazil.regions.PB:Cuité,0.0,1.0,1.1239317346675668,6.040836051709557,False
Brazil.regions.PB:Lastro,0.0,1.0,30.495517620193983,6.040836051709557,False
Brazil.regions.PB:Picuí,0.0,1.0,0.6941002339263136,6.040836051709557,False
Brazil.regions.PB:Pocinhos,0.0,1.0,0.6540659590571121,6.040836051709556,False
Brazil.regions.PB:Santa Helena,0.0,1.0,10.939975631088881,6.040836051709557,False
Brazil.regions.PE:Custódia,13.514920889244943,0.9299018626076507,33.51175744843688,0.9840408206743785,False
Brazil.regions.PI:Buriti dos Lopes,1.1994698475811798,0.0,5.272881689893075,0.9854799018688009,False
Brazil.regions.PR:Anahy,0.0,1.0,29.660699114302584,6.040836051709557,False
Brazil.regions.PR:Campo do Tenente,0.0,1.0,6.50464130370382,6.040836051709559,False
Brazil.regions.PR:Jaguapitã,0.0,1.0,1.301307854311001,6.040836051709556,False
Brazil.regions.PR:Nova Fátima,0.0,1.0,6.224587718681708,6.040836051709558,False
Brazil.regions.PR:Pinhal de São Bento,0.0,1.0,30.5757878955625,6.040836051709556,False
Brazil.regions.PR:Primeiro de Maio,0.9361702127659576,0.0,11.366070473202406,2.949544241376841,False
Brazil.regions.PR:Santa Mariana,0.0,1.0,2.488676060197643,6.040836051709557,False
Brazil.regions.PR:São João,0.0,1.0,3.7238353670971995,6.040836051709557,False
Brazil.regions.PR:Tupãssi,0.0,1.0,6.268371235341159,6.040836051709558,False
Brazil.regions.RN:Antônio Martins,0.0,1.0,7.954965207912557,6.040836051709557,False
Brazil.regions.RN:Barcelona,0.0,1.0,18.971670201417002,6.040836051709558,False
Brazil.regions.RN:Cerro Corá,0.0,0.0,2.904507896765263,2.904507896765263,False
Brazil.regions.RN:Riacho da Cruz,0.0,1.0,21.899929525267247,6.040836051709558,False
Brazil.regions.RN:Rodolfo Fernandes,0.0,1.0,16.345553023732574,6.040836051709557,False
Brazil.regions.RS:São Jerônimo,0.0,1.0,1.9167845835472344,6.040836051709557,False
Brazil.regions.RS:São José das Missões,0.0,1.0,33.375797767762265,6.040836051709557,False
Brazil.regions.SC:Aurora,0.0,1.0,11.56789788032073,6.040836051709558,False
Brazil.regions.SC:Praia Grande,0.0,1.0,7.6222326735261285,6.040836051709556,False
Brazil.regions.SC:Santa Helena,0.0,1.0,38.94341945886175,6.040836051709558,False
Brazil.regions.SC:Tigrinhos,0.0,1.0,55.196151088523145,6.040836051709558,False
Brazil.regions.SE:Itabi,0.0,1.0,14.35484006495371,6.040836051709557,False
Brazil.regions.SE:Nossa Senhora Aparecida,0.0,1.0,5.327967950109451,6.040836051709557,False
Brazil.regions.SP:Brejo Alegre,0.0,1.0,28.863177909896024,6.040836051709556,False
Brazil.regions.SP:Estrela d'Oeste,0.0,1.0,5.837059185254452,6.040836051709557,False
Brazil.regions.SP:Flórida Paulista,0.0,1.0,0.7897650411866178,6.040836051709558,False
Brazil.regions.SP:Marapoama,0.0,1.0,26.951575693589028,6.040836051709556,False
Brazil.regions.SP:Sarutaiá,0.0,1.0,21.44679451453563,6.040836051709556,False
Brazil.regions.SP:Trabiju,0.0,1.0,51.96380431952014,6.040836051709557,False
United_States_of_America.regions.Kentucky:Bell,0.0,1.0,2.199410114401629,6.040836051709557,False
United_States_of_America.regions.Kentucky:Bourbon,2.955082742316785,0.011032308904649332,13.991566186638336,1.0430207540779088,False
United_States_of_America.regions.Michigan:Emmet,16.223010244286844,0.9637509850275809,45.571358371247214,0.7252540267251426,False
United_States_of_America.regions.North Carolina:Avery,0.0,1.0,0.3451021563971466,6.040836051709557,False
Brazil.regions.AL:Inhapi,0.0,1.0,0.6016192989219586,6.040836051709556,False
Brazil.regions.AL:Jundiá,0.0,1.0,18.026552636617758,6.040836051709557,False
Brazil.regions.CE:Jardim,0.0,1.0,2.3608478276718747,6.040836051709558,False
Brazil.regions.CE:Pires Ferreira,0.0,1.0,3.0907501048058306,6.040836051709556,False
Brazil.regions.GO:Santo Antônio de Goiás,0.0,1.0,9.875127659893181,6.040836051709556,False
Brazil.regions.MG:Alpercata,0.0,1.0,7.4289915344973405,6.040836051709558,False
Brazil.regions.MG:Alpinópolis,0.0,1.0,1.0038139391824838,6.040836051709556,False
Brazil.regions.MG:Cajuri,0.0,1.0,19.04067887179182,6.040836051709556,False
Brazil.regions.MG:Campanha,0.0,1.0,0.04023599170355663,6.040836051709557,False
Brazil.regions.MG:Cipotânea,0.0,1.0,8.693214338742777,6.040836051709557,False
Brazil.regions.MG:Igaratinga,0.0,1.0,3.1672670790455077,6.040836051709557,False
Brazil.regions.MG:Inconfidentes,0.0,1.0,7.605452157897429,6.040836051709557,False
Brazil.regions.MG:Lajinha,0.0,1.0,1.021511652773654,6.040836051709558,False
Brazil.regions.MG:Oliveira,0.0,1.0,3.642006680442735,6.040836051709557,False
Brazil.regions.MG:Pitangui,0.0,1.0,2.4680038676372433,6.040836051709557,False
