region,similarity,distance,days,is_same_cluster,score
Brazil.regions.CE:Alto Santo,0.9999955982663613,2.6798418972332017,22,True,1.4999933973995416
Brazil.regions.MT:Jaciara,0.9999948841207857,3.1146245059288535,22,True,1.4999923261811783
Brazil.regions.PR:Querência do Norte,0.9999941115451175,3.5849802371541504,22,True,1.499991167317676
Brazil.regions.PA:Santa Cruz do Arari,0.99999409206842,3.5968379446640317,22,True,1.4999911381026299
Brazil.regions.CE:Jaguaretama,0.9999939427470724,3.6877470355731226,22,True,1.4999909141206083
Brazil.regions.PR:Planaltina do Paraná,0.9999939037936774,3.7114624505928853,22,True,1.4999908556905157
Brazil.regions.SP:Cananéia,0.9999936116432147,3.889328063241107,22,True,1.4999904174648218
Brazil.regions.GO:Professor Jamil,0.9999935012752621,3.9565217391304346,22,True,1.4999902519128927
Brazil.regions.MS:Nova Andradina,0.9999931442024743,4.173913043478261,22,True,1.4999897163037113
Brazil.regions.RS:Ibirapuitã,0.9999927611607564,4.407114624505929,22,True,1.4999891417411342
Brazil.regions.AC:Acrelândia,0.9999926313161064,4.486166007905139,22,True,1.4999889469741592
Brazil.regions.PI:Piracuruca,0.9999921314142034,4.790513833992095,22,True,1.4999881971213047
Brazil.regions.SP:Iguape,0.9999920080617858,4.865612648221344,22,True,1.4999880120926783
Brazil.regions.PA:Tucumã,0.9999917353880206,5.031620553359684,22,True,1.4999876030820305
Brazil.regions.PI:Floriano,0.9999913198851402,5.284584980237154,22,True,1.49998697982771
Brazil.regions.PA:Xinguara,0.9999912874239777,5.304347826086956,22,True,1.4999869311359662
Brazil.regions.MA:Morros,0.9999911640715601,5.379446640316205,22,True,1.4999867461073397
Brazil.regions.BA:Itapebi,0.999991021242445,5.466403162055336,22,True,1.4999865318636671
Brazil.regions.PE:Sertânia,0.999990969304585,5.4980237154150196,22,True,1.4999864539568772
Brazil.regions.MT:Primavera do Leste,0.9999908719210974,5.557312252964427,22,True,1.4999863078816458
Brazil.regions.PA:Canaã dos Carajás,0.9999908264754699,5.58498023715415,22,True,1.4999862397132044
Brazil.regions.PR:Guaraniaçu,0.9999907161075172,5.6521739130434785,22,True,1.4999860741612756
Brazil.regions.MG:Ferros,0.9999906771541222,5.675889328063241,22,True,1.4999860157311828
Brazil.regions.PR:Guairaçá,0.9999906057395647,5.719367588932807,22,True,1.4999859086093466
