region,similarity,distance,days,is_same_cluster,score
Brazil.regions.MT:Várzea Grande,0.9999153821790561,4.097253155159616,53,False,0.9999153821790561
Brazil.regions.RS:Estrela,0.9999142706023179,4.151076466221235,53,False,0.9999142706023179
Brazil.regions.GO:Valparaíso de Goiás,0.9999135269958102,4.187082405345214,53,False,0.9999135269958102
Brazil.regions.RS:Carlos Barbosa,0.999912239100003,4.249443207126951,53,False,0.999912239100003
Brazil.regions.SP:Taubaté,0.9999085823958366,4.426503340757241,53,False,0.9999085823958366
Brazil.regions.RO:Ji-Paraná,0.9998951744805592,5.075723830734968,53,False,0.9998951744805592
Brazil.regions.RS:Garibaldi,0.9998943618796333,5.115070527097256,53,False,0.9998943618796333
Brazil.regions.RS:Serafina Corrêa,0.9998915331084857,5.2520415738678565,53,False,0.9998915331084857
Brazil.regions.ES:Cachoeiro de Itapemirim,0.9998902988750038,5.311804008908688,53,False,0.9998902988750038
Brazil.regions.CE:Juazeiro do Norte,0.9998858295699115,5.5282108389012645,53,False,0.9998858295699115
Brazil.regions.RS:Farroupilha,0.9998821728657449,5.7052709725315545,53,False,0.9998821728657449
Brazil.regions.SP:Hortolândia,0.9998817665652819,5.724944320712698,53,False,0.9998817665652819
Brazil.regions.MG:Poços de Caldas,0.9998777035606524,5.921677802524131,53,False,0.9998777035606524
Brazil.regions.SC:Gaspar,0.99987323425556,6.138084632516707,53,False,0.99987323425556
Brazil.regions.MG:Patrocínio,0.9998716090537082,6.21677802524128,53,False,0.9998716090537082
Brazil.regions.PE:Petrolina,0.9998710954285946,6.241648106904234,53,False,0.9998710954285946
Brazil.regions.BA:Teixeira de Freitas,0.9998703901523194,6.2757980697847096,53,False,0.9998703901523194
Brazil.regions.PR:Ponta Grossa,0.9998671857448946,6.430957683741651,53,False,0.9998671857448946
Brazil.regions.RJ:Barra Mansa,0.9998634830444493,6.610244988864146,53,False,0.9998634830444493
Brazil.regions.SC:Lages,0.9998610452416715,6.728285077951006,53,False,0.9998610452416715
Brazil.regions.MG:Betim,0.9998605009523721,6.7546399406087625,53,False,0.9998605009523721
Sweden.regions.Gotland,0.999859082733775,6.823311061618414,53,False,0.999859082733775
Brazil.regions.RR:Bonfim,0.999858040151455,6.873793615441726,53,False,0.999858040151455
Brazil.regions.SC:Jaraguá do Sul,0.9998571048937855,6.919079435783226,53,False,0.9998571048937855
Brazil.regions.PR:Telêmaco Borba,0.9998553570351902,7.003711952487013,53,False,0.9998553570351902
Brazil.regions.MG:Ipatinga,0.9998541381338014,7.0627319970304425,53,False,0.9998541381338014
Brazil.regions.SC:Gravatal,0.9998524286054384,7.1455085374907235,53,False,0.9998524286054384
Brazil.regions.GO:Aparecida de Goiânia,0.9998515700082338,7.187082405345215,53,False,0.9998515700082338
Brazil.regions.PR:Colombo,0.9998514166873043,7.194506310319232,53,False,0.9998514166873043
Brazil.regions.GO:Jataí,0.9998512940305607,7.2004454342984445,53,False,0.9998512940305607
Brazil.regions.MG:Mariana,0.9998501977859154,7.253526354862662,53,False,0.9998501977859154
Brazil.regions.SP:Jaguariúna,0.999849262528246,7.298812175204161,53,False,0.999849262528246
Sri_Lanka,0.9998464184250054,7.436525612472164,53,False,0.9998464184250054
Brazil.regions.SC:Tijucas,0.9998423554203759,7.6332590942835985,53,False,0.9998423554203759
Brazil.regions.MG:Divinópolis,0.999841949119913,7.652932442464739,53,False,0.999841949119913
Vietnam,0.9998399866120165,7.74795842613215,53,False,0.9998399866120165
Brazil.regions.RJ:Guapimirim,0.9998399176175982,7.751299183370456,53,False,0.9998399176175982
Brazil.regions.SC:Laguna,0.9998386987162093,7.810319227913885,53,False,0.9998386987162093
Saint_Vincent_and_the_Grenadines,0.9998370735143576,7.889012620638461,53,False,0.9998370735143576
Brazil.regions.RS:Alvorada,0.999836966189707,7.894209354120272,53,False,0.999836966189707
Brazil.regions.SC:Imbituba,0.9998359696036658,7.942464736451377,53,False,0.9998359696036658
Brazil.regions.PR:Guaíra,0.9998350420120429,7.987379361544176,53,False,0.9998350420120429
Brazil.regions.SC:Içara,0.9998326042092651,8.105419450631036,53,False,0.9998326042092651
Brazil.regions.RS:Santa Maria,0.9998315309627592,8.157386785449152,53,False,0.9998315309627592
Brazil.regions.RS:Sant'Ana do Livramento,0.9998311706585751,8.17483296213809,53,False,0.9998311706585751
Brazil.regions.SP:Iracemápolis,0.9998301664064875,8.223459539717895,53,False,0.9998301664064875
Brazil.regions.RS:Cruzeiro do Sul,0.9998293538055616,8.26280623608018,53,False,0.9998293538055616
Brazil.regions.RS:Erechim,0.9998280199134756,8.327394209354125,53,False,0.9998280199134756
Brazil.regions.PR:Pato Branco,0.9998273223032468,8.361172976985898,53,False,0.9998273223032468
Brazil.regions.SP:Valinhos,0.9998269160027838,8.380846325167042,53,False,0.9998269160027838
Brazil.regions.RS:Torres,0.9998260574055792,8.422420193021534,53,False,0.9998260574055792
Brazil.regions.RS:Viamão,0.9998248845004691,8.479213066072758,53,False,0.9998248845004691
Gambia,0.9998244782000062,8.498886414253901,53,False,0.9998244782000062
Brazil.regions.PR:Pinhais,0.9998240718995433,8.518559762435045,53,False,0.9998240718995433
Brazil.regions.SE:Nossa Senhora da Glória,0.9998228529981543,8.577579806978475,53,False,0.9998228529981543
Brazil.regions.RS:Rio Grande,0.9998227456735038,8.582776540460287,53,False,0.9998227456735038
Brazil.regions.MG:Timóteo,0.9998200088949137,8.715293244246478,53,False,0.9998200088949137
Papua_New_Guinea,0.999818383693062,8.79398663697105,53,False,0.999818383693062
Timor_Leste,0.9998179773925989,8.813659985152194,53,False,0.9998179773925989
Brazil.regions.PE:Belo Jardim,0.9998167584912101,8.872680029695626,53,False,0.9998167584912101
Brazil.regions.BA:Juazeiro,0.9998160915451672,8.904974016332595,53,False,0.9998160915451672
Cambodia,0.9998159458902842,8.912026726057912,53,False,0.9998159458902842
Brazil.regions.GO:Rio Verde,0.9998155625879607,8.930586488492951,53,False,0.9998155625879607
Brazil.regions.MG:Sete Lagoas,0.9998155395898213,8.931700074239055,53,False,0.9998155395898213
Bhutan,0.9998143206884325,8.990720118782486,53,False,0.9998143206884325
Central_African_Republic,0.9998143206884325,8.990720118782484,53,False,0.9998143206884325
Brazil.regions.RS:Sapiranga,0.9998138070633189,9.015590200445438,53,False,0.9998138070633189
Brazil.regions.BA:Porto Seguro,0.9998132857721589,9.040831477357093,53,False,0.9998132857721589
Brazil.regions.RJ:Miguel Pereira,0.999811951880073,9.105419450631038,53,False,0.999811951880073
Brazil.regions.PR:Umuarama,0.9998114765851918,9.128433556050487,53,False,0.9998114765851918
Brazil.regions.SC:Jaguaruna,0.9998107866410094,9.161841128433561,53,False,0.9998107866410094
Brazil.regions.MG:Coronel Fabriciano,0.9998106869824053,9.166666666666671,53,False,0.9998106869824053
Brazil.regions.RS:Capão da Canoa,0.9998104033386859,9.180400890868603,53,False,0.9998104033386859
Brazil.regions.PR:Campo Largo,0.9998094450828771,9.226800296956206,53,False,0.9998094450828771
Mongolia,0.9998082261814882,9.285820341499635,53,False,0.9998082261814882
Brazil.regions.PR:Cianorte,0.9998066009796364,9.364513734224206,53,False,0.9998066009796364
Brazil.regions.SP:Vargem Grande Paulista,0.9998061946791734,9.384187082405349,53,False,0.9998061946791734
Brazil.regions.SC:Pomerode,0.999802131674544,9.580920564216783,53,False,0.999802131674544
Brazil.regions.RS:Campo Bom,0.9997988812708404,9.738307349665929,53,False,0.9997988812708404
Brazil.regions.RS:Osório,0.9997988812708404,9.73830734966593,53,False,0.9997988812708404
Brazil.regions.BA:Prado,0.9997980916680539,9.776540460282114,53,False,0.9997980916680539
Nicaragua,0.9997979613452639,9.782850779510026,53,False,0.9997979613452639
Brazil.regions.GO:Anápolis,0.9997973250634068,9.813659985152198,53,False,0.9997973250634068
Brazil.regions.MG:Lagoa da Prata,0.9997961598243432,9.87008166295472,53,False,0.9997961598243432
Brazil.regions.RS:Estância Velha,0.9997960601657392,9.87490720118783,53,False,0.9997960601657392
Mauritania,0.9997960371675998,9.876020786933932,53,False,0.9997960371675998
Brazil.regions.CE:Mauriti,0.9997915678625073,10.092427616926507,53,False,0.9997915678625073
Brazil.regions.RS:Ivoti,0.9997908242559996,10.128433556050487,53,False,0.9997908242559996
Brazil.regions.ES:Linhares,0.999789835336005,10.176317743132895,53,False,0.999789835336005
Brazil.regions.BA:Brumado,0.9997887237592666,10.230141054194512,53,False,0.9997887237592666
Brazil.regions.SC:Porto Belo,0.999788225466246,10.254268745360063,53,False,0.999788225466246
Brazil.regions.RS:Canoas,0.9997880338150843,10.263548626577585,53,False,0.9997880338150843
Saint_Lucia,0.9997867612513701,10.32516703786192,53,False,0.9997867612513701
Brazil.regions.RS:Dois Irmãos,0.999786285956489,10.348181143281371,53,False,0.999786285956489
Curaçao,0.9997842544541742,10.446547884187087,53,False,0.9997842544541742
Brazil.regions.RS:Santo Antônio da Patrulha,0.9997826292523224,10.525241276911661,53,False,0.9997826292523224
Brazil.regions.RS:Eldorado do Sul,0.9997805977500077,10.623608017817377,53,False,0.9997805977500077
Brazil.regions.RS:Paraí,0.9997801914495448,10.643281365998519,53,False,0.9997801914495448
Brazil.regions.SE:Propriá,0.9997776463221164,10.766518188567193,53,False,0.9997776463221164
Brazil.regions.RS:Charqueadas,0.9997765347453782,10.82034149962881,53,False,0.9997765347453782
Turks_and_Caicos_islands,0.9997695893072758,11.15664439495175,53,True,0.9997695893072758
Brazil.regions.PB:Igaracy,0.9997659709333415,11.331848552338537,53,True,0.9997659709333415
Faroe_Islands,0.9966439045137183,162.50445434298447,53,True,0.9966439045137183
Brazil.regions.RS:Cerro Grande do Sul,0.9997859609799531,10.363916730917506,52,True,0.9809220749237275
Brazil.regions.BA:São Domingos,0.99978554697798,10.383962991518894,52,True,0.9809216687331125
Brazil.regions.SC:Antônio Carlos,0.9997792782317589,10.687500000000004,50,True,0.9431879983318481
Brazil.regions.ES:São Roque do Canaã,0.9998586323427359,6.845119305856834,49,True,0.9243976034866803
Brazil.regions.CE:Beberibe,0.9998654531424908,6.514851485148516,47,True,0.8866731376923975
Brazil.regions.RS:Capão do Leão,0.999889664524749,5.342519685039372,46,True,0.8678287654365746
Brazil.regions.PR:Ibaiti,0.9999077812447127,4.465295629820052,45,True,0.8489783048304165
Brazil.regions.PR:Assis Chateaubriand,0.9998839434662878,5.619537275064269,45,True,0.8489580652072256
Brazil.regions.CE:Icó,0.9999602942316177,1.9225806451612906,44,True,0.8301557159658713
Brazil.regions.ES:Afonso Cláudio,0.9999018015057122,4.754838709677421,44,True,0.8301071559670063
Brazil.regions.SP:Guararapes,0.9999423664037907,2.790658413055712,43,True,0.8112739953842076
Brazil.regions.MT:Sinop,0.9997542988793184,11.897017445132247,43,True,0.811121412298315
Brazil.regions.RN:Baía Formosa,0.9999345360131268,3.1698113207547176,42,True,0.7924009530670062
Brazil.regions.PR:Palmas,0.9999330017009345,3.2441037735849063,42,True,0.792399737196967
Brazil.regions.RS:Sananduva,0.9999722464370225,1.3438466295609155,41,True,0.7735634359229797
Brazil.regions.RO:Rolim de Moura,0.999958107829468,2.0284477427334573,41,True,0.7735524985095885
Brazil.regions.PR:Balsa Nova,0.9999418746133868,2.814471243042672,41,True,0.7735399407386577
Brazil.regions.CE:Pedra Branca,0.9998460462732949,7.454545454545456,41,True,0.7734658093812281
Brazil.regions.CE:Lavras da Mangabeira,0.9999645960070992,1.7142857142857144,40,True,0.7546902611374334
Brazil.regions.CE:Amontada,0.9999570860692111,2.0779220779220777,40,True,0.754684593259782
Brazil.regions.MG:Senador Amaral,0.999950112555458,2.4155844155844157,40,True,0.7546793302305344
Brazil.regions.CE:Santana do Acaraú,0.9999442118899745,2.7012987012987018,40,True,0.754674876898094
Brazil.regions.MG:Centralina,0.9999361655279515,3.0909090909090913,40,True,0.754668804172039
Brazil.regions.RN:Taipu,0.9999289238021309,3.4415584415584415,40,True,0.7546633387185895
Brazil.regions.SP:Joanópolis,0.9999708412811201,1.411885245901639,39,True,0.735827600187994
Brazil.regions.SP:Tanabi,0.9999570871684409,2.0778688524590163,39,True,0.7358174792371546
Brazil.regions.RJ:Sapucaia,0.9998107434095342,9.163934426229506,39,True,0.7357097923202233
Brazil.regions.PE:Salgueiro,0.9997581674321442,11.709699453551911,39,True,0.7356711043368608
Brazil.regions.RS:Arroio dos Ratos,0.9999668968421295,1.6028776978417265,38,True,0.7169573977358664
