region,similarity,distance,days
Brazil.regions.AM:Japurá,0.9999624399285963,0.5,2
Brazil.regions.MA:Cidelândia,0.9998998398095902,1.3333333333333333,3
Brazil.regions.PA:Soure,0.9998948318000698,1.4,5
Brazil.regions.RS:Imigrante,0.9998948318000698,1.4,5
Brazil.regions.MA:Cândido Mendes,0.999891493127056,1.4444444444444444,9
Brazil.regions.MA:Anapurus,0.9998873197857889,1.5,10
Brazil.regions.MT:Sorriso,0.9998873197857889,1.5,8
Brazil.regions.GO:Palmeiras de Goiás,0.9998873197857889,1.5,2
Brazil.regions.RS:Bom Princípio,0.9998819540613028,1.5714285714285714,7
Brazil.regions.MA:Maranhãozinho,0.9998798077715082,1.6,5
Brazil.regions.MG:Dionísio,0.9998798077715082,1.6,5
Brazil.regions.PA:Vitória do Xingu,0.9998798077715082,1.6,5
Brazil.regions.PB:Remígio,0.9998779297679381,1.625,8
Brazil.regions.RN:Felipe Guerra,0.9998779297679381,1.625,8
Brazil.regions.MA:Santa Quitéria do Maranhão,0.9998747997619878,1.6666666666666667,9
Brazil.regions.MG:Brumadinho,0.9998722957572275,1.7,10
Brazil.regions.SE:Cedro de São João,0.9998722957572275,1.7,10
Brazil.regions.MA:Porto Rico do Maranhão,0.9998712226123303,1.7142857142857142,7
Brazil.regions.PB:Juazeirinho,0.9998712226123303,1.7142857142857142,7
Brazil.regions.RR:Amajari,0.9998712226123303,1.7142857142857142,7
Brazil.regions.SP:Torrinha,0.9998712226123303,1.7142857142857142,7
Brazil.regions.MA:Sítio Novo,0.9998702470260601,1.7272727272727273,11
Brazil.regions.MG:Monte Alegre de Minas,0.9998685397500872,1.75,4
Brazil.regions.PB:Alagoinha,0.9998664530794537,1.7777777777777777,9
Brazil.regions.AL:São Luís do Quitunde,0.9998647837429467,1.8,5
Brazil.regions.MG:Cana Verde,0.9998647837429467,1.8,5
Brazil.regions.TO:Maurilândia do Tocantins,0.9998647837429467,1.8,5
Brazil.regions.MA:Pirapemas,0.9998634179221685,1.8181818181818181,11
Brazil.regions.SP:Ipuã,0.9998622797381865,1.8333333333333333,6
Brazil.regions.MG:Carmópolis de Minas,0.9998604911633577,1.8571428571428572,7
Brazil.regions.RR:Normandia,0.9998604911633577,1.8571428571428572,7
Brazil.regions.RR:São João da Baliza,0.9998604911633577,1.8571428571428572,7
Brazil.regions.BA:São Sebastião do Passé,0.9998591497322362,1.875,8
Brazil.regions.SC:Guatambú,0.9998591497322362,1.875,8
Brazil.regions.CE:Tamboril,0.9998581063969194,1.8888888888888888,9
Brazil.regions.PI:Batalha,0.9998581063969194,1.8888888888888888,9
Brazil.regions.RS:Terra de Areia,0.9998581063969194,1.8888888888888888,9
Brazil.regions.SC:Porto União,0.9998581063969194,1.8888888888888888,9
Brazil.regions.BA:Retirolândia,0.999857271728666,1.9,10
