region,cases_distance,deaths_distance,cases_per_100k_distance,deaths_per_100k_distance,is_same_cluster
Brazil.regions.BA:Bom Jesus da Lapa,2.0,0.0,4.165563457480138,0.0,False
Brazil.regions.BA:Campo Formoso,11.87129109863673,0.9161988773055333,1.6902502913596194,0.15846284235600624,False
Brazil.regions.GO:Minaçu,1.325301204819277,0.0,9.288922243649967,0.0,False
Brazil.regions.GO:Padre Bernardo,0.5,0.0,2.696084205733346,0.0,False
Brazil.regions.GO:Quirinópolis,0.4642857142857143,0.0,2.200256817449576,0.0,False
Brazil.regions.MA:Arame,6.166484118291347,0.0,23.025238984495118,0.0,False
Brazil.regions.MA:Parnarama,3.0,0.0,11.286062862995019,0.0,False
Brazil.regions.MG:Diamantina,3.4,0.0,9.944068337665323,0.0,False
Brazil.regions.MS:Naviraí,5.495444801714898,0.5573419078242229,1.169443337864898,0.096396082843587,False
Brazil.regions.MT:Sorriso,15.798861480075903,0.0,19.28759855049503,0.0,False
Brazil.regions.PA:Ipixuna do Pará,17.995260663507107,0.0,30.660289454349787,0.0,False
Brazil.regions.PA:Ulianópolis,22.309297912713472,0.0,40.589338931465676,0.0,False
Brazil.regions.RS:Alegrete,18.737890814838813,1.1210108537178032,1.449354353555591,0.19388647005820048,False
Brazil.regions.RS:Caçapava do Sul,0.9294605809128631,0.0,2.640352780948262,0.0,False
Brazil.regions.RS:Itaqui,0.12727272727272726,0.0,4.270611947316032,0.0,False
Brazil.regions.RS:São Borja,1.3333333333333333,0.0,4.9194906172901565,0.0,False
Brazil.regions.RS:Uruguaiana,15.388626392170098,1.0850489368882887,1.5412037373317087,0.18766661135881602,False
United_States_of_America.regions.California:Tehama,16.65411681914145,0.3817733990147783,2.136331925912293,0.9677919904133997,False
Brazil.regions.AL:Canapi,0.8951406649616368,0.0,5.314926484918784,0.0,False
Brazil.regions.AL:Maravilha,0.8222222222222222,0.0,22.23931057897905,0.0,False
Brazil.regions.AL:Olho d'Água do Casado,0.0,0.0,10.495985889906377,0.0,False
Brazil.regions.BA:Araças,0.619047619047619,0.0,7.932178009982002,0.0,False
Brazil.regions.BA:Caldeirão Grande,0.5902140672782874,0.0,15.549381966336089,0.0,False
Brazil.regions.BA:Dário Meira,1.1124213836477987,0.0,24.53079174120591,0.0,False
Brazil.regions.BA:Nordestina,0.3725261932479627,0.0,14.400350486829387,0.0,False
Brazil.regions.BA:Ponto Novo,0.6,0.0,10.921512155924589,0.0,False
Brazil.regions.CE:Antonina do Norte,1.1184834123222749,0.0,16.95411224105908,0.0,False
Brazil.regions.CE:Piquet Carneiro,0.0,0.0,5.723617272582165,0.0,False
Brazil.regions.ES:Conceição da Barra,0.3510436432637571,0.0,4.719732621173188,0.0,False
Brazil.regions.ES:Ibitirama,0.7708871662360035,0.0,10.943572367676516,0.0,False
Brazil.regions.ES:Pancas,13.062240663900415,0.0,64.33028441555228,0.0,False
Brazil.regions.ES:Rio Bananal,3.3473022524882143,0.0,26.89243759924089,0.0,False
Brazil.regions.ES:São Domingos do Norte,0.0,0.0,11.403797060341265,0.0,False
Brazil.regions.GO:Jaraguá,4.070336391437309,0.0,11.178295516461041,0.0,False
Brazil.regions.MA:Anapurus,18.321405335068317,0.0,129.84435360920727,0.0,False
Brazil.regions.MA:Buriticupu,40.970841616964876,0.0,58.46154927776838,0.0,False
Brazil.regions.MA:Cajari,13.61548471047495,0.0,81.05443687232464,0.0,False
Brazil.regions.MA:Central do Maranhão,0.17857142857142858,0.0,21.52821311168039,0.0,False
Brazil.regions.MA:Coroatá,54.42374854481956,0.0,86.12328014826447,0.0,False
Brazil.regions.MA:Governador Edison Lobão,17.987767584097863,0.0,106.13182567519173,0.0,False
