region,similarity,distance,days,score
Brazil.regions.PR:União da Vitória,0.9999978768081731,0.7441860465116279,43,0.999997876808173
Brazil.regions.RS:Capão da Canoa,0.9999977441086839,0.7906976744186046,43,0.9999977441086838
Brazil.regions.MG:Sete Lagoas,0.9999973460102163,0.9302325581395349,43,0.9999973460102162
Brazil.regions.GO:Jataí,0.9999971469609825,1.0,43,0.9999971469609824
Brazil.regions.SC:Tijucas,0.9999970806112379,1.0232558139534884,43,0.9999970806112378
Bhutan,0.9999970142614933,1.0465116279069768,43,0.9999970142614932
Brazil.regions.SC:Laguna,0.999996748862515,1.1395348837209303,43,0.9999967488625149
Brazil.regions.PR:Rio Branco do Sul,0.999996748862515,1.1395348837209303,43,0.9999967488625149
Brazil.regions.MG:Alfenas,0.9999965498132812,1.2093023255813953,43,0.9999965498132811
Brazil.regions.RN:Monte Alegre,0.9999964834635366,1.2325581395348837,43,0.9999964834635365
Brazil.regions.SP:Matão,0.9999964834635366,1.2325581395348837,43,0.9999964834635365
Brazil.regions.MG:São João del Rei,0.9999964171137921,1.255813953488372,43,0.999996417113792
Brazil.regions.PR:Goioerê,0.9999963507640475,1.2790697674418605,43,0.9999963507640474
Brazil.regions.SC:Jaguaruna,0.9999962844143029,1.302325581395349,43,0.9999962844143028
Brazil.regions.RS:Rio Grande,0.9999961517148136,1.3488372093023255,43,0.9999961517148135
Brazil.regions.BA:Prado,0.9999960190153244,1.3953488372093024,43,0.9999960190153243
Brazil.regions.RS:Campo Bom,0.9999960190153244,1.3953488372093024,43,0.9999960190153243
British_Virgin_Islands,0.9999958199660907,1.4651162790697674,43,0.9999958199660905
Brazil.regions.ES:Castelo,0.9999958199660907,1.4651162790697674,43,0.9999958199660905
Papua_New_Guinea,0.9999957536163461,1.4883720930232558,43,0.999995753616346
Brazil.regions.RS:Santa Rosa,0.9999957536163461,1.4883720930232558,43,0.999995753616346
Brazil.regions.BA:Catu,0.9999957536163461,1.4883720930232558,43,0.999995753616346
Brazil.regions.PR:Medianeira,0.9999956872666015,1.5116279069767442,43,0.9999956872666014
Brazil.regions.PR:Lapa,0.9999956209168569,1.5348837209302326,43,0.9999956209168568
Brazil.regions.PA:Itaituba,0.9999955545671123,1.558139534883721,43,0.9999955545671122
Brazil.regions.BA:Dias d'Ávila,0.9999955545671123,1.558139534883721,43,0.9999955545671122
Brazil.regions.RJ:Valença,0.9999954882173677,1.5813953488372092,43,0.9999954882173676
Brazil.regions.MG:Coronel Fabriciano,0.9999953555178785,1.627906976744186,43,0.9999953555178784
Brazil.regions.RS:São Domingos do Sul,0.9999952228183894,1.6744186046511629,43,0.9999952228183893
Brazil.regions.SP:Cachoeira Paulista,0.9999952228183894,1.6744186046511629,43,0.9999952228183893
Brazil.regions.SC:São Francisco do Sul,0.9999951564686448,1.697674418604651,43,0.9999951564686447
Brazil.regions.SP:Brodowski,0.9999951564686448,1.697674418604651,43,0.9999951564686447
Brazil.regions.MG:Manhuaçu,0.9999951564686448,1.697674418604651,43,0.9999951564686447
Brazil.regions.SP:São José do Rio Pardo,0.9999951564686448,1.697674418604651,43,0.9999951564686447
Brazil.regions.MG:Boa Esperança,0.9999950901189002,1.7209302325581395,43,0.9999950901189001
Brazil.regions.BA:Juazeiro,0.9999950901189002,1.7209302325581395,43,0.9999950901189001
Brazil.regions.PR:Francisco Beltrão,0.9999950901189002,1.7209302325581395,43,0.9999950901189001
Brazil.regions.PR:Umuarama,0.9999950237691556,1.744186046511628,43,0.9999950237691555
