region,similarity,distance,days,is_same_cluster,score
Brazil.regions.PR:Chopinzinho,1.0,0.0,38,True,1.5000000000000004
Brazil.regions.RN:Carnaubais,1.0,0.0,38,True,1.5000000000000004
Brazil.regions.RS:Nova Palma,1.0,0.0,38,True,1.5000000000000004
Brazil.regions.BA:Medeiros Neto,1.0,0.0,38,True,1.5000000000000004
Brazil.regions.PB:Serra Branca,1.0,0.0,38,True,1.5000000000000004
Brazil.regions.MG:Jeceaba,1.0,0.0,38,True,1.5000000000000004
Brazil.regions.BA:Piripá,1.0,0.0,38,True,1.5000000000000004
Brazil.regions.GO:Vianópolis,1.0,0.0,38,True,1.5000000000000004
Brazil.regions.MA:Cajapió,1.0,0.0,38,True,1.5000000000000004
Brazil.regions.SC:Águas Mornas,0.9999996453366102,0.21592442645074225,38,True,1.4999994680049156
Brazil.regions.SC:Timbé do Sul,0.9999991975740806,0.4885290148448043,38,True,1.4999987963611212
Brazil.regions.MG:Capitólio,0.9999991332913413,0.5276653171390013,38,True,1.4999986999370123
Brazil.regions.SC:Paulo Lopes,0.9999985990796104,0.8529014844804319,38,True,1.499997898619416
Brazil.regions.PR:Iretama,0.999998082601049,1.1673414304993253,38,True,1.499997123901574
Brazil.regions.RS:Minas do Leão,0.9999980294015406,1.1997300944669367,38,True,1.4999970441023112
Brazil.regions.GO:Bom Jesus de Goiás,0.9999979429523393,1.252361673414305,38,True,1.4999969144285092
Brazil.regions.CE:Cariús,0.9999975084896868,1.5168690958164643,38,True,1.4999962627345305
Brazil.regions.RN:Caraúbas,0.9999967304468755,1.99055330634278,38,True,1.4999950956703136
Brazil.regions.CE:Ipaporanga,0.9999957551225537,2.5843454790823213,38,True,1.4999936326838308
Brazil.regions.BA:Prado,0.9999955024248884,2.738191632928475,38,True,1.499993253637333
Brazil.regions.PI:São José do Divino,0.9999953095766703,2.855600539811066,38,True,1.4999929643650058
Brazil.regions.SC:Botuverá,0.9999947155154925,3.2172739541160595,38,True,1.499992073273239
Brazil.regions.MT:São José dos Quatro Marcos,0.9999925764519229,4.519568151147099,38,True,1.4999888646778845
Brazil.regions.MA:São Benedito do Rio Preto,0.9999920001239145,4.870445344129554,38,True,1.499988000185872
Brazil.regions.BA:Itagibá,0.9999912065645798,5.35357624831309,38,True,1.49998680984687
Brazil.regions.BA:Santa Cruz Cabrália,0.9999851817202462,9.021592442645074,38,True,1.4999777725803696
Brazil.regions.CE:Jaguaribe,0.9999764304011036,14.349527665317138,38,True,1.4999646456016558
Brazil.regions.RJ:Rio das Flores,0.9999956378200339,2.655761024182077,37,True,1.459453093034644
Brazil.regions.MA:Urbano Santos,0.9999654717217252,21.021337126600283,37,True,1.4594090668371127
Brazil.regions.GO:Anhanguera,1.0,0.0,36,True,1.418918918918919
Brazil.regions.SC:Vidal Ramos,1.0,0.0,36,True,1.418918918918919
Brazil.regions.SP:Itatinga,0.9999987496018683,0.7612612612612613,36,True,1.418917144705354
Brazil.regions.PR:Campina da Lagoa,0.9999983549989077,1.0015015015015014,36,True,1.4189165847957474
Brazil.regions.BA:Santa Luzia,0.99999831800488,1.024024024024024,36,True,1.4189165323042219
Brazil.regions.RO:Ouro Preto do Oeste,0.9999853503650844,8.91891891891892,36,True,1.4188981322747822
Brazil.regions.MG:Santa Maria de Itabira,0.9999988006888587,0.7301587301587301,35,True,1.3783767252738326
