region,cases_distance,deaths_distance,cases_per_100k_distance,deaths_per_100k_distance,is_same_cluster
Brazil.regions.PE:Jaboatão dos Guararapes,1.0,0.0,3.7299949740392577,0.0,False
Brazil.regions.RS:Canoas,1.0,0.0,3.4377669609052957,0.0,False
United_States_of_America.regions.Virginia:Manassas Park city,0.0,0.0,1.7067040603458947,0.0,False
Brazil.regions.MG:Belo Horizonte,0.0,0.0,3.974966561776982,0.0,False
Brazil.regions.PE:Recife,1.0,0.0,3.8932475307818706,0.0,False
Albania,1.0,0.0,3.9449998530085013,0.0,False
Armenia,0.0,0.0,3.9808964602455617,0.0,False
Brazil.regions.AL,0.0,0.0,3.9848105390204136,0.0,False
Brazil.regions.SE,0.0,0.0,3.971271444543738,0.0,False
Moldova,0.0,0.0,3.9865726495447062,0.0,False
Slovenia,0.0,0.0,3.9664037813199355,0.0,False
United_States_of_America.regions.California:Riverside,0.0,0.0,3.974297487242291,0.0,False
United_States_of_America.regions.Nevada:Clark,0.0,0.0,3.9706576633454858,0.0,False
Brazil.regions.PB:João Pessoa,0.0,0.0,3.8911672672163164,0.0,False
Brazil.regions.RJ:Niterói,0.0,0.0,3.8200642541004997,0.0,False
Brazil.regions.SP:Embu das Artes,0.0,0.0,3.6494455371983068,0.0,False
Brazil.regions.AC:Cruzeiro do Sul,1.0,0.0,1.7517165259219376,0.0,False
Brazil.regions.AM:Itacoatiara,1.0,0.0,2.041161572775049,0.0,False
Brazil.regions.AM:Manacapuru,1.0,0.0,1.9609012784987283,0.0,False
Brazil.regions.AM:Parintins,0.0,0.0,3.139677015099727,0.0,False
Brazil.regions.BA:Barreiras,0.0,0.0,3.3714351819604826,0.0,False
Brazil.regions.BA:Bom Jesus da Lapa,2.0,0.0,0.3237459056709957,0.0,False
Brazil.regions.BA:Campo Alegre de Lourdes,0.0,0.0,0.5423110041689303,0.0,False
Brazil.regions.BA:Campo Formoso,0.0,0.0,2.6103983339530976,0.0,False
Brazil.regions.CE:Tauá,3.0,0.0,2.781127701370732,0.0,False
Brazil.regions.GO:Formosa,0.0,0.0,3.1925209018264233,0.0,False
Brazil.regions.GO:Jataí,0.0,0.0,3.0235172574106435,0.0,False
Brazil.regions.GO:Minaçu,0.0,0.0,0.5748018894602658,0.0,False
Brazil.regions.GO:Padre Bernardo,0.0,0.0,1.059254937140155,0.0,False
Brazil.regions.GO:Quirinópolis,0.0,0.0,2.0173709940687194,0.0,False
Brazil.regions.MA:Arame,0.0,0.0,0.9567639112846562,0.0,False
Brazil.regions.MA:Açailândia,0.0,0.0,3.1254507003309646,0.0,False
Brazil.regions.MA:Barra do Corda,2.0,0.0,0.6138765326514486,0.0,False
Brazil.regions.MA:Parnarama,3.0,0.0,7.4442453111858775,0.0,False
Brazil.regions.MA:Santa Luzia,0.0,0.0,2.6386338932605913,0.0,False
Brazil.regions.MA:Tuntum,0.0,0.0,1.6242599309732144,0.0,False
Brazil.regions.MG:Diamantina,0.0,0.0,1.9193486839523688,0.0,False
Brazil.regions.MG:Paracatu,0.0,0.0,2.9413292549291414,0.0,False
Brazil.regions.MG:São Francisco,0.0,1.0,2.239300762095601,1.7754736075848232,False
Brazil.regions.MG:Três Marias,0.0,0.0,0.9241574825497527,0.0,False
Brazil.regions.MG:Unaí,0.0,0.0,2.8296313229146794,0.0,False
Brazil.regions.MS:Naviraí,0.0,0.0,2.192550527703675,0.0,False
Brazil.regions.MS:Nova Andradina,1.0,0.0,0.3365458045573875,0.0,False
Brazil.regions.MS:Ponta Porã,0.0,0.0,2.933997074649838,0.0,False
Brazil.regions.MS:Sidrolândia,0.0,0.0,2.2806202033750393,0.0,False
Brazil.regions.MS:Três Lagoas,0.0,0.0,3.19096971024127,0.0,False
Brazil.regions.MT:Lucas do Rio Verde,0.0,0.0,2.4888488958805643,0.0,False
Brazil.regions.MT:Primavera do Leste,0.0,0.0,2.402365269243461,0.0,False
Brazil.regions.MT:Sorriso,3.0,0.0,0.4142668536207612,0.0,False
Brazil.regions.PA:Acará,0.0,0.0,2.2159220374683755,0.0,False
Brazil.regions.PA:Baião,0.0,0.0,1.9071151360253213,0.0,False
