region,cases_distance,deaths_distance,cases_per_100k_distance,deaths_per_100k_distance,is_same_cluster
Brazil.regions.BA:Bom Jesus da Lapa,2.0,0.0,1.5248628967388766,0.0,False
Brazil.regions.GO:Minaçu,2.44249726177437,0.0,17.487922704449545,0.0,False
Brazil.regions.GO:Padre Bernardo,0.0,0.0,2.9078637395500273,0.0,False
Brazil.regions.GO:Quirinópolis,0.25,0.0,3.3666289525756654,0.0,False
Brazil.regions.MA:Arame,3.318729463307777,0.0,10.493107998271624,0.0,False
Brazil.regions.MA:Parnarama,3.0,0.0,5.595636508776005,0.0,False
Brazil.regions.MG:Diamantina,3.8666666666666667,0.0,5.841538159664471,0.0,False
Brazil.regions.MT:Sorriso,12.78178368121442,0.0,12.5432864399569,0.0,False
Brazil.regions.PA:Ulianópolis,19.292220113851993,0.0,12.806363510993984,0.0,False
Brazil.regions.RS:Itaqui,0.9272727272727272,0.0,6.495756315857059,0.0,False
Brazil.regions.RS:São Borja,1.9555555555555557,0.0,2.0759267171840476,0.0,False
Brazil.regions.AL:Canapi,2.5447570332480822,0.0,15.141564754146513,0.0,False
Brazil.regions.AL:Maravilha,0.8666666666666666,0.0,15.518416529480584,0.0,False
Brazil.regions.AL:Olho d'Água do Casado,0.0,0.0,4.8055595356873635,0.0,False
Brazil.regions.BA:Araças,0.0,0.0,2.348820162064257,0.0,False
Brazil.regions.BA:Ponto Novo,0.6666666666666666,0.0,5.311798983378838,0.0,False
Brazil.regions.CE:Piquet Carneiro,0.0,0.0,0.033190918363150246,0.0,False
Brazil.regions.CE:Tejuçuoca,18.6896046852123,0.0,93.17037305536637,0.14785615069935187,False
Brazil.regions.ES:Conceição da Barra,3.368121442125237,0.0,23.897896817333862,0.0,False
Brazil.regions.ES:São Domingos do Norte,0.0,0.0,5.713370706122252,0.0,False
Brazil.regions.MA:Central do Maranhão,0.8928571428571429,0.0,15.96132734165515,0.0,False
Brazil.regions.MA:Lago Verde,1.6666666666666667,0.0,10.539807248446499,0.0,False
