region,similarity,distance,days,score
Latvia,0.9999591064407496,14.333333333333334,21,0.9999591064407496
Brazil.regions.MA:Pedreiras,0.9999588347227479,14.428571428571429,21,0.9999588347227479
Brazil.regions.PA,0.9999559816837305,15.428571428571429,21,0.9999559816837305
Bosnia_and_Herzegovina,0.9999528569267114,16.523809523809526,21,0.9999528569267114
Brazil.regions.BA,0.9999493245926897,17.761904761904763,21,0.9999493245926897
Brazil.regions.PB:Guarabira,0.9999491887336889,17.80952380952381,21,0.9999491887336889
Sweden.regions.Dalarna,0.9999447053866615,19.38095238095238,21,0.9999447053866615
Bolivia,0.9999440260916573,19.61904761904762,21,0.9999440260916573
Mexico,0.9999429392196506,20.0,21,0.9999429392196506
Armenia,0.9999425316426481,20.142857142857142,21,0.9999425316426481
Brazil.regions.SC:Concórdia,0.9999423957836473,20.19047619047619,21,0.9999423957836473
Brazil.regions.RN,0.9999414447706415,20.523809523809526,21,0.9999414447706415
Malta,0.999941037193639,20.666666666666668,21,0.999941037193639
Morocco,0.9999409013346382,20.714285714285715,21,0.9999409013346382
Brazil.regions.AM:Manacapuru,0.9999403578986349,20.904761904761905,21,0.9999403578986349
Brazil.regions.MT,0.9999396786036306,21.142857142857142,21,0.9999396786036306
Honduras,0.9999391351676273,21.333333333333332,21,0.9999391351676273
Djibouti,0.9999389993086265,21.38095238095238,21,0.9999389993086265
Brazil.regions.RJ:São João de Meriti,0.9999364179876107,22.285714285714285,21,0.9999364179876107
Romania,0.9999362821286099,22.333333333333332,21,0.9999362821286099
Kenya,0.999936146269609,22.38095238095238,21,0.999936146269609
El_Salvador,0.9999351952566032,22.714285714285715,21,0.9999351952566032
Brazil,0.9999349235386016,22.80952380952381,21,0.9999349235386016
Brazil.regions.AP:Laranjal do Jari,0.9999343801025983,23.0,21,0.9999343801025983
Brazil.regions.ES:Serra,0.9999341083845966,23.095238095238095,21,0.9999341083845966
Sweden.regions.Uppsala,0.999933836666595,23.19047619047619,21,0.999933836666595
Brazil.regions.SP:São Bernardo do Campo,0.9999323422175858,23.714285714285715,21,0.9999323422175858
Cuba,0.9999322063585849,23.761904761904763,21,0.9999322063585849
Brazil.regions.PA:Belém,0.9999320704995841,23.80952380952381,21,0.9999320704995841
Democratic_Republic_of_the_Congo,0.9999320704995841,23.80952380952381,21,0.9999320704995841
Brazil.regions.MA:São José de Ribamar,0.9999317987815824,23.904761904761905,21,0.9999317987815824
Brazil.regions.AM:Maués,0.9999316629225816,23.952380952380953,21,0.9999316629225816
Andorra,0.9999311194865783,24.142857142857142,21,0.9999311194865783
Brazil.regions.SP:Diadema,0.9999307119095758,24.285714285714285,21,0.9999307119095758
Brazil.regions.BA:Salvador,0.9999294891785683,24.714285714285715,21,0.9999294891785683
Brazil.regions.GO,0.9999292174605666,24.80952380952381,21,0.9999292174605666
Israel,0.9999292174605666,24.80952380952381,21,0.9999292174605666
Brazil.regions.SP:Osasco,0.9999285381655625,25.047619047619047,21,0.9999285381655625
Jordan,0.9999285381655625,25.047619047619047,21,0.9999285381655625
Brazil.regions.PR:Cascavel,0.9999282664475608,25.142857142857142,21,0.9999282664475608
Brazil.regions.AP,0.9999279947295592,25.238095238095237,21,0.9999279947295592
Sweden.regions.Västmanland,0.9999279947295592,25.238095238095237,21,0.9999279947295592
Brazil.regions.SP:Santo André,0.9999271795755542,25.523809523809526,21,0.9999271795755542
Brazil.regions.RJ:Duque de Caxias,0.9999270437165534,25.571428571428573,21,0.9999270437165534
Sweden.regions.Jönköping,0.99992650028055,25.761904761904763,21,0.99992650028055
Brazil.regions.AP:Macapá,0.9999245982545384,26.428571428571427,21,0.9999245982545384
Brazil.regions.PR:Curitiba,0.9999245982545384,26.428571428571427,21,0.9999245982545384
San_Marino,0.9999244623955376,26.476190476190474,21,0.9999244623955376
Brazil.regions.SP,0.9999241906775359,26.571428571428573,21,0.9999241906775359
Senegal,0.9999241906775359,26.571428571428573,21,0.9999241906775359
Brazil.regions.SP:São Paulo,0.9999237831005334,26.714285714285715,21,0.9999237831005334
Cote_dIvoire,0.9999236472415326,26.761904761904763,21,0.9999236472415326
Brazil.regions.MT:Cuiabá,0.9999233755235308,26.857142857142858,21,0.9999233755235308
Brazil.regions.AM:Tabatinga,0.9999229679465284,27.0,21,0.9999229679465284
Brazil.regions.RR,0.9999229679465284,27.0,21,0.9999229679465284
Brazil.regions.RS:Porto Alegre,0.9999222886515242,27.238095238095237,21,0.9999222886515242
Moldova,0.9999217452155209,27.428571428571427,21,0.9999217452155209
Barbados,0.9999212017795176,27.61904761904762,21,0.9999212017795176
Brazil.regions.RN:Mossoró,0.999920930061516,27.714285714285715,21,0.999920930061516
Brazil.regions.AM:Careiro,0.9999206583435143,27.80952380952381,21,0.9999206583435143
Sweden.regions.Örebro,0.9999205224845135,27.857142857142858,21,0.9999205224845135
Brazil.regions.RR:Boa Vista,0.9999205224845135,27.857142857142858,21,0.9999205224845135
Sweden.regions.Jämtland Härjedalen,0.9999202507665118,27.952380952380953,21,0.9999202507665118
Brazil.regions.SC:Blumenau,0.9999202507665118,27.952380952380953,21,0.9999202507665118
Brazil.regions.SC:Florianópolis,0.99991997904851,28.047619047619047,21,0.99991997904851
