region,similarity,distance,days,is_same_cluster,score
Brazil.regions.BA:Uruçuca,0.9999856054220889,8.763636363636364,10,True,1.4999784081331333
Brazil.regions.MA:Igarapé do Meio,0.9999846199011947,9.363636363636363,10,True,1.499976929851792
Brazil.regions.MT:Sinop,0.9999843212584993,9.545454545454545,10,True,1.499976481887749
Brazil.regions.MA:Tutóia,0.9999831266877184,10.272727272727273,10,True,1.4999746900315776
Brazil.regions.MA:Lima Campos,0.9999830370949098,10.327272727272728,10,True,1.4999745556423647
Brazil.regions.CE:Bela Cruz,0.9999825891308669,10.6,10,True,1.4999738836963004
Brazil.regions.MA:Presidente Juscelino,0.9999823800809803,10.727272727272727,10,True,1.4999735701214705
Brazil.regions.PE:Salgueiro,0.9999810361888517,11.545454545454545,10,True,1.4999715542832774
Brazil.regions.SC:Itá,0.999980767410426,11.709090909090909,10,True,1.499971151115639
Brazil.regions.RS:Triunfo,0.999980767410426,11.709090909090909,10,True,1.499971151115639
Brazil.regions.SC:Antônio Carlos,0.9999806479533478,11.781818181818181,10,True,1.4999709719300218
Brazil.regions.PA:Maracanã,0.9999802298535745,12.036363636363637,10,True,1.4999703447803618
Brazil.regions.SP:Nova Granada,0.9999799909394183,12.181818181818182,10,True,1.4999699864091274
Brazil.regions.PI:União,0.9999794235182973,12.527272727272727,10,True,1.4999691352774458
Brazil.regions.MG:Senador Amaral,0.9999790352827935,12.763636363636364,10,True,1.4999685529241904
Brazil.regions.GO:Rialma,0.9999789158257154,12.836363636363636,10,True,1.4999683737385732
Brazil.regions.PR:Alto Paraná,0.9999787665043678,12.927272727272728,10,True,1.4999681497565516
Brazil.regions.PR:Balsa Nova,0.9999786171830202,13.018181818181818,10,True,1.4999679257745302
Brazil.regions.MA:Lago da Pedra,0.9999781692189772,13.290909090909091,10,True,1.4999672538284659
Brazil.regions.PB:Imaculada,0.9999776615263953,13.6,10,True,1.499966492289593
Brazil.regions.ES:Apiacá,0.9999776615263953,13.6,10,True,1.499966492289593
Brazil.regions.RJ:São Fidélis,0.9999776615263953,13.6,10,True,1.499966492289593
Brazil.regions.CE:Jaguaruana,0.9999776615263953,13.6,10,True,1.499966492289593
Brazil.regions.RN:Itajá,0.9999776316621258,13.618181818181819,10,True,1.4999664474931889
Brazil.regions.CE:Icó,0.9999776017978563,13.636363636363637,10,True,1.4999664026967845
Brazil.regions.CE:Pereiro,0.9999774823407782,13.709090909090909,10,True,1.4999662235111673
Brazil.regions.SP:Uchoa,0.9999774524765086,13.727272727272727,10,True,1.499966178714763
Brazil.regions.CE:Aracoiaba,0.9999770642410049,13.963636363636363,10,True,1.4999655963615073
Brazil.regions.RO:Rolim de Moura,0.9999765864126924,14.254545454545454,10,True,1.4999648796190386
Brazil.regions.CE:General Sampaio,0.9999764669556144,14.327272727272728,10,True,1.4999647004334216
Brazil.regions.PA:São Caetano de Odivelas,0.9999762579057276,14.454545454545455,10,True,1.4999643868585915
Brazil.regions.PB:Pombal,0.9999762280414581,14.472727272727273,10,True,1.4999643420621873
Brazil.regions.SE:Pacatuba,0.9999762280414581,14.472727272727273,10,True,1.4999643420621873
Brazil.regions.SP:Cajuru,0.9999762280414581,14.472727272727273,10,True,1.4999643420621873
Brazil.regions.ES:Alegre,0.9999761384486495,14.527272727272727,10,True,1.4999642076729742
Brazil.regions.MA:Lago dos Rodrigues,0.9999761384486495,14.527272727272727,10,True,1.4999642076729742
Brazil.regions.MS:Mundo Novo,0.99997610858438,14.545454545454545,10,True,1.49996416287657
Brazil.regions.CE:Quixeré,0.99997610858438,14.545454545454545,10,True,1.49996416287657
Brazil.regions.MG:Itatiaiuçu,0.99997610858438,14.545454545454545,10,True,1.49996416287657
Brazil.regions.SP:Tarabai,0.99997610858438,14.545454545454545,10,True,1.49996416287657
Brazil.regions.PR:Imbaú,0.999976048855841,14.581818181818182,10,True,1.4999640732837616
Brazil.regions.MG:Itamonte,0.999976048855841,14.581818181818182,10,True,1.4999640732837616
Brazil.regions.RS:São Domingos do Sul,0.9999757800774153,14.745454545454546,10,True,1.499963670116123
Brazil.regions.RN:Lajes Pintadas,0.9999757800774153,14.745454545454546,10,True,1.499963670116123
Brazil.regions.BA:Itacaré,0.9999757800774153,14.745454545454546,10,True,1.499963670116123
Brazil.regions.PI:Luzilândia,0.9999753918419114,14.981818181818182,10,True,1.4999630877628671
Brazil.regions.CE:Barroquinha,0.9999753918419114,14.981818181818182,10,True,1.4999630877628671
Brazil.regions.SE:Frei Paulo,0.9999750036064076,15.218181818181819,10,True,1.4999625054096113
Brazil.regions.ES:São José do Calçado,0.9999748542850599,15.309090909090909,10,True,1.49996228142759
Brazil.regions.RJ:São Francisco de Itabapoana,0.9999747348279818,15.381818181818181,10,True,1.4999621022419727
Brazil.regions.RN:Alexandria,0.9999746153709038,15.454545454545455,10,True,1.4999619230563557
Brazil.regions.SC:Garuva,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.RN:Baía Formosa,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.CE:Itaiçaba,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.MG:Moema,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.RS:Arvorezinha,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.RS:Camaquã,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.RS:Cerro Grande do Sul,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.RS:Santo Cristo,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.CE:Amontada,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.MG:Maripá de Minas,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.BA:Itagi,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.SC:Meleiro,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.SC:Nova Trento,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.SP:Alambari,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.SP:Caconde,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.SP:Fartura,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.SP:Joanópolis,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.SP:Junqueirópolis,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.SP:Nipoã,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.BA:Castro Alves,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.SP:Palmital,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.SP:Pedra Bela,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.SC:Mafra,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.RN:Pendências,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.CE:Martinópole,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.PB:São João do Rio do Peixe,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.MG:Porto Firme,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.MG:Poço Fundo,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.MG:Imbé de Minas,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.MG:Campos Gerais,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.MG:Alterosa,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.RJ:Sumidouro,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.PB:Coremas,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.PB:Gurinhém,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.MA:Duque Bacelar,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.MA:Davinópolis,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.PB:Casserengue,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.PE:Cumaru,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.PE:Ibirajuba,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.MA:Bom Lugar,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.PR:Rio Branco do Sul,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.CE:Orós,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.ES:São Roque do Canaã,0.9999745556423647,15.49090909090909,10,True,1.499961833463547
Brazil.regions.MG:Planura,0.9999745257780952,15.50909090909091,10,True,1.4999617886671428
Brazil.regions.MG:Piumhi,0.999974286863939,15.654545454545454,10,True,1.4999614302959086
Brazil.regions.TO:Paraíso do Tocantins,0.9999739583569742,15.854545454545455,10,True,1.4999609375354614
Brazil.regions.SP:Salesópolis,0.9999734506643924,16.163636363636364,10,True,1.4999601759965886
Brazil.regions.SP:Agudos,0.9999733312073142,16.236363636363638,10,True,1.4999599968109714
Brazil.regions.BA:Gongogi,0.9999729728360799,16.454545454545453,10,True,1.4999594592541199
Brazil.regions.SP:Conchas,0.9999729131075409,16.490909090909092,10,True,1.4999593696613114
Brazil.regions.GO:Planaltina,0.9999729131075409,16.490909090909092,10,True,1.4999593696613114
Brazil.regions.CE:Farias Brito,0.9999728832432714,16.509090909090908,10,True,1.499959324864907
Brazil.regions.RN:Touros,0.9999728832432714,16.509090909090908,10,True,1.499959324864907
Brazil.regions.MA:Esperantinópolis,0.9999728832432714,16.509090909090908,10,True,1.499959324864907
Brazil.regions.PB:Brejo do Cruz,0.9999728832432714,16.509090909090908,10,True,1.499959324864907
Brazil.regions.RS:Monte Belo do Sul,0.9999728832432714,16.509090909090908,10,True,1.499959324864907
Brazil.regions.SP:Santa Rita do Passa Quatro,0.9999728832432714,16.509090909090908,10,True,1.499959324864907
Brazil.regions.BA:Araci,0.9999728832432714,16.509090909090908,10,True,1.499959324864907
Brazil.regions.BA:Nilo Peçanha,0.9999728832432714,16.509090909090908,10,True,1.499959324864907
Brazil.regions.MA:Pio XII,0.9999940868746341,3.6,9,True,1.3333254491661788
Brazil.regions.PB:Juazeirinho,0.9999853266889067,8.933333333333334,9,True,1.3333137689185421
Brazil.regions.SP:Irapuru,0.9999814576068772,11.28888888888889,9,True,1.333308610142503
Brazil.regions.SP:Neves Paulista,0.999979888073601,12.244444444444444,9,True,1.333306517431468
Brazil.regions.BA:Jacobina,0.9999783185403249,13.2,9,True,1.333304424720433
Brazil.regions.SP:Santo Anastácio,0.9999772235171089,13.866666666666667,9,True,1.3333029646894785
Brazil.regions.SP:Cerqueira César,0.9999765665031795,14.266666666666667,9,True,1.333302088670906
Brazil.regions.MG:Pedra Dourada,0.9999765665031795,14.266666666666667,9,True,1.333302088670906
