region,cases_distance,deaths_distance,cases_per_100k_distance,deaths_per_100k_distance,is_same_cluster
Brazil.regions.MA:Barra do Corda,30.636363636363637,0.8181818181818182,21.124424469441248,0.9275175919169935,False
Brazil.regions.MA:São Raimundo do Doca Bezerra,7.0,0.0,146.18346933457073,0.0,False
Brazil.regions.MG:Senador José Bento,1.3454545454545455,0.0,146.22137714079815,0.0,False
Brazil.regions.MG:São Francisco,3.1818181818181817,1.4909090909090907,17.43890434520762,2.6470697422173726,False
Brazil.regions.PA:Abel Figueiredo,0.7272727272727273,0.890909090909091,10.74686350395611,11.984249272384865,False
Brazil.regions.PI:Cocal de Telha,9.581818181818182,0.0,205.59309503577563,0.0,False
Brazil.regions.PR:Santa Mônica,3.8,0.34545454545454546,117.34124742613176,8.677582151583659,False
Brazil.regions.PR:Santo Antônio do Caiuá,0.7636363636363636,0.7272727272727273,58.31957847193439,27.53777838972841,False
Brazil.regions.RS:Gramado dos Loureiros,1.8571428571428572,0.0,159.59077883777076,0.0,False
Brazil.regions.RS:Saldanha Marinho,6.381818181818182,0.7272727272727273,289.2521674192833,27.444253859348194,False
Brazil.regions.SC:Vargem Bonita,5.345454545454545,0.0,133.73901390453128,0.0,False
Brazil.regions.SP:Alto Alegre,1.0,0.890909090909091,1.2744514230314756,21.73479119075606,False
Brazil.regions.SP:Iepê,1.0,1.0,13.414241645662372,12.256403971074887,False
United_States_of_America.regions.Georgia:Dooly,17.763636363636365,0.7272727272727273,122.04808598705964,5.431461742141354,False
United_States_of_America.regions.Georgia:Mitchell,23.41818181818182,0.6181818181818182,91.39506852106497,2.8275251254714275,False
United_States_of_America.regions.Georgia:Schley,5.054545454545455,0.49090909090909096,108.07276548193423,9.338198419423453,False
United_States_of_America.regions.Illinois:Cass,19.818181818181817,0.0,154.28196919217632,0.0,False
United_States_of_America.regions.Kentucky:Jackson,21.672727272727272,0.9636363636363636,152.6227112130132,7.229622354537952,False
United_States_of_America.regions.Missouri:Mississippi,20.89090909090909,0.0,148.91904856279533,0.0,False
United_States_of_America.regions.North Carolina:Northampton,22.81818181818182,0.0,104.88869867970566,0.0,False
Brazil.regions.MG:Belo Horizonte,48.32727272727273,0.0,23.668674768356876,0.0,False
Brazil.regions.PA:Paragominas,22.818181818181817,2.563636363636364,4.779294858492187,2.26579730755788,False
Albania,34.58181818181818,0.890909090909091,24.39440627542899,0.031081375608402073,False
Slovenia,56.41818181818182,0.0,22.846682721727642,0.0,False
Portugal,29.509090909090904,0.0,25.364189477127226,0.0,False
Brazil.regions.PE:Arcoverde,2.7636363636363637,1.2909090909090908,19.31148512375557,1.7365399807757684,False
Brazil.regions.PR:Apucarana,8.545454545454545,1.2363636363636363,17.85896634812593,0.9158520521820176,False
Brazil.regions.SP:São Carlos,2.8181818181818183,1.6363636363636365,23.845125641183355,0.6493944577069232,False
United_States_of_America.regions.New York:Albany,39.6,0.0,13.193537582213393,0.0,False
Brazil.regions.BA:Itapé,1.0,0.9818181818181819,14.256423495974786,11.20669080947588,False
Brazil.regions.CE:Moraújo,6.618181818181818,1.0,74.1147202438111,11.462631820265933,False
Brazil.regions.ES:Águia Branca,0.6666666666666666,1.5333333333333332,5.928582623869585,15.902648136624492,False
Brazil.regions.GO:Joviânia,0.9333333333333332,1.0,11.41805666911146,13.537295248409372,False
Brazil.regions.MA:Carutapera,9.090909090909092,2.963636363636363,22.52863160270289,12.448592278054202,False
Brazil.regions.MA:Santo Antônio dos Lopes,53.16363636363636,0.0,354.0350011593941,0.0,False
Brazil.regions.MA:Turilândia,35.58181818181818,0.0,121.02445638497312,0.0,False
Brazil.regions.MG:Belo Vale,1.0,0.9818181818181819,12.708882816996493,12.726094385200026,False
Brazil.regions.MG:Bonfim,1.0,0.8181818181818182,11.110366059369754,11.912956001482502,False
Brazil.regions.MG:Estrela Dalva,1.0,0.2,100.47342418930437,8.536064874093043,False
Brazil.regions.MS:Vicentina,0.7142857142857143,1.0,8.660552480685308,16.38806948541462,False
Brazil.regions.PA:Limoeiro do Ajuru,2.0,1.4363636363636363,11.846557142571022,4.964104497541512,False
Brazil.regions.PB:Amparo,4.8,0.0,269.2355206031019,0.0,False
Brazil.regions.PB:São José da Lagoa Tapada,10.0,0.0,131.60327312507138,0.0,False
Brazil.regions.PB:São José do Sabugi,20.805555555555557,0.0,525.0551586710086,0.0,False
Brazil.regions.PI:São José do Divino,1.0,1.0,6.965071355607441,18.705574261129815,False
Brazil.regions.RN:São Rafael,1.0,1.0,11.373562463264472,12.1921482565228,False
Brazil.regions.RN:Taboleiro Grande,0.509090909090909,0.8181818181818182,32.43181310926005,31.885495642315593,False
Brazil.regions.RS:Canudos do Vale,0.890909090909091,0.0,142.79725012388573,0.0,False
Brazil.regions.RS:Doutor Maurício Cardoso,1.0,0.6181818181818182,3.6877922423692624,13.589400267791122,False
Brazil.regions.RS:Esperança do Sul,0.9166666666666666,0.9166666666666666,74.01037511691506,31.328320802005017,False
Brazil.regions.RS:Sério,1.8909090909090909,0.0,161.52238561299123,0.0,False
Brazil.regions.RS:Tunas,0.7272727272727273,1.0,30.070495901695143,21.88662727073758,False
Brazil.regions.SC:Guatambú,4.636363636363637,0.0,113.57072846291175,0.0,False
Brazil.regions.SC:Paial,0.05454545454545456,0.0,103.59543713771758,0.0,False
Brazil.regions.SC:Zortéa,3.872727272727273,0.0,145.71312969210493,0.0,False
Brazil.regions.SP:Arandu,6.163636363636365,1.2363636363636363,102.74899200535437,19.448853804682024,False
Brazil.regions.SP:Caiabu,1.0,1.0,1.8099918348236343,23.860653781913626,False
Brazil.regions.SP:Miracatu,2.1090909090909093,1.8909090909090909,4.895627116859058,9.560185504368729,False
Brazil.regions.SP:Pedrinhas Paulista,0.6181818181818182,1.0,58.977974434404615,32.33107015842225,False
Brazil.regions.SP:Santo Antônio da Alegria,1.0,1.0,11.238548633045527,14.43209698369173,False
Brazil.regions.SP:São João das Duas Pontes,0.047619047619047616,1.0,50.35665003672663,38.940809968847354,False
United_States_of_America.regions.Idaho:Nez Perce,6.927272727272728,1.5636363636363635,8.159541142788566,3.869620777163838,False
United_States_of_America.regions.Kansas:Montgomery,5.1454545454545455,1.2363636363636363,5.021267996708098,3.8843935918930423,False
United_States_of_America.regions.Kentucky:Adair,23.272727272727273,1.1272727272727272,108.27236670456618,5.870600600316255,False
Kuwait,41.309090909090905,0.0,24.623851893834498,0.0,False
United_States_of_America.regions.Minnesota:Hennepin,30.218181818181822,0.0,23.128322581272496,0.0,False
United_States_of_America.regions.New York:Westchester,107.21818181818183,0.0,14.382014660631372,0.0,False
Brazil.regions.AM:Amaturá,21.145454545454545,0.18181818181818182,174.96609628214057,1.576093809103518,False
Brazil.regions.AM:Itapiranga,11.6,0.890909090909091,122.995729547233,9.738840084270779,False
Brazil.regions.AM:Manaquiri,8.854545454545455,1.5636363636363635,15.208357399222871,4.8703826931517336,False
Brazil.regions.AM:Rio Preto da Eva,46.72727272727273,1.2909090909090908,122.59741944910648,3.871140105284106,False
Brazil.regions.TO:Lizarda,1.0,1.0,1.0673222977012458,26.73796791443851,False
United_States_of_America.regions.Colorado:Cheyenne,2.5818181818181816,0.0,224.5651917299685,0.0,False
United_States_of_America.regions.Montana:Toole,6.4,2.127272727272727,151.0920707349279,44.91707616707617,False
United_States_of_America.regions.New Mexico:Harding,1.0,0.0,134.32935438326274,0.0,False
United_States_of_America.regions.North Dakota:Emmons,1.0,0.9454545454545454,5.184028866446944,29.17169223864688,False
United_States_of_America.regions.North Dakota:McHenry,1.0,0.8181818181818182,8.26420523379557,14.241633040588654,False
United_States_of_America.regions.South Dakota:Stanley,4.490909090909091,0.0,176.80602554941098,0.0,False
United_States_of_America.regions.Texas:Oldham,0.6545454545454545,0.8181818181818182,38.034588543042354,38.739669421487605,False
United_States_of_America.regions.Utah:Summit,35.85454545454545,0.0,65.39648675401926,0.0,False
Switzerland,38.07272727272727,0.18181818181818182,25.20139845431893,0.00213488244958291,False
