region,similarity,distance,days
Brazil.regions.RJ:Itaperuna,0.9761904761904762,0.2857142857142857,28
Brazil.regions.RS:Veranópolis,0.9761904761904762,0.2857142857142857,28
Brazil.regions.SC:Pescaria Brava,0.9761904761904762,0.2857142857142857,28
Brazil.regions.MG:Carangola,0.9732142857142857,0.32142857142857145,28
Brazil.regions.PR:Umuarama,0.9732142857142857,0.32142857142857145,28
Brazil.regions.SP:Brodowski,0.9732142857142857,0.32142857142857145,28
Brazil.regions.MG:Alfenas,0.9702380952380952,0.35714285714285715,28
Brazil.regions.RJ:Miguel Pereira,0.9702380952380952,0.35714285714285715,28
Brazil.regions.RJ:Paty do Alferes,0.9702380952380952,0.35714285714285715,28
Brazil.regions.SP:Penápolis,0.9702380952380952,0.35714285714285715,28
Brazil.regions.PB:Sousa,0.9672619047619048,0.39285714285714285,28
Brazil.regions.MG:Itabira,0.9642857142857143,0.42857142857142855,28
Brazil.regions.SP:Porto Feliz,0.9642857142857143,0.42857142857142855,28
Brazil.regions.SP:Pindorama,0.9613095238095238,0.4642857142857143,28
Brazil.regions.SP:Dracena,0.9523809523809523,0.5714285714285714,28
Brazil.regions.CE:Barreira,0.9494047619047619,0.6071428571428571,28
Brazil.regions.RN:Nísia Floresta,0.9494047619047619,0.6071428571428571,28
Brazil.regions.SP:Jardinópolis,0.9464285714285714,0.6428571428571429,28
Brazil.regions.PA:Barcarena,0.9404761904761905,0.7142857142857143,28
Brazil.regions.PE:Passira,0.9375,0.75,28
Brazil.regions.MA:Timon,0.9345238095238095,0.7857142857142857,28
Dominica,0.9315476190476191,0.8214285714285714,28
Brazil.regions.SP:Itapetininga,0.9255952380952381,0.8928571428571429,28
Brazil.regions.RJ:Casimiro de Abreu,0.9226190476190477,0.9285714285714286,28
Brazil.regions.BA:Vitória da Conquista,0.9017857142857143,1.1785714285714286,28
Brazil.regions.RS:Venâncio Aires,0.875,1.5,28
Brazil.regions.SP:Morungaba,0.9567901234567902,0.5185185185185185,27
Brazil.regions.SC:Concórdia,0.5512820512820513,5.384615384615385,26
Brazil.regions.PR:Itaperuçu,0.9652777777777778,0.4166666666666667,24
Brazil.regions.CE:Acarape,0.9444444444444444,0.6666666666666666,24
Brazil.regions.PR:Santa Terezinha de Itaipu,0.9746376811594203,0.30434782608695654,23
Brazil.regions.SP:Taquaritinga,0.9746376811594203,0.30434782608695654,23
Brazil.regions.RS:Carazinho,0.927536231884058,0.8695652173913043,23
Brazil.regions.SP:Vista Alegre do Alto,0.9841269841269842,0.19047619047619047,21
Brazil.regions.PB:Cruz do Espírito Santo,0.9047619047619048,1.1428571428571428,21
Brazil.regions.BA:Ibicaraí,0.9833333333333333,0.2,20
Brazil.regions.PE:Jucati,0.9791666666666666,0.25,20
Brazil.regions.SP:Pitangueiras,0.9824561403508771,0.21052631578947367,19
Brazil.regions.AL:Anadia,0.9780701754385965,0.2631578947368421,19
Brazil.regions.AL:Limoeiro de Anadia,0.9780701754385965,0.2631578947368421,19
Brazil.regions.PB:Alagoa Grande,0.962962962962963,0.4444444444444444,18
Brazil.regions.SP:Socorro,0.9558823529411765,0.5294117647058824,17
Brazil.regions.PE:São Joaquim do Monte,0.9739583333333334,0.3125,16
Brazil.regions.AL:Atalaia,0.9322916666666666,0.8125,16
Brazil.regions.BA:São Felipe,0.9761904761904762,0.2857142857142857,14
Brazil.regions.AL:Penedo,0.9642857142857143,0.42857142857142855,14
Brazil.regions.MG:Três Corações,0.9107142857142857,1.0714285714285714,14
Brazil.regions.PE:São João,0.9791666666666666,0.25,12
Brazil.regions.RJ:Miracema,0.9513888888888888,0.5833333333333334,12
Brazil.regions.RN:Maxaranguape,0.9833333333333333,0.2,10
Brazil.regions.SE:Campo do Brito,0.9833333333333333,0.2,10
Brazil.regions.MG:Fronteira,0.9814814814814815,0.2222222222222222,9
Brazil.regions.SC:Passo de Torres,0.9791666666666666,0.25,8
Brazil.regions.SC:Rodeio,0.9761904761904762,0.2857142857142857,7
Brazil.regions.RS:Três Passos,0.5952380952380953,4.857142857142857,7
Brazil.regions.AL:São José da Laje,0.9861111111111112,0.16666666666666666,6
Brazil.regions.SP:Dumont,0.9722222222222222,0.3333333333333333,6
Brazil.regions.MG:Bela Vista de Minas,0.9833333333333333,0.2,5
Brazil.regions.SP:Canas,0.9833333333333333,0.2,5
Brazil.regions.CE:Jijoca de Jericoacoara,0.7833333333333333,2.6,5
Brazil.regions.MG:Astolfo Dutra,0.9791666666666666,0.25,4
Brazil.regions.PB:Teixeira,0.9791666666666666,0.25,4
Brazil.regions.SP:Taguaí,0.9791666666666666,0.25,4
Brazil.regions.MG:Itabirito,0.9722222222222222,0.3333333333333333,3
Brazil.regions.MG:Matias Barbosa,0.9583333333333334,0.5,2
Brazil.regions.PB:Lagoa de Dentro,1.0,0.0,1
