region,similarity,distance,days
Brazil.regions.BA:São Domingos,0.99885801294252,0.08108108108108109,37
Brazil.regions.PB:Igaracy,0.99885801294252,0.08108108108108109,37
Brazil.regions.PR:Ibaiti,0.99885801294252,0.08108108108108109,37
Brazil.regions.PR:Palmas,0.99885801294252,0.08108108108108109,37
Brazil.regions.RN:Baía Formosa,0.99885801294252,0.08108108108108109,37
Brazil.regions.RS:Camaquã,0.99885801294252,0.08108108108108109,37
Brazil.regions.RS:Capão do Leão,0.99885801294252,0.08108108108108109,37
Brazil.regions.RS:Cerro Grande do Sul,0.99885801294252,0.08108108108108109,37
Brazil.regions.PR:Rio Branco do Sul,0.9984773505900266,0.10810810810810811,37
Brazil.regions.SC:Mafra,0.9984773505900266,0.10810810810810811,37
Brazil.regions.CE:Farias Brito,0.9980966882375333,0.13513513513513514,37
Brazil.regions.ES:São Roque do Canaã,0.9980966882375333,0.13513513513513514,37
Brazil.regions.RN:Taipu,0.9980966882375333,0.13513513513513514,37
Brazil.regions.RS:São Domingos do Sul,0.9980966882375333,0.13513513513513514,37
Brazil.regions.PR:Balsa Nova,0.9973353635325466,0.1891891891891892,37
Brazil.regions.ES:Santa Teresa,0.9969547011800532,0.21621621621621623,37
Brazil.regions.MG:Senador Amaral,0.9965740388275599,0.24324324324324326,37
Brazil.regions.RO:Rolim de Moura,0.9961933764750666,0.2702702702702703,37
Brazil.regions.RS:Sananduva,0.9961933764750666,0.2702702702702703,37
Brazil.regions.CE:Icó,0.9958127141225733,0.2972972972972973,37
Brazil.regions.SP:Guararapes,0.9950513894175866,0.35135135135135137,37
Turks_and_Caicos_islands,0.9950513894175866,0.35135135135135137,37
Brazil.regions.PR:Assis Chateaubriand,0.9931480776551199,0.4864864864864865,37
Brazil.regions.SP:Agudos,0.9916254282451465,0.5945945945945946,37
Brazil.regions.ES:Afonso Cláudio,0.9912447658926532,0.6216216216216216,37
Brazil.regions.SC:Antônio Carlos,0.9912447658926532,0.6216216216216216,37
Brazil.regions.MT:Sinop,0.9901027788351732,0.7027027027027027,37
Brazil.regions.CE:Beberibe,0.9889607917776931,0.7837837837837838,37
Brazil.regions.CE:Pedra Branca,0.9889607917776931,0.7837837837837838,37
Brazil.regions.BA:Uruçuca,0.980966882375333,1.3513513513513513,37
Faroe_Islands,0.928054815378759,5.108108108108108,37
Brazil.regions.MG:Piumhi,0.9980438184663537,0.1388888888888889,36
