region,cases_distance,deaths_distance,cases_per_100k_distance,deaths_per_100k_distance,is_same_cluster
Brazil.regions.CE:Parambu,3.4,1.0,17.746822447303252,3.1724881824815205,False
Brazil.regions.CE:Solonópole,0.0,1.0,26.24844672177837,5.457323728443571,False
Brazil.regions.MA:Belágua,5.4,0.0,53.981737917698794,0.0,False
Brazil.regions.MA:São Raimundo do Doca Bezerra,8.0,0.0,140.14834450108606,0.0,False
Brazil.regions.MA:Turiaçu,11.0,0.0,6.341154090044386,0.0,False
Brazil.regions.MG:São Francisco,0.0,1.0,29.93029684263712,1.7754736075848232,False
Brazil.regions.PA:Canaã dos Carajás,0.0,1.0,29.00926242811057,2.6965080221113658,False
Brazil.regions.PA:Viseu,0.9,1.0,28.611459097356448,1.628584922560787,False
Brazil.regions.PE:Lagoa Grande,0.0,1.0,27.799673032152338,3.9060974180696073,False
Brazil.regions.PE:Serrita,0.3,1.0,24.922571911218547,5.217845030002609,False
Brazil.regions.PE:Sertânia,0.0,1.0,28.920798160696222,2.7849722895257196,False
Brazil.regions.RS:Gramado dos Loureiros,2.7,0.0,146.00796634132467,0.0,False
Brazil.regions.RS:Saldanha Marinho,1.6,0.0,66.40743709694786,0.0,False
Brazil.regions.SP:Alto Alegre,0.0,0.4,7.309576256516159,9.758477677482313,False
Brazil.regions.SP:Iepê,0.0,1.0,19.449366479147052,12.256403971074885,False
Brazil.regions.SP:Santa Cruz da Esperança,1.0,0.0,61.795865828412936,0.0,False
United_States_of_America.regions.Georgia:Dooly,8.3,0.0,39.609244730188394,0.0,False
United_States_of_America.regions.Georgia:Mitchell,8.8,0.0,21.164830821878013,0.0,False
United_States_of_America.regions.Georgia:Schley,2.7,0.0,41.21327977830448,0.0,False
United_States_of_America.regions.Missouri:Mississippi,9.8,0.0,64.00428003845106,0.0,False
United_States_of_America.regions.Texas:Matagorda,1.4,1.0,25.156088382705637,2.729034194798461,False
Brazil.regions.MG:Belo Horizonte,10.3,0.0,31.255942220913045,0.0,False
Brazil.regions.AM:Beruri,1.6,1.0,18.493716992221028,5.081559022308044,False
Brazil.regions.PA:Paragominas,9.5,1.1,22.42564317990509,0.9722038092712889,False
Brazil.regions.PA:Santarém,3.4,1.0,30.261200882706373,0.32831126534444777,False
Sweden.regions.Värmland,9.3,0.0,28.046566664544706,0.0,False
Sweden.regions.Västernorrland,8.2,0.0,27.9575987024739,0.0,False
Albania,7.8,0.4,31.398762576865483,0.013954903334384603,False
Slovenia,7.8,0.0,31.28010927264964,0.0,False
Brazil.regions.PE:Macaparana,0.0,1.0,27.76503905047415,3.9407313997477926,False
Brazil.regions.SP:Porto Ferreira,1.0,1.0,28.143882649687658,1.7809439002671419,False
Brazil.regions.AM:Iranduba,4.3,0.0,20.731776744739086,0.0,True
Brazil.regions.AM:Tabatinga,0.3,0.0,29.73140680281291,0.0,True
Brazil.regions.BA:Abaíra,0.0,0.0,20.2628135901693,0.0,True
Brazil.regions.BA:Almadina,0.0,0.0,13.404159908494268,0.0,True
Brazil.regions.BA:Canavieiras,0.8,0.0,25.91780299146121,0.0,True
Brazil.regions.BA:Capela do Alto Alegre,0.0,0.0,23.11249039522495,0.0,True
Brazil.regions.BA:Dom Basílio,1.0,0.0,15.31098399231555,0.0,True
Brazil.regions.BA:Igrapiúna,1.0,0.0,16.584040524318418,0.0,True
Brazil.regions.BA:Ipirá,2.6,0.0,25.664995217400396,0.0,True
Brazil.regions.BA:Itagibá,0.0,0.0,24.84658943643499,0.0,True
Brazil.regions.BA:Itapicuru,1.0,0.0,26.084002966525066,0.0,True
Brazil.regions.BA:Itapé,0.0,0.9,20.29154832945947,10.272799908686224,True
Brazil.regions.BA:Jussari,0.0,0.0,14.561933659548188,0.0,True
Brazil.regions.BA:Lajedo do Tabocal,0.0,0.0,20.026256318009843,0.0,True
Brazil.regions.BA:Medeiros Neto,0.0,0.0,27.29815408915001,0.0,True
Brazil.regions.BA:Miguel Calmon,0.0,0.0,27.863015963806077,0.0,True
Brazil.regions.BA:Mundo Novo,0.0,1.0,27.97108267012036,3.7346877801015834,True
Brazil.regions.BA:Paramirim,0.0,0.0,27.077640677463116,0.0,True
Brazil.regions.BA:Piripá,0.0,0.0,22.36608613155191,0.0,True
Brazil.regions.BA:Prado,0.0,0.0,28.15639868902367,0.0,True
Brazil.regions.BA:Rafael Jambeiro,0.0,0.0,27.285099392355356,0.0,True
Brazil.regions.BA:Rio do Pires,0.0,0.0,23.12576187021336,0.0,True
Brazil.regions.BA:Santa Cruz Cabrália,1.8,0.0,21.625851089576827,0.0,True
Brazil.regions.BA:Santa Maria da Vitória,0.0,0.0,29.196045265129708,0.0,True
Brazil.regions.BA:Santaluz,0.0,0.0,29.02825090432925,0.0,True
Brazil.regions.BA:Seabra,0.0,0.0,29.437733889472582,0.0,True
Brazil.regions.BA:Sobradinho,0.9,0.0,23.51293702346156,0.0,True
Brazil.regions.BA:Sátiro Dias,0.0,0.0,25.916388177310456,0.0,True
Brazil.regions.BA:Água Fria,0.0,1.0,25.81301853507757,5.8927519151443715,True
