region,similarity,distance,days,is_same_cluster,score
Brazil.regions.MG:Espírito Santo do Dourado,1.0,0.0,18,True,1.5
Brazil.regions.TO:Tocantinópolis,1.0,0.0,18,True,1.5
Brazil.regions.CE:Araripe,1.0,0.0,18,True,1.5
Brazil.regions.SP:Guzolândia,1.0,0.0,18,True,1.5
Brazil.regions.MA:Alcântara,1.0,0.0,18,True,1.5
Brazil.regions.GO:Vianópolis,1.0,0.0,18,True,1.5
Brazil.regions.PR:Santana do Itararé,1.0,0.0,18,True,1.5
Brazil.regions.PB:Serra Branca,1.0,0.0,18,True,1.5
Brazil.regions.GO:Uruaçu,1.0,0.0,18,True,1.5
Brazil.regions.PE:Inajá,1.0,0.0,18,True,1.5
Brazil.regions.PI:Bonfim do Piauí,1.0,0.0,18,True,1.5
Brazil.regions.PR:Ramilândia,1.0,0.0,18,True,1.5
Brazil.regions.SP:Itatinga,1.0,0.0,18,True,1.5
Brazil.regions.MG:Capitólio,1.0,0.0,18,True,1.5
Brazil.regions.GO:Nova Glória,1.0,0.0,18,True,1.5
Brazil.regions.RN:Carnaubais,1.0,0.0,18,True,1.5
Brazil.regions.SP:Arealva,1.0,0.0,18,True,1.5
Brazil.regions.BA:Piripá,1.0,0.0,18,True,1.5
Brazil.regions.GO:Aloândia,1.0,0.0,18,True,1.5
Brazil.regions.PR:Chopinzinho,1.0,0.0,18,True,1.5
Brazil.regions.BA:Abaíra,1.0,0.0,18,True,1.5
Brazil.regions.GO:Anhanguera,1.0,0.0,18,True,1.5
Brazil.regions.GO:Bom Jesus de Goiás,1.0,0.0,18,True,1.5
Brazil.regions.PI:Inhuma,1.0,0.0,18,True,1.5
Brazil.regions.PI:São José do Piauí,1.0,0.0,18,True,1.5
Brazil.regions.MA:São Benedito do Rio Preto,1.0,0.0,18,True,1.5
Brazil.regions.MA:São Francisco do Brejão,1.0,0.0,18,True,1.5
Brazil.regions.BA:Medeiros Neto,1.0,0.0,18,True,1.5
Brazil.regions.RN:Caraúbas,1.0,0.0,18,True,1.5
Brazil.regions.BA:Licínio de Almeida,1.0,0.0,18,True,1.5
Brazil.regions.MG:Monte Azul,1.0,0.0,18,True,1.5
Brazil.regions.CE:Quiterianópolis,1.0,0.0,18,True,1.5
Brazil.regions.SC:Timbé do Sul,1.0,0.0,18,True,1.5
Brazil.regions.MG:Jeceaba,1.0,0.0,18,True,1.5
Brazil.regions.SC:Águas Mornas,1.0,0.0,18,True,1.5
Brazil.regions.MG:Santa Maria de Itabira,1.0,0.0,18,True,1.5
Brazil.regions.MA:Cajapió,1.0,0.0,18,True,1.5
Brazil.regions.SC:Vidal Ramos,1.0,0.0,18,True,1.5
Brazil.regions.RS:Rio Pardo,1.0,0.0,18,True,1.5
Brazil.regions.RN:Ouro Branco,1.0,0.0,18,True,1.5
Brazil.regions.RS:Nova Palma,1.0,0.0,18,True,1.5
Brazil.regions.CE:Senador Sá,1.0,0.0,18,True,1.5
Brazil.regions.RS:Ciríaco,1.0,0.0,18,True,1.5
Brazil.regions.PI:Várzea Grande,0.9999999231562655,0.04678362573099415,18,True,1.4999998847343983
Brazil.regions.SC:Itaiópolis,0.9999997694687967,0.14035087719298245,18,True,1.499999654203195
Brazil.regions.RN:Acari,0.9999996734141285,0.19883040935672514,18,True,1.4999995101211927
Brazil.regions.SC:Santa Cecília,0.9999996542031949,0.21052631578947367,18,True,1.4999994813047923
Brazil.regions.PR:Paranapoema,0.9999995005157261,0.30409356725146197,18,True,1.499999250773589
Brazil.regions.SC:Xavantina,0.9999995005157261,0.30409356725146197,18,True,1.499999250773589
Brazil.regions.SC:Paulo Lopes,0.9999994044610581,0.36257309941520466,18,True,1.499999106691587
Brazil.regions.RJ:Rio das Flores,0.999999356433724,0.391812865497076,18,True,1.4999990346505858
Brazil.regions.CE:Ipaporanga,0.999999356433724,0.391812865497076,18,True,1.4999990346505858
Brazil.regions.RS:Marcelino Ramos,0.999999356433724,0.391812865497076,18,True,1.4999990346505858
Brazil.regions.BA:Santa Luzia,0.9999992219571887,0.47368421052631576,18,True,1.4999988329357832
Brazil.regions.PR:Iretama,0.9999992219571887,0.47368421052631576,18,True,1.4999988329357832
Brazil.regions.MA:São João dos Patos,0.9999992219571887,0.47368421052631576,18,True,1.4999988329357832
Brazil.regions.MA:Altamira do Maranhão,0.9999990970861202,0.5497076023391813,18,True,1.4999986456291803
Brazil.regions.BA:Paramirim,0.9999990970861202,0.5497076023391813,18,True,1.4999986456291803
Brazil.regions.MG:Jaboticatubas,0.9999988761603836,0.6842105263157895,18,True,1.4999983142405755
Brazil.regions.ES:Santa Leopoldina,0.9999986648401139,0.8128654970760234,18,True,1.499997997260171
Brazil.regions.MG:Espinosa,0.9999986168127799,0.8421052631578947,18,True,1.4999979252191697
Brazil.regions.BA:Caetanos,0.9999986168127799,0.8421052631578947,18,True,1.4999979252191697
Brazil.regions.BA:Sátiro Dias,0.9999986168127799,0.8421052631578947,18,True,1.4999979252191697
Brazil.regions.SP:Quintana,0.9999986168127799,0.8421052631578947,18,True,1.4999979252191697
Brazil.regions.RS:Campinas do Sul,0.9999985976018463,0.8538011695906432,18,True,1.4999978964027694
Brazil.regions.PI:Francinópolis,0.9999985495745123,0.8830409356725146,18,True,1.4999978243617684
Brazil.regions.BA:Rio do Pires,0.9999985495745123,0.8830409356725146,18,True,1.4999978243617684
Brazil.regions.CE:Ibaretama,0.9999984919417114,0.9181286549707602,18,True,1.499997737912567
Brazil.regions.CE:Uruoca,0.9999984439143774,0.9473684210526315,18,True,1.4999976658715661
Brazil.regions.RN:Bento Fernandes,0.9999983766761097,0.9883040935672515,18,True,1.4999975650141646
Brazil.regions.MG:Conceição das Alagoas,0.9999983478597093,1.0058479532163742,18,True,1.499997521789564
Brazil.regions.CE:Salitre,0.9999983478597093,1.0058479532163742,18,True,1.499997521789564
Brazil.regions.SP:Caiabu,0.9999983478597093,1.0058479532163742,18,True,1.499997521789564
Brazil.regions.RS:Minas do Leão,0.9999983478597093,1.0058479532163742,18,True,1.499997521789564
