region,cases_distance,deaths_distance,cases_per_100k_distance,deaths_per_100k_distance,is_same_cluster
Brazil.regions.BA:Barreiras,0.0,0.0,19.71496700120514,0.0,False
Brazil.regions.BA:Bom Jesus da Lapa,2.0,0.0,16.01978591357366,0.0,False
Brazil.regions.BA:Campo Alegre de Lourdes,3.9319137749737116,0.0,6.685744093067591,0.0,False
Brazil.regions.BA:Campo Formoso,0.0,0.0,18.953930153197756,0.0,False
Brazil.regions.GO:Formosa,5.371840135574073,0.0,15.119038540837996,0.0,False
Brazil.regions.GO:Jataí,3.166599839615076,0.0,16.22813446392451,0.0,False
Brazil.regions.GO:Minaçu,1.7962760131434832,0.0,10.739193656611757,0.0,False
Brazil.regions.GO:Padre Bernardo,0.0,0.0,17.402786756384813,0.0,False
Brazil.regions.GO:Quirinópolis,0.25,0.0,17.86155196941045,0.0,False
Brazil.regions.MA:Arame,6.637458926615554,0.0,13.722169506445432,0.0,False
Brazil.regions.MA:Parnarama,3.0,0.0,8.899286508058779,0.0,False
Brazil.regions.MA:Tuntum,13.873251902991681,0.0,29.78070936803551,0.0,False
Brazil.regions.MG:Diamantina,3.8666666666666667,0.0,10.160567851715209,0.0,False
Brazil.regions.MG:Três Marias,0.0,0.0,17.26768930179441,0.0,False
Brazil.regions.MG:Unaí,4.639133921411387,0.0,13.675125832183527,0.0,False
Brazil.regions.MS:Naviraí,0.2853697749196141,0.0,18.01607473931027,0.0,False
Brazil.regions.MS:Nova Andradina,9.842221331194867,0.0,1.40273634409634,0.0,False
Brazil.regions.MS:Ponta Porã,0.0,0.0,19.277528893894495,0.0,False
Brazil.regions.MS:Sidrolândia,0.0,0.0,18.624152022619697,0.0,False
Brazil.regions.MT:Primavera do Leste,13.937129039349312,0.0,14.050134701532896,0.0,False
Brazil.regions.MT:Sorriso,16.719165085388994,0.0,7.796854330980057,0.0,False
Brazil.regions.PA:Ipixuna do Pará,18.843601895734597,0.0,14.17093207158298,0.0,False
Brazil.regions.PA:Ulianópolis,23.229601518026566,0.0,23.602354773542576,0.0,False
Brazil.regions.PI:Floriano,20.22872020829161,0.0,20.830685115765494,0.0,False
Brazil.regions.RS:Alegrete,0.8540497193263833,0.0,17.838840345760502,0.0,False
Brazil.regions.RS:Caçapava do Sul,0.0,0.0,17.384240045694057,0.0,False
Brazil.regions.RS:Itaqui,0.7272727272727273,0.0,15.766937961193214,0.0,False
Brazil.regions.RS:Sant'Ana do Livramento,6.365276663993584,0.0,10.796364708673241,0.0,False
Brazil.regions.RS:São Borja,2.155555555555556,0.0,15.12364981462503,0.0,False
Brazil.regions.RS:São Gabriel,0.0,0.0,18.748129874618662,0.0,False
Brazil.regions.RS:Uruguaiana,2.8859262229350438,0.0,17.29779880691748,0.0,False
United_States_of_America.regions.California:Del Norte,1.8121491579791502,0.0,10.247026317002351,0.0,False
United_States_of_America.regions.California:Humboldt,9.006615878107457,0.0,14.38154557310242,0.0,False
United_States_of_America.regions.California:Mendocino,5.120288692862871,0.0,13.303137030937238,0.0,False
United_States_of_America.regions.Colorado:Fremont,13.81214915797915,0.0,16.797615828185915,0.0,False
United_States_of_America.regions.Colorado:La Plata,49.37309542902967,0.0,69.83287141670114,0.0,False
United_States_of_America.regions.Colorado:Mesa,26.851443464314354,0.0,5.613533165065252,0.0,False
United_States_of_America.regions.Hawaii:Hawaii,44.19707297514034,0.0,10.087698430899461,0.0,False
United_States_of_America.regions.Idaho:Jefferson,3.4238171611868484,0.0,5.548567106916282,0.0,False
United_States_of_America.regions.Kansas:Butler,7.63532477947073,0.0,7.452618365591503,0.0,False
United_States_of_America.regions.Kansas:Ford,167.04791499599037,0.0,490.4488276497092,0.0,False
United_States_of_America.regions.Maine:Oxford,11.419406575781878,0.0,3.9633893954711557,0.0,False
United_States_of_America.regions.Maine:Penobscot,37.827586206896555,0.0,10.233961166431378,0.0,False
United_States_of_America.regions.Minnesota:Becker,16.861142929871452,0.0,40.19026729234351,0.0,False
United_States_of_America.regions.Minnesota:Morrison,13.37672741838574,0.0,28.204831040671582,0.0,False
United_States_of_America.regions.Minnesota:Otter Tail,10.73476343223737,0.0,12.113252518438172,0.0,False
United_States_of_America.regions.Montana:Gallatin,112.63031275060145,0.0,81.32658229818905,0.0,False
United_States_of_America.regions.Nevada:Lyon,19.829591018444265,0.0,21.572691371064007,0.0,False
United_States_of_America.regions.New Mexico:Curry,11.244987971130715,0.0,7.704805174728509,0.0,False
United_States_of_America.regions.New York:Franklin,12.282076984763432,0.0,7.164994277493416,0.0,False
United_States_of_America.regions.Oregon:Coos,22.03767341224386,0.0,20.58299161705995,0.0,False
United_States_of_America.regions.Oregon:Umatilla,12.982357658380112,0.0,11.441417652559933,0.0,False
