region,similarity,distance,days,score
Brazil.regions.RS:Sant'Ana do Livramento,0.999996748862515,1.1395348837209303,43,0.9999967488625149
Brazil.regions.BA:Alagoinhas,0.9999966825127704,1.1627906976744187,43,0.9999966825127703
Brazil.regions.MG:Timóteo,0.9999966161630258,1.186046511627907,43,0.9999966161630257
Brazil.regions.PR:Almirante Tamandaré,0.9999962844143029,1.302325581395349,43,0.9999962844143028
Brazil.regions.SP:Salto de Pirapora,0.9999960190153244,1.3953488372093024,43,0.9999960190153243
Brazil.regions.PR:Araucária,0.9999959526655798,1.4186046511627908,43,0.9999959526655797
Brazil.regions.SC:Içara,0.9999957536163461,1.4883720930232558,43,0.999995753616346
Brazil.regions.RS:Capão da Canoa,0.9999956209168569,1.5348837209302326,43,0.9999956209168568
Brazil.regions.SC:Siderópolis,0.9999955545671123,1.558139534883721,43,0.9999955545671122
Brazil.regions.PA:Itaituba,0.9999955545671123,1.558139534883721,43,0.9999955545671122
Mauritania,0.999995289168134,1.6511627906976745,43,0.9999952891681338
Brazil.regions.PR:Cambé,0.999995289168134,1.6511627906976745,43,0.9999952891681338
Brazil.regions.PR:União da Vitória,0.9999952228183894,1.6744186046511629,43,0.9999952228183893
Brazil.regions.BA:Brumado,0.9999951564686448,1.697674418604651,43,0.9999951564686447
Brazil.regions.PR:Medianeira,0.9999950237691556,1.744186046511628,43,0.9999950237691555
Brazil.regions.PR:Colombo,0.9999948910696664,1.7906976744186047,43,0.9999948910696663
Brazil.regions.MG:São João del Rei,0.9999948247199218,1.813953488372093,43,0.9999948247199217
Brazil.regions.SC:Laguna,0.9999947583701773,1.8372093023255813,43,0.9999947583701772
Brazil.regions.MG:Boa Esperança,0.9999945593209434,1.9069767441860466,43,0.9999945593209433
Brazil.regions.BA:Teixeira de Freitas,0.9999944929711988,1.930232558139535,43,0.9999944929711987
Brazil.regions.BA:Juazeiro,0.9999944266214542,1.9534883720930232,43,0.9999944266214541
Brazil.regions.RS:Serafina Corrêa,0.9999943602717096,1.9767441860465116,43,0.9999943602717095
Brazil.regions.ES:Cachoeiro de Itapemirim,0.9999943602717096,1.9767441860465116,43,0.9999943602717095
Brazil.regions.RS:Farroupilha,0.999994293921965,2.0,43,0.9999942939219649
Brazil.regions.GO:Cidade Ocidental,0.999994293921965,2.0,43,0.9999942939219649
Brazil.regions.PR:Ponta Grossa,0.9999941612224759,2.046511627906977,43,0.9999941612224758
Brazil.regions.MG:Araguari,0.9999938958234975,2.13953488372093,43,0.9999938958234974
Brazil.regions.BA:Dias d'Ávila,0.9999938294737529,2.1627906976744184,43,0.9999938294737528
Brazil.regions.RS:Santa Rosa,0.9999936304245192,2.2325581395348837,43,0.999993630424519
Brazil.regions.PE:Ipubi,0.99999349772503,2.2790697674418605,43,0.9999934977250299
Brazil.regions.SP:Brodowski,0.9999934313752854,2.302325581395349,43,0.9999934313752853
British_Virgin_Islands,0.9999934313752854,2.302325581395349,43,0.9999934313752853
Brazil.regions.MG:Santa Luzia,0.9999934313752854,2.302325581395349,43,0.9999934313752853
Brazil.regions.BA:Itagibá,0.9999933650255408,2.3255813953488373,43,0.9999933650255407
Brazil.regions.SP:Matão,0.999993165976307,2.395348837209302,43,0.9999931659763069
Brazil.regions.SC:Tijucas,0.9999930996265624,2.4186046511627906,43,0.9999930996265622
Brazil.regions.PR:Goioerê,0.9999930332768178,2.441860465116279,43,0.9999930332768177
Papua_New_Guinea,0.9999929669270732,2.4651162790697674,43,0.9999929669270731
Brazil.regions.RS:Alvorada,0.9999929669270732,2.4651162790697674,43,0.9999929669270731
Brazil.regions.BA:Itororó,0.9999929005773286,2.488372093023256,43,0.9999929005773285
Brazil.regions.RS:Erechim,0.9999929005773286,2.488372093023256,43,0.9999929005773285
Brazil.regions.RR:Bonfim,0.999992834227584,2.511627906976744,43,0.9999928342275839
Brazil.regions.BA:Prado,0.999992834227584,2.511627906976744,43,0.9999928342275839
Brazil.regions.MT:Várzea Grande,0.9999925688286057,2.604651162790698,43,0.9999925688286055
Brazil.regions.BA:Itajuípe,0.9999925688286057,2.604651162790698,43,0.9999925688286055
Brazil.regions.SC:Porto Belo,0.9999925688286057,2.604651162790698,43,0.9999925688286055
Brazil.regions.PR:Francisco Beltrão,0.9999924361291165,2.6511627906976742,43,0.9999924361291164
Brazil.regions.RN:Monte Alegre,0.9999923697793719,2.6744186046511627,43,0.9999923697793718
Brazil.regions.GO:Jataí,0.9999923697793719,2.6744186046511627,43,0.9999923697793718
Gambia,0.9999923034296273,2.697674418604651,43,0.9999923034296272
Brazil.regions.BA:Catu,0.9999923034296273,2.697674418604651,43,0.9999923034296272
Brazil.regions.MG:Sete Lagoas,0.9999923034296273,2.697674418604651,43,0.9999923034296272
Brazil.regions.RS:Rio Grande,0.9999923034296273,2.697674418604651,43,0.9999923034296272
Brazil.regions.RJ:Valença,0.9999921707301381,2.744186046511628,43,0.999992170730138
Brazil.regions.SP:Porto Feliz,0.9999921707301381,2.744186046511628,43,0.999992170730138
Bhutan,0.9999921043803935,2.7674418604651163,43,0.9999921043803934
Brazil.regions.PR:Rio Branco do Sul,0.9999919716809044,2.813953488372093,43,0.9999919716809043
Brazil.regions.SC:Jaguaruna,0.9999919053311598,2.8372093023255816,43,0.9999919053311597
Brazil.regions.MG:Alfenas,0.9999917726316706,2.883720930232558,43,0.9999917726316705
Brazil.regions.SC:Gravatal,0.999991706281926,2.9069767441860463,43,0.9999917062819259
Brazil.regions.RS:Torres,0.999991706281926,2.9069767441860463,43,0.9999917062819259
Brazil.regions.ES:Castelo,0.999991706281926,2.9069767441860463,43,0.9999917062819259
Brazil.regions.MG:Ipatinga,0.999991706281926,2.9069767441860463,43,0.9999917062819259
Brazil.regions.SC:São Francisco do Sul,0.9999915735824367,2.953488372093023,43,0.9999915735824366
Brazil.regions.RS:São Sebastião do Caí,0.9999915072326921,2.9767441860465116,43,0.999991507232692
Brazil.regions.GO:Rio Verde,0.9999915072326921,2.9767441860465116,43,0.999991507232692
Brazil.regions.BA:Barra do Rocha,0.9999915072326921,2.9767441860465116,43,0.999991507232692
Brazil.regions.RS:Estância Velha,0.9999914408829476,3.0,43,0.9999914408829474
Brazil.regions.ES:Itapemirim,0.999991374533203,3.0232558139534884,43,0.9999913745332029
Brazil.regions.RS:Ivoti,0.999991374533203,3.0232558139534884,43,0.9999913745332029
Brazil.regions.MT:Tangará da Serra,0.999991374533203,3.0232558139534884,43,0.9999913745332029
