region,similarity,distance,days,score
Brazil.regions.PR:Francisco Beltrão,0.9999970043090317,1.05,40,0.9999970043090316
Brazil.regions.MG:Unaí,0.9999965763531791,1.2,40,0.999996576353179
Brazil.regions.PR:Terra Rica,0.9999964337012281,1.25,40,0.999996433701228
Brazil.regions.SP:Adamantina,0.9999962910492773,1.3,40,0.9999962910492772
Brazil.regions.RJ:Barra Mansa,0.9999960057453755,1.4,40,0.9999960057453754
Brazil.regions.SP:Louveira,0.9999958630934247,1.45,40,0.9999958630934246
Brazil.regions.RS:Carlos Barbosa,0.9999957917674492,1.475,40,0.9999957917674491
Brazil.regions.PB:Sousa,0.9999957917674492,1.475,40,0.9999957917674491
Papua_New_Guinea,0.9999955064635475,1.575,40,0.9999955064635474
Brazil.regions.MG:Patrocínio,0.999995435137572,1.6,40,0.9999954351375719
Brazil.regions.MG:Ipatinga,0.999995435137572,1.6,40,0.9999954351375719
Brazil.regions.MG:Coronel Fabriciano,0.9999953638115966,1.625,40,0.9999953638115965
Brazil.regions.CE:Juazeiro do Norte,0.9999952924856211,1.65,40,0.999995292485621
Brazil.regions.RJ:Valença,0.9999952211596458,1.675,40,0.9999952211596457
Brazil.regions.GO:Águas Lindas de Goiás,0.9999952211596458,1.675,40,0.9999952211596457
Brazil.regions.PR:Guarapuava,0.9999952211596458,1.675,40,0.9999952211596457
Brazil.regions.CE:Ipaporanga,0.9999951498336703,1.7,40,0.9999951498336702
Brazil.regions.PA:Goianésia do Pará,0.9999950785076949,1.725,40,0.9999950785076948
Brazil.regions.ES:Sooretama,0.999994935855744,1.775,40,0.9999949358557438
Brazil.regions.BA:Dias d'Ávila,0.9999948645297686,1.8,40,0.9999948645297685
Brazil.regions.RN:Caraúbas,0.9999948645297686,1.8,40,0.9999948645297685
Brazil.regions.PR:Guaíra,0.9999947218778177,1.85,40,0.9999947218778176
Brazil.regions.RS:Estrela,0.9999947218778177,1.85,40,0.9999947218778176
Brazil.regions.MG:Alfenas,0.9999947218778177,1.85,40,0.9999947218778176
Brazil.regions.SP:Brodowski,0.9999946505518422,1.875,40,0.9999946505518421
Brazil.regions.SC:São Francisco do Sul,0.9999946505518422,1.875,40,0.9999946505518421
Brazil.regions.SC:Balneário Arroio do Silva,0.9999946505518422,1.875,40,0.9999946505518421
Brazil.regions.SP:São José do Rio Pardo,0.9999945078998914,1.925,40,0.9999945078998913
Brazil.regions.RO:Jaru,0.999994436573916,1.95,40,0.9999944365739158
Brazil.regions.RN:Monte Alegre,0.999994436573916,1.95,40,0.9999944365739158
Brazil.regions.SP:Nova Odessa,0.9999943652479405,1.975,40,0.9999943652479404
Brazil.regions.ES:Itapemirim,0.999994293921965,2.0,40,0.9999942939219649
Brazil.regions.RS:São Sebastião do Caí,0.999994293921965,2.0,40,0.9999942939219649
Brazil.regions.SP:Itupeva,0.9999942225959896,2.025,40,0.9999942225959895
Brazil.regions.PE:Belo Jardim,0.9999942225959896,2.025,40,0.9999942225959895
Brazil.regions.SP:Porto Feliz,0.9999942225959896,2.025,40,0.9999942225959895
Brazil.regions.RS:Guaíba,0.9999942225959896,2.025,40,0.9999942225959895
Russia,0.9999941512700142,2.05,40,0.9999941512700141
Brazil.regions.MG:Santana do Paraíso,0.9999940799440388,2.075,40,0.9999940799440387
Brazil.regions.RJ:Miguel Pereira,0.9999940799440388,2.075,40,0.9999940799440387
Brazil.regions.BA:Gandu,0.9999939372920879,2.125,40,0.9999939372920877
Brazil.regions.SC:São Lourenço do Oeste,0.9999938659661124,2.15,40,0.9999938659661123
Brazil.regions.ES:Castelo,0.999993794640137,2.175,40,0.9999937946401369
Brazil.regions.MG:Poços de Caldas,0.999993794640137,2.175,40,0.9999937946401369
Brazil.regions.RS:Farroupilha,0.9999937233141616,2.2,40,0.9999937233141615
Brazil.regions.RS:Tramandaí,0.9999937233141616,2.2,40,0.9999937233141615
Brazil.regions.RS:Cruzeiro do Sul,0.9999936519881861,2.225,40,0.999993651988186
Brazil.regions.RS:Alvorada,0.9999936519881861,2.225,40,0.999993651988186
Brazil.regions.SP:Lençóis Paulista,0.9999936519881861,2.225,40,0.999993651988186
Bhutan,0.9999936519881861,2.225,40,0.999993651988186
Brazil.regions.RS:Sapiranga,0.9999935806622107,2.25,40,0.9999935806622106
Brazil.regions.SC:Biguaçu,0.9999935093362352,2.275,40,0.9999935093362351
Brazil.regions.MG:Toledo,0.9999935093362352,2.275,40,0.9999935093362351
Brazil.regions.SC:Urussanga,0.9999934380102599,2.3,40,0.9999934380102597
Brazil.regions.GO:Bom Jesus de Goiás,0.9999934380102599,2.3,40,0.9999934380102597
Brazil.regions.SP:Itararé,0.9999934380102599,2.3,40,0.9999934380102597
Brazil.regions.MG:Santa Luzia,0.9999934380102599,2.3,40,0.9999934380102597
Brazil.regions.MG:Carmo do Cajuru,0.9999933666842844,2.325,40,0.9999933666842843
Brazil.regions.MG:Sete Lagoas,0.9999933666842844,2.325,40,0.9999933666842843
Brazil.regions.PR:Umuarama,0.9999933666842844,2.325,40,0.9999933666842843
Brazil.regions.SC:Laguna,0.9999932953583089,2.35,40,0.9999932953583088
Brazil.regions.SP:Hortolândia,0.9999932953583089,2.35,40,0.9999932953583088
Brazil.regions.ES:Cachoeiro de Itapemirim,0.9999932953583089,2.35,40,0.9999932953583088
Brazil.regions.MG:Boa Esperança,0.9999932953583089,2.35,40,0.9999932953583088
Brazil.regions.MT:Alta Floresta,0.9999932240323335,2.375,40,0.9999932240323334
Brazil.regions.ES:Santa Teresa,0.9999932240323335,2.375,40,0.9999932240323334
Brazil.regions.SC:Morro da Fumaça,0.9999932240323335,2.375,40,0.9999932240323334
Brazil.regions.SP:Jaguariúna,0.9999932240323335,2.375,40,0.9999932240323334
Brazil.regions.RS:Campo Bom,0.9999932240323335,2.375,40,0.9999932240323334
Brazil.regions.MG:Esmeraldas,0.999993152706358,2.4,40,0.9999931527063579
Brazil.regions.RJ:Guapimirim,0.999993152706358,2.4,40,0.9999931527063579
Brazil.regions.PA:São Geraldo do Araguaia,0.9999930813803827,2.425,40,0.9999930813803826
Brazil.regions.RS:Canguçu,0.9999930813803827,2.425,40,0.9999930813803826
Brazil.regions.ES:São Roque do Canaã,0.9999930100544072,2.45,40,0.9999930100544071
Brazil.regions.SC:Tijucas,0.9999930100544072,2.45,40,0.9999930100544071
Brazil.regions.AC:Porto Acre,0.9999930100544072,2.45,40,0.9999930100544071
Brazil.regions.SP:Matão,0.9999928674024563,2.5,40,0.9999928674024562
Brazil.regions.GO:Cidade Ocidental,0.9999928674024563,2.5,40,0.9999928674024562
Brazil.regions.SE:Nossa Senhora da Glória,0.9999928674024563,2.5,40,0.9999928674024562
Brazil.regions.SP:Cachoeira Paulista,0.9999928674024563,2.5,40,0.9999928674024562
Brazil.regions.PR:União da Vitória,0.9999928674024563,2.5,40,0.9999928674024562
Brazil.regions.PR:Verê,0.9999928674024563,2.5,40,0.9999928674024562
Brazil.regions.SP:Guararapes,0.999992796076481,2.525,40,0.9999927960764808
Brazil.regions.PA:Itaituba,0.999992796076481,2.525,40,0.9999927960764808
Brazil.regions.SP:Promissão,0.999992796076481,2.525,40,0.9999927960764808
Brazil.regions.RS:Vila Maria,0.999992796076481,2.525,40,0.9999927960764808
Brazil.regions.SC:Timbé do Sul,0.999992796076481,2.525,40,0.9999927960764808
Brazil.regions.CE:Mauriti,0.999992796076481,2.525,40,0.9999927960764808
Brazil.regions.BA:Juazeiro,0.999992796076481,2.525,40,0.9999927960764808
Brazil.regions.SP:Águas de Lindóia,0.9999927247505055,2.55,40,0.9999927247505054
Brazil.regions.RS:Dois Irmãos,0.9999927247505055,2.55,40,0.9999927247505054
Brazil.regions.MG:São João del Rei,0.99999265342453,2.575,40,0.9999926534245299
Brazil.regions.PR:Campina Grande do Sul,0.99999265342453,2.575,40,0.9999926534245299
Brazil.regions.RN:Tibau,0.9999925820985546,2.6,40,0.9999925820985545
Brazil.regions.MG:Campo Belo,0.9999925820985546,2.6,40,0.9999925820985545
Brazil.regions.RS:Dom Pedrito,0.9999925820985546,2.6,40,0.9999925820985545
Brazil.regions.RS:Santo Antônio da Patrulha,0.9999925107725791,2.625,40,0.999992510772579
Brazil.regions.BA:Catu,0.9999925107725791,2.625,40,0.999992510772579
Brazil.regions.SC:Pomerode,0.9999925107725791,2.625,40,0.999992510772579
Brazil.regions.MT:Lucas do Rio Verde,0.9999925107725791,2.625,40,0.999992510772579
