region,similarity,distance,days,is_same_cluster,score
Brazil.regions.BA:Barra,0.9999997214414627,0.1695906432748538,18,True,1.4999995821621939
Brazil.regions.RR:Mucajaí,0.9999988281330496,0.7134502923976608,18,True,1.4999982421995743
Brazil.regions.RO:Vilhena,0.9999983478597093,1.0058479532163742,18,True,1.499997521789564
Brazil.regions.MT:Vila Bela da Santíssima Trindade,0.9999983478597093,1.0058479532163742,18,True,1.499997521789564
Brazil.regions.MT:Canarana,0.9999983478597093,1.0058479532163742,18,True,1.499997521789564
Brazil.regions.PA:Monte Alegre,0.9999968878287547,1.894736842105263,18,True,1.499995331743132
Brazil.regions.PA:Pacajá,0.9999965420319498,2.1052631578947367,18,True,1.4999948130479246
Brazil.regions.MT:Tangará da Serra,0.9999952260829973,2.9064327485380117,18,True,1.4999928391244959
Brazil.regions.MT:Querência,0.9999947746260573,3.181286549707602,18,True,1.499992161939086
Brazil.regions.AM:Santo Antônio do Içá,0.9999932377513684,4.116959064327485,18,True,1.4999898566270526
Brazil.regions.AM:Nhamundá,0.999992411681223,4.619883040935672,18,True,1.4999886175218344
Brazil.regions.AM:Codajás,0.9999920370680176,4.847953216374269,18,True,1.4999880556020264
Brazil.regions.RR:Caroebe,0.9999908075682664,5.5964912280701755,18,True,1.4999862113523996
Brazil.regions.AM:São Sebastião do Uatumã,0.9999907403299988,5.637426900584796,18,True,1.4999861104949983
Brazil.regions.PA:Anapu,0.9999888672639715,6.777777777777778,18,True,1.4999833008959573
Brazil.regions.PA:Porto de Moz,0.9999880796156934,7.257309941520468,18,True,1.49998211942354
Brazil.regions.AP:Mazagão,0.9999876761860875,7.502923976608187,18,True,1.4999815142791313
Brazil.regions.AM:São Paulo de Olivença,0.9999821914645411,10.842105263157896,18,True,1.4999732871968117
Brazil.regions.AM:Juruá,0.9999765242391254,14.292397660818713,18,True,1.4999647863586882
Brazil.regions.AM:Beruri,0.9999750738136377,15.175438596491228,18,True,1.4999626107204564
Brazil.regions.MA:Balsas,0.999974910520702,15.274853801169591,18,True,1.499962365781053
Brazil.regions.AM:Maraã,0.9999664096825784,20.450292397660817,18,True,1.4999496145238678
Brazil.regions.AM:Fonte Boa,0.999965487557765,21.01169590643275,18,True,1.4999482313366475
Brazil.regions.PA:Paragominas,0.9999233099530187,46.69005847953216,18,True,1.499884964929528
Brazil.regions.PA:Prainha,0.9999969476227857,1.8583333333333334,15,True,1.235290347063441
Brazil.regions.MT:Peixoto de Azevedo,0.9999870239748914,7.9,15,True,1.2352780884395715
Brazil.regions.PA:Ourilândia do Norte,0.9999795230658624,12.466666666666667,15,True,1.235268822610771
Brazil.regions.AP:Calçoene,0.9999948533908852,3.1333333333333333,14,True,1.1470529200660153
Brazil.regions.AM:Eirunepé,0.9999804460140015,11.904761904761905,14,True,1.147036393957237
Brazil.regions.PA:Uruará,0.999996299784188,2.2527472527472527,13,True,1.058819611536199
Brazil.regions.MG:São José da Lapa,1.0,0.0,18,False,1.0
Brazil.regions.ES:Sooretama,1.0,0.0,18,False,1.0
Brazil.regions.SC:Papanduva,1.0,0.0,18,False,1.0
Brazil.regions.SP:Pratânia,1.0,0.0,18,False,1.0
Brazil.regions.PR:Floresta,1.0,0.0,18,False,1.0
Brazil.regions.MG:Vazante,1.0,0.0,18,False,1.0
Russia,1.0,0.0,18,False,1.0
Brazil.regions.BA:Cravolândia,1.0,0.0,18,False,1.0
Brazil.regions.CE:Novo Oriente,1.0,0.0,18,False,1.0
Brazil.regions.RS:Minas do Leão,1.0,0.0,18,False,1.0
Brazil.regions.RJ:Paty do Alferes,1.0,0.0,18,False,1.0
Brazil.regions.RS:São Sebastião do Caí,1.0,0.0,18,False,1.0
Brazil.regions.MS:Mundo Novo,1.0,0.0,18,False,1.0
Brazil.regions.MT:Rio Branco,1.0,0.0,18,False,1.0
Brazil.regions.SC:Rancho Queimado,1.0,0.0,18,False,1.0
Brazil.regions.SP:Tarabai,1.0,0.0,18,False,1.0
Brazil.regions.PR:Sarandi,0.9999999615781328,0.023391812865497075,18,False,0.9999999615781328
Brazil.regions.SE:Pacatuba,0.9999999615781328,0.023391812865497075,18,False,0.9999999615781328
Brazil.regions.PE:Triunfo,0.9999999615781328,0.023391812865497075,18,False,0.9999999615781328
Brazil.regions.PB:Pombal,0.9999999615781328,0.023391812865497075,18,False,0.9999999615781328
Brazil.regions.SP:Cajuru,0.9999999615781328,0.023391812865497075,18,False,0.9999999615781328
Brazil.regions.RS:Anta Gorda,0.9999999615781328,0.023391812865497075,18,False,0.9999999615781328
Brazil.regions.RS:Capão da Canoa,0.9999999615781328,0.023391812865497075,18,False,0.9999999615781328
Brazil.regions.MG:Conceição das Alagoas,0.9999999615781328,0.023391812865497075,18,False,0.9999999615781328
Brazil.regions.PR:Jataizinho,0.9999999615781328,0.023391812865497075,18,False,0.9999999615781328
Brazil.regions.SE:Propriá,0.9999999327617324,0.04093567251461988,18,False,0.9999999327617324
Brazil.regions.MS:Bataguassu,0.9999999327617324,0.04093567251461988,18,False,0.9999999327617324
Brazil.regions.MG:Borda da Mata,0.9999999327617324,0.04093567251461988,18,False,0.9999999327617324
Brazil.regions.BA:Santa Teresinha,0.9999999327617324,0.04093567251461988,18,False,0.9999999327617324
Brazil.regions.PR:Palmeira,0.9999999327617324,0.04093567251461988,18,False,0.9999999327617324
Brazil.regions.RS:Rio Grande,0.9999999327617324,0.04093567251461988,18,False,0.9999999327617324
Brazil.regions.PI:Nazária,0.9999998943398651,0.06432748538011696,18,False,0.9999998943398651
Brazil.regions.SP:José Bonifácio,0.9999998943398651,0.06432748538011696,18,False,0.9999998943398651
Brazil.regions.BA:São José da Vitória,0.9999998943398651,0.06432748538011696,18,False,0.9999998943398651
Brazil.regions.RN:Bento Fernandes,0.9999998943398651,0.06432748538011696,18,False,0.9999998943398651
Brazil.regions.PR:Marumbi,0.9999998943398651,0.06432748538011696,18,False,0.9999998943398651
Brazil.regions.SC:Jaguaruna,0.9999998943398651,0.06432748538011696,18,False,0.9999998943398651
Brazil.regions.SP:Bady Bassitt,0.9999998943398651,0.06432748538011696,18,False,0.9999998943398651
Brazil.regions.PR:Marechal Cândido Rondon,0.9999998463125311,0.0935672514619883,18,False,0.9999998463125311
Brazil.regions.PE:Tracunhaém,0.9999998463125311,0.0935672514619883,18,False,0.9999998463125311
Brazil.regions.BA:Caldeirão Grande,0.9999998463125311,0.0935672514619883,18,False,0.9999998463125311
Brazil.regions.SC:Garopaba,0.9999998463125311,0.0935672514619883,18,False,0.9999998463125311
Brazil.regions.GO:São Luís de Montes Belos,0.9999998463125311,0.0935672514619883,18,False,0.9999998463125311
Brazil.regions.BA:Luís Eduardo Magalhães,0.9999998463125311,0.0935672514619883,18,False,0.9999998463125311
Brazil.regions.PR:Imbaú,0.9999998463125311,0.0935672514619883,18,False,0.9999998463125311
Brazil.regions.MG:Itamonte,0.9999998463125311,0.0935672514619883,18,False,0.9999998463125311
Brazil.regions.MG:Ribeirão das Neves,0.9999998078906639,0.11695906432748537,18,False,0.9999998078906639
Brazil.regions.SP:Guaíra,0.9999997886797303,0.1286549707602339,18,False,0.9999997886797303
Brazil.regions.MG:Ipaba,0.9999997886797303,0.1286549707602339,18,False,0.9999997886797303
Brazil.regions.BA:Floresta Azul,0.9999997886797303,0.1286549707602339,18,False,0.9999997886797303
Brazil.regions.PR:Matinhos,0.9999997886797303,0.1286549707602339,18,False,0.9999997886797303
Brazil.regions.MG:Pirapora,0.9999997886797303,0.1286549707602339,18,False,0.9999997886797303
Brazil.regions.BA:Conceição do Coité,0.999999750257863,0.15204678362573099,18,False,0.999999750257863
Brazil.regions.SC:Biguaçu,0.9999997214414627,0.1695906432748538,18,False,0.9999997214414627
Brazil.regions.GO:Cidade Ocidental,0.9999997214414627,0.1695906432748538,18,False,0.9999997214414627
Brazil.regions.PR:Castro,0.9999997214414627,0.1695906432748538,18,False,0.9999997214414627
Brazil.regions.ES:Castelo,0.9999997214414627,0.1695906432748538,18,False,0.9999997214414627
Brazil.regions.PR:Quitandinha,0.9999997214414627,0.1695906432748538,18,False,0.9999997214414627
Brazil.regions.PR:Mandaguaçu,0.9999997214414627,0.1695906432748538,18,False,0.9999997214414627
Brazil.regions.SC:Guabiruba,0.9999997214414627,0.1695906432748538,18,False,0.9999997214414627
