region,similarity,distance,days
Brazil.regions.AM:Anori,1.0,0.0,12
Brazil.regions.BA:Campo Formoso,1.0,0.0,12
Brazil.regions.MG:Paracatu,1.0,0.0,12
Brazil.regions.MG:Unaí,1.0,0.0,12
Brazil.regions.MS:Alcinópolis,1.0,0.0,12
Brazil.regions.MS:Coxim,1.0,0.0,12
Brazil.regions.MS:Miranda,1.0,0.0,12
Brazil.regions.MS:Paraíso das Águas,1.0,0.0,12
Brazil.regions.MS:Rio Verde de Mato Grosso,1.0,0.0,12
Brazil.regions.MT:Alta Floresta,1.0,0.0,12
Brazil.regions.MT:Campo Novo do Parecis,1.0,0.0,12
Brazil.regions.MT:Canarana,1.0,0.0,12
Brazil.regions.MT:Chapada dos Guimarães,1.0,0.0,12
Brazil.regions.MT:Nova Monte Verde,1.0,0.0,12
Brazil.regions.MT:Nova Mutum,1.0,0.0,12
Brazil.regions.MT:Pontes e Lacerda,1.0,0.0,12
Brazil.regions.MT:União do Sul,1.0,0.0,12
Brazil.regions.PA:Afuá,1.0,0.0,12
Brazil.regions.PA:Anajás,1.0,0.0,12
Brazil.regions.PA:Conceição do Araguaia,1.0,0.0,12
Brazil.regions.PA:Goianésia do Pará,1.0,0.0,12
Brazil.regions.PI:Pimenteiras,1.0,0.0,12
Brazil.regions.RO:Pimenta Bueno,1.0,0.0,12
Brazil.regions.RS:Alegrete,1.0,0.0,12
Brazil.regions.RS:Dom Pedrito,1.0,0.0,12
Brazil.regions.AP:Amapá,0.9961589846359385,0.08333333333333333,12
Brazil.regions.GO:Jataí,0.9961589846359385,0.08333333333333333,12
Brazil.regions.GO:Niquelândia,0.9961589846359385,0.08333333333333333,12
Brazil.regions.MS:Paranaíba,0.9961589846359385,0.08333333333333333,12
Brazil.regions.RO:Itapuã do Oeste,0.9961589846359385,0.08333333333333333,12
Brazil.regions.MA:Bom Jardim,0.9923179692718771,0.16666666666666666,12
Brazil.regions.PA:Rondon do Pará,0.9923179692718771,0.16666666666666666,12
Brazil.regions.PI:Canto do Buriti,0.9923179692718771,0.16666666666666666,12
Brazil.regions.RR:Bonfim,0.9923179692718771,0.16666666666666666,12
Brazil.regions.RR:Cantá,0.9923179692718771,0.16666666666666666,12
Brazil.regions.AC:Mâncio Lima,0.9884769539078156,0.25,12
Brazil.regions.AM:Tonantins,0.9884769539078156,0.25,12
Brazil.regions.GO:Paraúna,0.9884769539078156,0.25,12
Brazil.regions.MT:Barra do Garças,0.9884769539078156,0.25,12
Brazil.regions.MT:Confresa,0.9884769539078156,0.25,12
Brazil.regions.RO:Governador Jorge Teixeira,0.9884769539078156,0.25,12
Brazil.regions.RS:Sant'Ana do Livramento,0.9884769539078156,0.25,12
Brazil.regions.AC:Cruzeiro do Sul,0.9846359385437542,0.3333333333333333,12
Brazil.regions.GO:Mineiros,0.9846359385437542,0.3333333333333333,12
Brazil.regions.RO:Candeias do Jamari,0.9846359385437542,0.3333333333333333,12
Brazil.regions.AM:Caapiranga,0.9769539078156313,0.5,12
