region,similarity,distance,days
Brazil.regions.MA:Godofredo Viana,1.0,0.0,1
Brazil.regions.PB:Itatuba,1.0,0.0,1
Brazil.regions.RO:Nova Mamoré,1.0,0.0,1
Brazil.regions.RS:Restinga Sêca,1.0,0.0,1
Brazil.regions.SP:Casa Branca,1.0,0.0,1
Brazil.regions.SP:Severínia,1.0,0.0,1
Brazil.regions.SP:Tambaú,1.0,0.0,1
Brazil.regions.PR:Colorado,0.9999813321991968,0.25,4
Brazil.regions.TO:Pugmil,0.9999813321991968,0.25,4
Brazil.regions.CE:Alto Santo,0.9999751095989291,0.3333333333333333,6
Brazil.regions.RS:Porto Alegre,0.9999751095989291,0.3333333333333333,6
Brazil.regions.SC:Sombrio,0.9999751095989291,0.3333333333333333,6
Brazil.regions.MG:Estrela Dalva,0.9999751095989291,0.3333333333333333,3
Brazil.regions.TO:Xambioá,0.9999751095989291,0.3333333333333333,3
Brazil.regions.MA:Timbiras,0.9999701315187148,0.4,5
Brazil.regions.MG:Mantena,0.9999701315187148,0.4,5
Brazil.regions.MG:Piranguçu,0.9999701315187148,0.4,5
Brazil.regions.MS:Bela Vista,0.9999701315187148,0.4,5
Brazil.regions.PB:Sertãozinho,0.9999701315187148,0.4,5
Brazil.regions.PR:Realeza,0.9999701315187148,0.4,5
Brazil.regions.RJ:Natividade,0.9999701315187148,0.4,5
Brazil.regions.SP:Guaiçara,0.9999701315187148,0.4,5
Brazil.regions.SP:Presidente Bernardes,0.9999701315187148,0.4,5
Brazil.regions.AC:Sena Madureira,0.9999626643983935,0.5,6
Brazil.regions.AM:Fonte Boa,0.9999626643983935,0.5,6
Brazil.regions.CE:Cariré,0.9999626643983935,0.5,6
Brazil.regions.ES:Rio Bananal,0.9999626643983935,0.5,6
Brazil.regions.MA:Buritirana,0.9999626643983935,0.5,6
Brazil.regions.PA:Ananindeua,0.9999626643983935,0.5,6
Brazil.regions.PB:Juazeirinho,0.9999626643983935,0.5,6
Brazil.regions.PE:Cachoeirinha,0.9999626643983935,0.5,6
Brazil.regions.PR:Balsa Nova,0.9999626643983935,0.5,6
Brazil.regions.RJ:Cabo Frio,0.9999626643983935,0.5,6
Brazil.regions.RR:Amajari,0.9999626643983935,0.5,6
Brazil.regions.RS:Boa Vista do Sul,0.9999626643983935,0.5,6
Brazil.regions.MA:Buriti Bravo,0.9999626643983935,0.5,4
