region,similarity,distance,days
Brazil.regions.SC:Guabiruba,0.9779353821907013,0.2222222222222222,9
Brazil.regions.AL:Boca da Mata,0.966903073286052,0.3333333333333333,9
Brazil.regions.AL:Coqueiro Seco,0.966903073286052,0.3333333333333333,9
Brazil.regions.BA:Amélia Rodrigues,0.966903073286052,0.3333333333333333,9
Brazil.regions.BA:Gandu,0.966903073286052,0.3333333333333333,9
Brazil.regions.BA:São Francisco do Conde,0.966903073286052,0.3333333333333333,9
Brazil.regions.BA:Vera Cruz,0.966903073286052,0.3333333333333333,9
Brazil.regions.GO:Nerópolis,0.966903073286052,0.3333333333333333,9
Brazil.regions.MG:Extrema,0.966903073286052,0.3333333333333333,9
Brazil.regions.MG:Manhuaçu,0.966903073286052,0.3333333333333333,9
Brazil.regions.MG:Matozinhos,0.966903073286052,0.3333333333333333,9
Brazil.regions.PB:Caaporã,0.966903073286052,0.3333333333333333,9
Brazil.regions.PB:São Bento,0.966903073286052,0.3333333333333333,9
Brazil.regions.PE:Jupi,0.966903073286052,0.3333333333333333,9
Brazil.regions.PE:Santa Maria do Cambucá,0.966903073286052,0.3333333333333333,9
Brazil.regions.PR:Rolândia,0.966903073286052,0.3333333333333333,9
Brazil.regions.RN:Montanhas,0.966903073286052,0.3333333333333333,9
Brazil.regions.RN:São José de Mipibu,0.966903073286052,0.3333333333333333,9
Brazil.regions.SC:Balneário Arroio do Silva,0.966903073286052,0.3333333333333333,9
Brazil.regions.SC:Forquilhinha,0.966903073286052,0.3333333333333333,9
Brazil.regions.SC:Laguna,0.966903073286052,0.3333333333333333,9
Brazil.regions.SC:Tijucas,0.966903073286052,0.3333333333333333,9
Brazil.regions.SC:Videira,0.966903073286052,0.3333333333333333,9
Brazil.regions.SP:Araçariguama,0.966903073286052,0.3333333333333333,9
Brazil.regions.SP:Estiva Gerbi,0.966903073286052,0.3333333333333333,9
Brazil.regions.SP:Itapira,0.966903073286052,0.3333333333333333,9
Brazil.regions.SP:Serra Negra,0.966903073286052,0.3333333333333333,9
Brazil.regions.AL:Paripueira,0.9558707643814027,0.4444444444444444,9
Brazil.regions.BA:Teixeira de Freitas,0.9558707643814027,0.4444444444444444,9
Brazil.regions.ES:Venda Nova do Imigrante,0.9558707643814027,0.4444444444444444,9
Brazil.regions.MA:Pedreiras,0.9558707643814027,0.4444444444444444,9
Brazil.regions.MG:Cataguases,0.9558707643814027,0.4444444444444444,9
Brazil.regions.PE:Aliança,0.9558707643814027,0.4444444444444444,9
Brazil.regions.PR:Pato Branco,0.9558707643814027,0.4444444444444444,9
Brazil.regions.RN:São Miguel,0.9558707643814027,0.4444444444444444,9
Brazil.regions.RS:Feliz,0.9558707643814027,0.4444444444444444,9
Brazil.regions.RS:Santa Rosa,0.9558707643814027,0.4444444444444444,9
Brazil.regions.SC:Sangão,0.9558707643814027,0.4444444444444444,9
Brazil.regions.SP:Conchal,0.9558707643814027,0.4444444444444444,9
Brazil.regions.SP:Jarinu,0.9558707643814027,0.4444444444444444,9
Brazil.regions.SP:Orlândia,0.9558707643814027,0.4444444444444444,9
Cape_Verde,0.9558707643814027,0.4444444444444444,9
Brazil.regions.PB:Alagoinha,0.9448384554767534,0.5555555555555556,9
Brazil.regions.PE:Vicência,0.9448384554767534,0.5555555555555556,9
Brazil.regions.PI:Picos,0.9448384554767534,0.5555555555555556,9
Brazil.regions.RS:Montenegro,0.9448384554767534,0.5555555555555556,9
Brazil.regions.AL:Pilar,0.933806146572104,0.6666666666666666,9
Brazil.regions.BA:Serrinha,0.933806146572104,0.6666666666666666,9
Brazil.regions.BA:Ubatã,0.933806146572104,0.6666666666666666,9
Brazil.regions.CE:São Benedito,0.933806146572104,0.6666666666666666,9
Brazil.regions.MG:Ouro Branco,0.933806146572104,0.6666666666666666,9
Brazil.regions.PR:Medianeira,0.933806146572104,0.6666666666666666,9
Brazil.regions.RN:Canguaretama,0.933806146572104,0.6666666666666666,9
Brazil.regions.SP:Lins,0.933806146572104,0.6666666666666666,9
Brazil.regions.SP:Pontal,0.933806146572104,0.6666666666666666,9
Brazil.regions.PB:Pitimbu,0.9227738376674547,0.7777777777777778,9
Brazil.regions.SP:Guariba,0.9117415287628053,0.8888888888888888,9
Brazil.regions.SP:Monte Alto,0.9117415287628053,0.8888888888888888,9
Brazil.regions.SP:Santo Antônio de Posse,0.9117415287628053,0.8888888888888888,9
Brazil.regions.TO:Palmas,0.9117415287628053,0.8888888888888888,9
Brazil.regions.PB:Conde,0.900709219858156,1.0,9
Brazil.regions.PB:Lucena,0.900709219858156,1.0,9
Brazil.regions.PB:Mari,0.8896769109535066,1.1111111111111112,9
Brazil.regions.RN:Mossoró,0.8124507486209613,1.8888888888888888,9
Brazil.regions.AL:Teotônio Vilela,0.801418439716312,2.0,9
Isle_of_Man,0.6690307328605201,3.3333333333333335,9
Brazil.regions.RN:Goianinha,0.9432624113475178,0.5714285714285714,7
Brazil.regions.PB:Juripiranga,0.851063829787234,1.5,6
Brazil.regions.PB:Sertãozinho,0.9404255319148936,0.6,5
Brazil.regions.BA:Santo Estêvão,1.0,0.0,3
Brazil.regions.PR:Pontal do Paraná,0.933806146572104,0.6666666666666666,3
Brazil.regions.PB:Duas Estradas,1.0,0.0,2
Brazil.regions.SC:Maravilha,1.0,0.0,2
