region,similarity,distance,days,score
Brazil.regions.SC:Palhoça,0.9999927994729559,2.5238095238095237,21,0.9999927994729559
Brazil.regions.SC:São José,0.9999922560369526,2.7142857142857144,21,0.9999922560369526
Brazil.regions.MS:Três Lagoas,0.9999921201779518,2.761904761904762,21,0.9999921201779518
Brazil.regions.PE:Nazaré da Mata,0.999991984318951,2.8095238095238093,21,0.999991984318951
Brazil.regions.MG:Pouso Alegre,0.99999184845995,2.857142857142857,21,0.99999184845995
Brazil.regions.MA:Rosário,0.9999913050239467,3.0476190476190474,21,0.9999913050239467
Brazil.regions.PR:São José dos Pinhais,0.9999910333059451,3.142857142857143,21,0.9999910333059451
Brazil.regions.SP:Piracicaba,0.9999910333059451,3.142857142857143,21,0.9999910333059451
Brazil.regions.PB:Cajazeiras,0.9999910333059451,3.142857142857143,21,0.9999910333059451
Brazil.regions.TO,0.9999904898699418,3.3333333333333335,21,0.9999904898699418
Brazil.regions.SP:Barretos,0.9999902181519401,3.4285714285714284,21,0.9999902181519401
Brazil.regions.SP:Lins,0.9999902181519401,3.4285714285714284,21,0.9999902181519401
Brazil.regions.RJ:Paracambi,0.9999900822929393,3.4761904761904763,21,0.9999900822929393
Angola,0.9999899464339385,3.5238095238095237,21,0.9999899464339385
Brazil.regions.PB:Conde,0.9999898105749376,3.5714285714285716,21,0.9999898105749376
Brazil.regions.SP:Piraju,0.9999898105749376,3.5714285714285716,21,0.9999898105749376
Brazil.regions.SP:Várzea Paulista,0.9999898105749376,3.5714285714285716,21,0.9999898105749376
Brazil.regions.SP:Biritiba-Mirim,0.9999896747159368,3.619047619047619,21,0.9999896747159368
Brazil.regions.PR:Santo Antônio do Caiuá,0.9999896747159368,3.619047619047619,21,0.9999896747159368
Equatorial_Guinea,0.9999896747159368,3.619047619047619,21,0.9999896747159368
Brazil.regions.AC:Plácido de Castro,0.9999896747159368,3.619047619047619,21,0.9999896747159368
Brazil.regions.SE:Aracaju,0.9999894029979352,3.7142857142857144,21,0.9999894029979352
Brazil.regions.RO:Porto Velho,0.9999892671389343,3.761904761904762,21,0.9999892671389343
Brazil.regions.SP:Ourinhos,0.9999891312799335,3.8095238095238093,21,0.9999891312799335
Brazil.regions.MA:Anajatuba,0.9999891312799335,3.8095238095238093,21,0.9999891312799335
Brazil.regions.PR:Campo Mourão,0.9999891312799335,3.8095238095238093,21,0.9999891312799335
Malaysia,0.9999889954209327,3.857142857142857,21,0.9999889954209327
Brazil.regions.MG:Contagem,0.9999889954209327,3.857142857142857,21,0.9999889954209327
Brazil.regions.RS:Carazinho,0.9999889954209327,3.857142857142857,21,0.9999889954209327
Brazil.regions.CE:Pacajus,0.9999889954209327,3.857142857142857,21,0.9999889954209327
Brazil.regions.BA:Lauro de Freitas,0.9999889954209327,3.857142857142857,21,0.9999889954209327
Brazil.regions.RJ:Araruama,0.9999888595619318,3.9047619047619047,21,0.9999888595619318
Brazil.regions.SC:Vargem Bonita,0.9999888595619318,3.9047619047619047,21,0.9999888595619318
Syria,0.9999888595619318,3.9047619047619047,21,0.9999888595619318
Mozambique,0.999988723702931,3.9523809523809526,21,0.999988723702931
United_Republic_of_Tanzania,0.9999885878439301,4.0,21,0.9999885878439301
Laos,0.9999885878439301,4.0,21,0.9999885878439301
Brazil.regions.AM:Itacoatiara,0.9999885878439301,4.0,21,0.9999885878439301
Botswana,0.9999885878439301,4.0,21,0.9999885878439301
Brazil.regions.PR:Amaporã,0.9999885878439301,4.0,21,0.9999885878439301
Brazil.regions.CE:Russas,0.9999884519849292,4.0476190476190474,21,0.9999884519849292
Brazil.regions.MT:Sinop,0.9999883161259284,4.095238095238095,21,0.9999883161259284
Brazil.regions.SC:Tubarão,0.9999883161259284,4.095238095238095,21,0.9999883161259284
Brazil.regions.RJ:Queimados,0.9999881802669276,4.142857142857143,21,0.9999881802669276
Brazil.regions.RR:Pacaraima,0.9999881802669276,4.142857142857143,21,0.9999881802669276
Brazil.regions.PI:União,0.9999880444079268,4.190476190476191,21,0.9999880444079268
Brazil.regions.BA:Vitória da Conquista,0.9999880444079268,4.190476190476191,21,0.9999880444079268
Vietnam,0.9999880444079268,4.190476190476191,21,0.9999880444079268
Brazil.regions.AM:São Paulo de Olivença,0.9999880444079268,4.190476190476191,21,0.9999880444079268
Brazil.regions.SC:Braço do Norte,0.9999880444079268,4.190476190476191,21,0.9999880444079268
Brazil.regions.RS:Arroio do Meio,0.9999879085489259,4.238095238095238,21,0.9999879085489259
Brazil.regions.RO,0.9999879085489259,4.238095238095238,21,0.9999879085489259
