region,cases_distance,deaths_distance,cases_per_100k_distance,deaths_per_100k_distance,is_same_cluster
Brazil.regions.BA:Bom Jesus da Lapa,2.0,0.0,3.2990624565497066,0.0,False
Brazil.regions.GO:Padre Bernardo,2.6666666666666665,0.0,1.4945131076455307,0.0,False
Brazil.regions.MA:Parnarama,3.0,0.0,10.419561862064588,0.0,False
Brazil.regions.MG:Diamantina,0.9333333333333332,0.0,5.827612818742776,0.0,False
Brazil.regions.RS:São Borja,3.0444444444444443,0.6666666666666666,1.2827624274356004,0.6929718792011419,False
Brazil.regions.AL:Olho d'Água do Casado,0.0,0.0,9.629484888975947,0.0,False
Brazil.regions.BA:Ponto Novo,2.9333333333333336,0.0,6.532270564821484,0.0,False
Brazil.regions.CE:Piquet Carneiro,1.3333333333333333,0.0,3.4711725132494493,0.0,False
Brazil.regions.ES:São Domingos do Norte,0.0,0.0,10.537296059410835,0.0,False
Brazil.regions.MA:Lago Verde,1.9333333333333336,0.0,11.760278829889145,0.0,False
Brazil.regions.MA:Nina Rodrigues,2.466666666666667,0.0,13.806421927179017,0.0,False
Brazil.regions.MG:Cruzília,4.642857142857142,0.4642857142857143,1.3542742904844935,0.48260541587222383,False
Brazil.regions.MG:Inhapim,4.190476190476191,0.2857142857142857,1.7433791293998666,0.2969879482290608,False
Brazil.regions.MG:Itaipé,3.2,0.0,3.471267756644091,0.0,False
Brazil.regions.MG:Lagoa Dourada,0.0,0.0,6.64752811401403,0.0,False
Brazil.regions.MG:Malacacheta,3.466666666666667,0.0,0.7190187042585148,0.0,False
Brazil.regions.PB:Cuité,4.944444444444445,0.5833333333333334,1.677345395807858,0.6063503943009992,False
Brazil.regions.PB:Lastro,3.2,0.0,32.17063083293635,0.0,False
Brazil.regions.PB:Picuí,4.642857142857142,0.4642857142857143,1.2728735459574143,0.48260541587222383,False
Brazil.regions.PR:Anahy,0.0,0.0,34.66207734721043,0.0,False
Brazil.regions.PR:Cruzeiro do Iguaçu,1.0,0.0,44.61128703991736,0.0,False
Brazil.regions.PR:São João,3.466666666666667,0.0,5.121759828159106,0.0,False
Brazil.regions.RN:Caiçara do Norte,2.6666666666666665,0.0,26.91406911887543,0.0,False
Brazil.regions.RN:Rodolfo Fernandes,3.466666666666667,0.0,17.743477484794482,0.0,False
Brazil.regions.RS:São Jerônimo,3.466666666666667,0.0,1.1983200788686588,0.0,False
Brazil.regions.SC:Ipuaçu,1.3333333333333333,0.0,27.24179990439017,0.0,False
Brazil.regions.SE:Itabi,0.0,0.0,19.356218297861556,0.0,False
Brazil.regions.SE:Nossa Senhora Aparecida,2.6666666666666665,0.0,7.557458666212726,0.0,False
Brazil.regions.SP:Mendonça,2.6666666666666665,0.0,33.001289987980165,0.0,False
Brazil.regions.SP:Trabiju,2.6666666666666665,0.0,54.193295035623414,0.0,False
