region,similarity,distance,days,is_same_cluster,score
Brazil.regions.CE:Horizonte,0.999886680613676,68.99055330634278,38,True,1.4998300209205144
Brazil.regions.RN:São Gonçalo do Amarante,0.9998574186673739,86.80566801619433,38,True,1.4997861280010611
Brazil.regions.PR:Foz do Iguaçu,0.9998407162383618,96.97435897435898,38,True,1.4997610743575431
Brazil.regions.SP:Catanduva,0.9998366841589494,99.42914979757084,38,True,1.4997550262384245
Brazil.regions.GO:Anápolis,0.9998231360174602,107.67746288798921,38,True,1.4997347040261906
Brazil.regions.SP:Rio Claro,0.9998196891326409,109.77597840755736,38,True,1.4997295336989616
Brazil.regions.SP:Jaguariúna,0.9997975758702887,123.23886639676114,38,True,1.4996963638054335
Brazil.regions.SP:Presidente Prudente,0.9998612537049132,84.47083926031294,37,True,1.45925696486663
Brazil.regions.PE:São Lourenço da Mata,0.9999681401443677,19.39676113360324,38,False,0.999968140144368
Brazil.regions.MA:Paço do Lumiar,0.9999640548654468,21.883940620782727,38,False,0.999964054865447
Brazil.regions.RJ:São Gonçalo,0.9999596836391679,24.545209176788124,38,False,0.9999596836391681
Brazil.regions.SP:Franco da Rocha,0.9999542661558891,27.843454790823213,38,False,0.9999542661558893
Brazil.regions.PE:Igarassu,0.9999527544031902,28.763832658569502,38,False,0.9999527544031904
Brazil.regions.SP:Praia Grande,0.9999527344533745,28.775978407557353,38,False,0.9999527344533747
Brazil.regions.RJ:Niterói,0.999951989660256,29.229419703103915,38,False,0.9999519896602562
Brazil.regions.RJ:Belford Roxo,0.9999515707141269,29.48448043184885,38,False,0.9999515707141271
Brazil.regions.CE:Maracanaú,0.999951309149877,29.643724696356276,38,False,0.9999513091498772
Brazil.regions.PE:Cabo de Santo Agostinho,0.9999508192710698,29.941970310391362,38,False,0.99995081927107
Brazil.regions.SP:Taboão da Serra,0.999947640600439,31.87719298245614,38,False,0.9999476406004392
Brazil.regions.SP:Itaquaquecetuba,0.9999470775723077,32.2199730094467,38,False,0.9999470775723079
Sweden.regions.Norrbotten,0.9999454705038229,33.19838056680162,38,False,0.9999454705038231
Sweden.regions.Halland,0.9999441759824502,33.986504723346826,38,False,0.9999441759824504
Sierra_Leone,0.9999440119506324,34.0863697705803,38,False,0.9999440119506326
Brazil.regions.SP:Itapevi,0.9999437947193062,34.21862348178138,38,False,0.9999437947193064
Myanmar,0.9999431718417279,34.59784075573549,38,False,0.9999431718417281
Brazil.regions.MS,0.999941921653279,35.35897435897436,38,False,0.9999419216532792
Brazil.regions.GO:Goiânia,0.9999413963081328,35.67881241565452,38,False,0.9999413963081331
Brazil.regions.AC,0.9999402746851627,36.361673414304995,38,False,0.9999402746851629
Brazil.regions.BA:Ilhéus,0.999940230352239,36.388663967611336,38,False,0.9999402303522392
Brazil.regions.RJ:Mesquita,0.9999388515983112,37.228070175438596,38,False,0.9999388515983114
Brazil.regions.RN:Natal,0.9999382265040868,37.608636977058026,38,False,0.999938226504087
Brazil.regions.SP:Itapecerica da Serra,0.9999382242874406,37.609986504723345,38,False,0.9999382242874408
Brazil.regions.PB:Santa Rita,0.9999378186411886,37.85695006747638,38,False,0.9999378186411888
