region,similarity,distance,days,is_same_cluster,score
Brazil.regions.SE:Itaporanga d'Ajuda,0.9998840361658491,0.8851063829787233,27,False,0.9998840361658491
Brazil.regions.CE:Acarape,0.9998740008340475,0.9617021276595743,27,False,0.9998740008340475
Brazil.regions.SP:Pindamonhangaba,0.9998489125045438,1.1531914893617021,27,False,0.9998489125045438
Brazil.regions.SP:Itatiba,0.9998394346911756,1.225531914893617,27,False,0.9998394346911756
Brazil.regions.SP:São Manuel,0.9998388771727422,1.229787234042553,27,False,0.9998388771727422
Brazil.regions.SP:Mineiros do Tietê,0.9998288418409408,1.306382978723404,27,False,0.9998288418409408
Brazil.regions.PB:Patos,0.9998275409645961,1.3163120567375886,27,False,0.9998275409645961
Brazil.regions.SP:Cruzeiro,0.9998251250513847,1.3347517730496454,27,False,0.9998251250513847
Brazil.regions.RN:Encanto,0.9998188065091392,1.382978723404255,27,False,0.9998188065091392
Brazil.regions.MT:Cáceres,0.9998182489907058,1.3872340425531915,27,False,0.9998182489907058
Brazil.regions.MA:Cururupu,0.9998175056327946,1.3929078014184393,27,True,0.9998175056327946
Brazil.regions.SC:Gravatal,0.9998137888432385,1.4212765957446807,27,False,0.9998137888432385
Brazil.regions.CE:Jaguaruana,0.999811372930027,1.4397163120567373,27,False,0.999811372930027
Brazil.regions.SP:Cravinhos,0.9998106295721157,1.4453900709219858,27,False,0.9998106295721157
Brazil.regions.SP:Agudos,0.9998087711773377,1.4595744680851064,27,False,0.9998087711773377
Brazil.regions.PR:Tamboara,0.9998087711773377,1.4595744680851064,27,True,0.9998087711773377
Brazil.regions.RN:São Rafael,0.9998043110298703,1.4936170212765956,27,False,0.9998043110298703
Brazil.regions.PA:Canaã dos Carajás,0.9997992933639696,1.531914893617021,27,False,0.9997992933639696
Brazil.regions.AM:Parintins,0.9997987358455361,1.536170212765957,27,True,0.9997987358455361
Brazil.regions.RJ:Paraty,0.9997987358455361,1.5361702127659576,27,False,0.9997987358455361
Brazil.regions.MG:Montes Claros,0.9997942756980688,1.5702127659574467,27,False,0.9997942756980688
Nicaragua,0.9997887005137347,1.6127659574468085,27,False,0.9997887005137347
Brazil.regions.CE:São Luís do Curu,0.9997887005137347,1.6127659574468083,27,False,0.9997887005137347
Brazil.regions.ES:São Mateus,0.9997887005137347,1.6127659574468083,27,False,0.9997887005137347
Brazil.regions.PE:Araçoiaba,0.9997881429953013,1.6170212765957448,27,False,0.9997881429953013
Brazil.regions.RN:Ceará-Mirim,0.9997849837241786,1.6411347517730495,27,False,0.9997849837241786
Brazil.regions.BA:Itapetinga,0.9997842403662673,1.6468085106382975,27,False,0.9997842403662673
Brazil.regions.MG:Araxá,0.9997799660582778,1.6794326241134752,27,False,0.9997799660582778
Brazil.regions.PA:Cametá,0.9997792227003666,1.6851063829787232,27,False,0.9997792227003666
