region,cases_distance,deaths_distance,cases_per_100k_distance,deaths_per_100k_distance,is_same_cluster
Brazil.regions.BA:Barreiras,22.857411587659893,0.0,52.98689929190216,0.0,False
Brazil.regions.BA:Bom Jesus da Lapa,2.0,0.0,2.090571528582846,0.0,False
Brazil.regions.BA:Campo Alegre de Lourdes,13.81887486855941,0.0,25.777868010345887,0.0,False
Brazil.regions.BA:Campo Formoso,22.857411587659893,0.0,52.22586244389478,0.0,False
Brazil.regions.GO:Formosa,19.055304740406317,0.0,49.60095865203854,0.0,False
Brazil.regions.GO:Jataí,20.684725357411587,0.0,50.48529068888807,0.0,False
Brazil.regions.GO:Minaçu,1.8291347207009858,0.0,3.4348474344449027,0.0,False
Brazil.regions.GO:Padre Bernardo,0.0,0.0,0.7075706857716955,0.0,False
Brazil.regions.GO:Quirinópolis,1.0357142857142856,0.0,2.6414143445278233,0.0,False
Brazil.regions.MA:Arame,3.80065717415115,0.0,14.340104395780292,0.0,False
Brazil.regions.MA:Açailândia,14.283295711060948,0.0,45.11575061746821,0.0,False
Brazil.regions.MA:Parnarama,3.0,0.0,9.211070934097728,0.0,False
Brazil.regions.MA:Tuntum,10.545522949586154,0.0,22.893326950265973,0.0,False
Brazil.regions.MG:Diamantina,3.266666666666667,0.0,6.6620295667963605,0.0,False
Brazil.regions.MG:Três Marias,17.689274447949526,0.0,38.95912981380146,0.0,False
Brazil.regions.MG:Unaí,22.259217456734387,0.0,51.73614981797392,0.0,False
Brazil.regions.MS:Naviraí,22.857411587659893,0.0,51.80801463764535,0.0,False
Brazil.regions.MS:Nova Andradina,14.662528216704288,0.0,36.12054241553098,0.0,False
Brazil.regions.MS:Ponta Porã,22.857411587659893,0.0,52.549461184591514,0.0,False
Brazil.regions.MS:Sidrolândia,22.857411587659893,0.0,51.89608431331672,0.0,False
Brazil.regions.MT:Primavera do Leste,16.617757712565837,0.0,41.95695468740673,0.0,False
Brazil.regions.MT:Sorriso,12.117647058823529,0.0,7.027802723597323,0.0,False
Brazil.regions.PA:Ipixuna do Pará,7.251184834123223,0.0,8.973766399480642,0.0,False
Brazil.regions.PA:Muaná,17.370579382994734,0.0,37.58775818287663,0.0,False
Brazil.regions.PA:Ulianópolis,18.628083491461098,0.0,28.32954310456796,0.0,False
Brazil.regions.PI:Floriano,4.632886040456639,0.0,15.949076295446956,0.0,False
Brazil.regions.RS:Alegrete,22.857411587659893,0.0,52.27133973116785,0.0,False
Brazil.regions.RS:Caçapava do Sul,5.8921161825726145,0.0,12.597394108597294,0.0,False
Brazil.regions.RS:Itaqui,1.7454545454545454,0.0,3.483646965966956,0.0,False
Brazil.regions.RS:Sant'Ana do Livramento,17.736267870579383,0.0,45.562352295920434,0.0,False
Brazil.regions.RS:São Borja,0.7333333333333333,0.0,2.329208991805097,0.0,False
Brazil.regions.RS:São Gabriel,22.857411587659893,0.0,52.02006216531569,0.0,False
Brazil.regions.RS:Uruguaiana,20.942437923250562,0.0,51.3344413114648,0.0,False
United_States_of_America.regions.California:Del Norte,21.452595936794584,0.0,45.18432916158314,0.0,False
United_States_of_America.regions.California:Humboldt,22.682468021068473,0.0,52.76349246198285,0.0,False
United_States_of_America.regions.California:Mendocino,20.127915726109855,0.0,49.331058245210144,0.0,False
United_States_of_America.regions.Colorado:Fremont,15.063957863054927,0.0,35.24888911068679,0.0,False
United_States_of_America.regions.Colorado:La Plata,17.55831452219714,0.0,20.052646155821137,0.0,False
United_States_of_America.regions.Colorado:Mesa,3.3088788562829192,0.0,39.917297125428156,0.0,False
United_States_of_America.regions.Hawaii:Hawaii,2.8197893152746425,0.0,40.55608202026498,0.0,False
United_States_of_America.regions.Idaho:Jefferson,19.95221971407073,0.0,40.779899464713964,0.0,False
United_States_of_America.regions.Kansas:Butler,17.9627539503386,0.0,44.820539570143396,0.0,False
United_States_of_America.regions.Kansas:Ford,16.899924755455228,0.0,41.292773781217605,0.0,False
United_States_of_America.regions.Maine:Hancock,16.64484574868322,0.0,40.503044373592914,0.0,False
United_States_of_America.regions.Maine:Oxford,13.638073739653874,0.0,35.36031560250999,0.0,False
United_States_of_America.regions.Maine:Penobscot,2.8333333333333335,0.0,36.28049270814416,0.0,False
United_States_of_America.regions.Minnesota:Becker,12.239277652370202,0.0,19.977054830480864,0.0,False
United_States_of_America.regions.Minnesota:Morrison,8.395754055677948,0.0,8.385731916190272,0.0,False
United_States_of_America.regions.Minnesota:Otter Tail,18.51956358164033,0.0,44.543921103086575,0.0,False
United_States_of_America.regions.Montana:Gallatin,65.0451467268623,0.0,24.841142490356617,0.0,False
United_States_of_America.regions.Nevada:Lyon,11.858540255831452,0.0,32.766264680581166,0.0,False
United_States_of_America.regions.New Mexico:Curry,15.30474040632054,0.0,36.0690747581145,0.0,False
United_States_of_America.regions.New York:Franklin,13.369450714823174,0.0,32.27110848968514,0.0,False
United_States_of_America.regions.North Dakota:Grand Forks,100.87547027840482,0.0,130.26080216138539,0.0,False
United_States_of_America.regions.North Dakota:Ward,12.90443942814146,0.0,37.437438019075344,0.0,False
United_States_of_America.regions.Oklahoma:Le Flore,18.047404063205416,0.0,41.97595985154661,0.0,False
United_States_of_America.regions.Oregon:Coos,4.311512415349887,0.0,22.88868748801004,0.0,False
United_States_of_America.regions.Oregon:Umatilla,18.044394281414597,0.0,46.14963450238622,0.0,False
United_States_of_America.regions.South Dakota:Pennington,15.643340857787809,0.0,46.3114623451217,0.0,False
United_States_of_America.regions.Texas:Maverick,13.722723852520692,0.0,36.294598579752375,0.0,False
United_States_of_America.regions.Washington:Clallam,13.74191121143717,0.0,40.33775758275613,0.0,False
United_States_of_America.regions.Washington:Grays Harbor,19.627539503386004,0.0,47.99499236742817,0.0,False
United_States_of_America.regions.West Virginia:Randolph,20.08653122648608,0.0,40.75584482188408,0.0,False
United_States_of_America.regions.Wisconsin:Douglas,17.31941309255079,0.0,38.56259470832216,0.0,False
United_States_of_America.regions.Wisconsin:Oneida,18.414973664409327,0.0,38.56540952193731,0.0,False
Brazil.regions.AL:Canapi,3.0690537084398977,0.0,4.48257032400896,0.0,False
Brazil.regions.AL:Maravilha,1.0666666666666667,0.0,15.51090359611408,0.0,False
Brazil.regions.AL:Olho d'Água do Casado,0.0,0.0,8.420993961009087,0.0,False
Brazil.regions.BA:Aiquara,21.824680210684726,0.0,13.987640869451656,0.0,False
