region,cases_distance,deaths_distance,cases_per_100k_distance,deaths_per_100k_distance,is_same_cluster
Brazil.regions.PE:Jaboatão dos Guararapes,0.9523809523809524,0.0,15.509437107250708,0.0,False
Brazil.regions.RS:Canoas,3.666666666666667,0.0,14.172923101630971,0.0,False
United_States_of_America.regions.Virginia:Manassas Park city,0.7142857142857143,0.0,8.451590873602854,0.0,False
Brazil.regions.MG:Belo Horizonte,16.809523809523807,0.0,15.062802735729417,0.0,False
Brazil.regions.PE:Recife,5.857142857142857,0.0,15.330350559392375,0.0,False
Armenia,1.0,0.0,15.773899517058975,0.0,False
Brazil.regions.AL,1.0,0.0,15.777813595833825,0.0,False
Brazil.regions.SE,3.238095238095238,0.0,15.592334368674058,0.0,False
Moldova,2.0952380952380953,0.0,15.708399936491782,0.0,False
Slovenia,10.666666666666668,0.0,15.19969002996198,0.0,False
United_States_of_America.regions.California:Riverside,2.4285714285714284,0.0,15.640087484964425,0.0,False
United_States_of_America.regions.Nevada:Clark,0.2857142857142857,0.0,15.732148787062512,0.0,False
Brazil.regions.PB:João Pessoa,1.0,0.0,15.684170324029727,0.0,False
Brazil.regions.RJ:Niterói,1.0,0.0,15.613067310913909,0.0,False
Brazil.regions.AC:Cruzeiro do Sul,0.0,0.0,13.544719582735349,0.0,False
Brazil.regions.AM:Itacoatiara,1.7142857142857142,0.0,12.142496517955282,0.0,False
Brazil.regions.AM:Manacapuru,1.619047619047619,0.0,12.091245166260292,0.0,False
Brazil.regions.BA:Barreiras,1.0,0.0,15.164438238773894,0.0,False
Brazil.regions.BA:Bom Jesus da Lapa,1.0,0.0,11.469257151142415,0.0,False
Brazil.regions.BA:Campo Alegre de Lourdes,0.33333333333333337,0.0,8.036073703682396,0.0,False
Brazil.regions.BA:Campo Formoso,1.0,0.0,14.40340139076651,0.0,False
Brazil.regions.CE:Tauá,2.0,0.0,9.01187535544268,0.0,False
Brazil.regions.GO:Formosa,1.0,0.0,13.419326877013166,0.0,False
Brazil.regions.GO:Jataí,1.0,0.0,14.816520314224054,0.0,False
Brazil.regions.GO:Minaçu,1.0,0.0,12.367804946273678,0.0,False
Brazil.regions.GO:Padre Bernardo,1.0,0.0,12.852257993953565,0.0,False
Brazil.regions.GO:Quirinópolis,1.0,0.0,13.81037405088213,0.0,False
Brazil.regions.MA:Arame,1.0,0.0,12.749766968098069,0.0,False
Brazil.regions.MA:Açailândia,1.0,0.0,14.918453757144375,0.0,False
Brazil.regions.MA:Parnarama,2.0,0.0,4.348757745627534,0.0,False
Brazil.regions.MA:Santa Luzia,0.2857142857142857,0.0,13.448679466916976,0.0,False
Brazil.regions.MA:Tuntum,1.0,0.0,13.417262987786627,0.0,False
Brazil.regions.MG:Diamantina,3.266666666666667,0.0,5.610039089283965,0.0,False
Brazil.regions.MG:Paracatu,1.0,0.0,14.734332311742552,0.0,False
Brazil.regions.MG:Três Marias,1.0,0.0,12.717160539363164,0.0,False
Brazil.regions.MG:Unaí,1.0,0.0,14.622634379728089,0.0,False
Brazil.regions.MS:Naviraí,1.0,0.0,13.985553584517088,0.0,False
Brazil.regions.MS:Nova Andradina,0.5238095238095238,0.0,11.166203284790953,0.0,False
Brazil.regions.MS:Ponta Porã,1.0,0.0,14.727000131463251,0.0,False
Brazil.regions.MS:Sidrolândia,1.0,0.0,14.073623260188453,0.0,False
Brazil.regions.MS:Três Lagoas,1.0,0.0,14.1209393143089,0.0,False
Brazil.regions.MT:Primavera do Leste,1.0,0.0,14.19536832605687,0.0,False
Brazil.regions.MT:Sorriso,6.0,0.0,6.949694979891463,0.0,False
Brazil.regions.PA:Acará,1.0,0.0,14.008925094281787,0.0,False
Brazil.regions.PA:Breu Branco,1.0,0.0,14.293681190537077,0.0,False
Brazil.regions.PA:Dom Eliseu,0.2857142857142857,0.0,12.937190654636112,0.0,False
Brazil.regions.PA:Eldorado do Carajás,1.0,0.0,12.849897634728576,0.0,False
Brazil.regions.PA:Ipixuna do Pará,2.476190476190476,0.0,8.8195169606445,0.0,False
Brazil.regions.PA:Muaná,0.14285714285714285,0.0,11.205078828900692,0.0,False
Brazil.regions.PA:Tomé-Açu,0.6666666666666667,0.0,12.05511397360815,0.0,False
Brazil.regions.PA:Ulianópolis,6.0,0.0,7.128800233693874,0.0,False
Brazil.regions.PA:Xinguara,0.14285714285714285,0.0,11.65783025851355,0.0,False
Brazil.regions.PI:Floriano,1.4761904761904763,0.0,10.16674567384116,0.0,False
Brazil.regions.RO:Buritis,1.0,0.0,13.285963738089135,0.0,False
Brazil.regions.RO:Ji-Paraná,1.0,0.0,15.032397296385048,0.0,False
Brazil.regions.RS:Alegrete,1.0,0.0,14.44887867803958,0.0,False
Brazil.regions.RS:Caçapava do Sul,1.0,0.0,12.83371128326281,0.0,False
Brazil.regions.RS:Itaqui,0.7142857142857143,0.0,12.390142429911469,0.0,False
Brazil.regions.RS:Sant'Ana do Livramento,1.0,0.0,11.913039217813763,0.0,False
Brazil.regions.RS:São Borja,0.5238095238095238,0.0,11.621105577833333,0.0,False
Brazil.regions.RS:São Gabriel,1.0,0.0,14.197601112187419,0.0,False
Brazil.regions.RS:Uruguaiana,0.47619047619047616,0.0,14.607643911640306,0.0,False
Brazil.regions.TO:Porto Nacional,0.7619047619047619,0.0,12.39422562584526,0.0,False
Sweden.regions.Kalmar,3.7142857142857144,0.0,13.472270125114134,0.0,False
United_States_of_America.regions.California:Del Norte,0.14285714285714285,0.0,9.13028980552858,0.0,False
United_States_of_America.regions.California:Humboldt,1.0,0.0,15.070085811096735,0.0,False
United_States_of_America.regions.California:Imperial,4.6190476190476195,0.0,12.1551837565175,0.0,False
United_States_of_America.regions.California:Mendocino,1.0,0.0,14.655026386136024,0.0,False
United_States_of_America.regions.California:Shasta,1.0,0.0,15.25246867482791,0.0,False
United_States_of_America.regions.California:Tehama,1.0,0.0,14.271301487707035,0.0,False
United_States_of_America.regions.Colorado:Delta,0.8095238095238095,0.0,11.987495703638468,0.0,False
United_States_of_America.regions.Colorado:Eagle,1.0952380952380953,0.0,11.229604255797947,0.0,False
United_States_of_America.regions.Colorado:Fremont,1.0,0.0,13.717432728653161,0.0,False
United_States_of_America.regions.Colorado:Garfield,0.8571428571428571,0.0,11.209277964438986,0.0,False
United_States_of_America.regions.Colorado:La Plata,7.761904761904762,0.0,11.1899137377959,0.0,False
United_States_of_America.regions.Colorado:Mesa,1.0,0.0,15.159311049475482,0.0,False
United_States_of_America.regions.Hawaii:Hawaii,1.0,0.0,14.791654869825509,0.0,False
United_States_of_America.regions.Idaho:Jefferson,0.0,0.0,9.112320294158126,0.0,False
United_States_of_America.regions.Idaho:Twin Falls,1.0,0.0,14.65673803792596,0.0,False
United_States_of_America.regions.Kansas:Butler,1.0,0.0,14.313254851730344,0.0,False
United_States_of_America.regions.Kansas:Cowley,1.0,0.0,12.943104572133803,0.0,False
United_States_of_America.regions.Kansas:Finney,1.2857142857142858,0.0,9.409298436356634,0.0,False
United_States_of_America.regions.Kansas:Ford,1.0,0.0,12.833268964017261,0.0,False
United_States_of_America.regions.Louisiana:Beauregard,0.8095238095238095,0.0,9.839045959722526,0.0,False
United_States_of_America.regions.Louisiana:Natchitoches,0.0,0.0,10.56641257508653,0.0,False
United_States_of_America.regions.Louisiana:Vernon,0.0,0.0,11.590948060494132,0.0,False
United_States_of_America.regions.Maine:Hancock,0.047619047619047616,0.0,12.257154638596782,0.0,False
United_States_of_America.regions.Maine:Oxford,1.5238095238095237,0.0,11.372368075172451,0.0,False
United_States_of_America.regions.Maine:Penobscot,0.42857142857142855,0.0,14.39937433026047,0.0,False
United_States_of_America.regions.Michigan:Delta,2.238095238095238,0.0,4.762670807946573,0.0,False
United_States_of_America.regions.Michigan:Marquette,0.7619047619047619,0.0,13.094807502621197,0.0,False
United_States_of_America.regions.Minnesota:Becker,0.047619047619047616,0.0,10.136043549780728,0.0,False
United_States_of_America.regions.Minnesota:Morrison,1.0,0.0,12.812509949108104,0.0,False
United_States_of_America.regions.Minnesota:Otter Tail,1.0,0.0,14.105533869485697,0.0,False
United_States_of_America.regions.Montana:Cascade,1.5714285714285714,0.0,11.418439654662148,0.0,False
United_States_of_America.regions.Montana:Gallatin,0.7142857142857143,0.0,14.684235222503514,0.0,False
United_States_of_America.regions.Montana:Missoula,0.8095238095238095,0.0,13.458677251306705,0.0,False
United_States_of_America.regions.Nevada:Lyon,1.0,0.0,14.068949396585992,0.0,False
United_States_of_America.regions.New Mexico:Curry,1.0,0.0,12.59776686264089,0.0,False
United_States_of_America.regions.New Mexico:Doña Ana,7.6190476190476195,0.0,11.442961769027109,0.0,False
United_States_of_America.regions.New Mexico:Sandoval,0.5714285714285714,0.0,14.055502389404012,0.0,False
United_States_of_America.regions.New York:Delaware,1.0,0.0,13.542001964842086,0.0,False
United_States_of_America.regions.New York:Franklin,2.6190476190476195,0.0,7.144922416031773,0.0,False
United_States_of_America.regions.New York:Herkimer,1.0,0.0,14.17696152930047,0.0,False
United_States_of_America.regions.New York:St. Lawrence,0.7619047619047619,0.0,14.128249108762434,0.0,False
United_States_of_America.regions.North Dakota:Grand Forks,4.333333333333333,0.0,6.688638273229905,0.0,False
United_States_of_America.regions.North Dakota:Ward,1.0,0.0,14.32938414431291,0.0,False
United_States_of_America.regions.Oklahoma:Le Flore,1.0,0.0,13.801880088319605,0.0,False
United_States_of_America.regions.Oklahoma:Pittsburg,0.0,0.0,11.226295775327847,0.0,False
United_States_of_America.regions.Oregon:Coos,1.0,0.0,14.25707728538012,0.0,False
United_States_of_America.regions.Oregon:Linn,6.952380952380952,0.0,8.908008678849574,0.0,False
United_States_of_America.regions.Oregon:Umatilla,0.047619047619047616,0.0,13.303119373407302,0.0,False
United_States_of_America.regions.South Dakota:Pennington,1.0,0.0,14.008068309711547,0.0,False
United_States_of_America.regions.Texas:Maverick,1.0,0.0,14.104838153308318,0.0,False
United_States_of_America.regions.Utah:Wasatch,2.142857142857143,0.0,6.635079587014883,0.0,False
United_States_of_America.regions.Washington:Clallam,1.5714285714285714,0.0,11.558880754118869,0.0,False
United_States_of_America.regions.Washington:Grant,3.142857142857143,0.0,11.130310684013228,0.0,False
United_States_of_America.regions.Washington:Grays Harbor,1.0,0.0,14.475527656306921,0.0,False
United_States_of_America.regions.Washington:Lewis,0.7142857142857143,0.0,14.21471327380041,0.0,False
United_States_of_America.regions.Washington:Yakima,1.8571428571428572,0.0,14.270289192549626,0.0,False
United_States_of_America.regions.West Virginia:Randolph,0.5714285714285714,0.0,8.837922050992876,0.0,False
United_States_of_America.regions.Wisconsin:Clark,1.0,0.0,7.454519518971247,0.0,False
United_States_of_America.regions.Wisconsin:Douglas,1.3333333333333335,0.0,9.407071141662405,0.0,False
United_States_of_America.regions.Wisconsin:Marinette,0.7142857142857143,0.0,12.621372753100314,0.0,False
United_States_of_America.regions.Wisconsin:Oneida,1.0,0.0,8.182308359811115,0.0,False
United_States_of_America.regions.Wyoming:Laramie,2.619047619047619,0.0,11.165518512878139,0.0,False
Brazil.regions.AL:Canapi,1.0,0.0,10.165073442744825,0.0,False
Brazil.regions.AL:Maravilha,1.0,0.0,4.894321134886283,0.0,False
Brazil.regions.AL:Olho d'Água do Casado,1.0,0.0,5.138834718716176,0.0,False
Brazil.regions.BA:Aiquara,1.0,0.0,6.684350328791815,0.0,False
Brazil.regions.BA:Araças,1.0,0.0,7.595574092339283,0.0,False
Brazil.regions.BA:Aurelino Leal,1.0,0.0,7.135502688830146,0.0,False
Brazil.regions.BA:Barra do Rocha,1.0,0.0,11.693597642259602,0.0,False
Brazil.regions.BA:Barro Preto,1.0,0.0,2.0781106078470692,0.0,False
