region,similarity,distance,days,score
Brazil.regions.PR:Japurá,1.0,0.0,23,1.0
Brazil.regions.PR:Quatro Barras,1.0,0.0,23,1.0
Brazil.regions.GO:Vianópolis,1.0,0.0,23,1.0
Brazil.regions.SC:Timbé do Sul,1.0,0.0,23,1.0
Brazil.regions.BA:Jequié,1.0,0.0,23,1.0
Brazil.regions.BA:Ituberá,1.0,0.0,23,1.0
Brazil.regions.BA:Itarantim,1.0,0.0,23,1.0
Brazil.regions.PR:Ramilândia,1.0,0.0,23,1.0
Brazil.regions.SC:Vidal Ramos,1.0,0.0,23,1.0
Brazil.regions.BA:Itamaraju,1.0,0.0,23,1.0
Brazil.regions.SC:São Pedro de Alcântara,1.0,0.0,23,1.0
Brazil.regions.PR:Pinhal de São Bento,1.0,0.0,23,1.0
Brazil.regions.SC:Águas Mornas,1.0,0.0,23,1.0
Brazil.regions.BA:Itabela,1.0,0.0,23,1.0
Brazil.regions.BA:Irecê,1.0,0.0,23,1.0
Brazil.regions.SE:Capela,1.0,0.0,23,1.0
Brazil.regions.PR:Palmas,1.0,0.0,23,1.0
Brazil.regions.PR:Paiçandu,1.0,0.0,23,1.0
Brazil.regions.PR:Santana do Itararé,1.0,0.0,23,1.0
Brazil.regions.GO:Silvânia,1.0,0.0,23,1.0
Brazil.regions.BA:Euclides da Cunha,1.0,0.0,23,1.0
Brazil.regions.BA:Ouriçangas,1.0,0.0,23,1.0
Brazil.regions.GO:Nova Veneza,1.0,0.0,23,1.0
Brazil.regions.BA:Pojuca,1.0,0.0,23,1.0
Brazil.regions.BA:Piripá,1.0,0.0,23,1.0
Brazil.regions.PR:Tupãssi,1.0,0.0,23,1.0
Brazil.regions.SC:Pescaria Brava,1.0,0.0,23,1.0
Brazil.regions.SC:Pomerode,1.0,0.0,23,1.0
Brazil.regions.BA:Palmeiras,1.0,0.0,23,1.0
Brazil.regions.BA:Nova Soure,1.0,0.0,23,1.0
Brazil.regions.SC:Schroeder,1.0,0.0,23,1.0
Brazil.regions.GO:Paranaiguara,1.0,0.0,23,1.0
Brazil.regions.SC:Rio Rufino,1.0,0.0,23,1.0
Brazil.regions.PR:Terra Rica,1.0,0.0,23,1.0
Brazil.regions.PR:São Manoel do Paraná,1.0,0.0,23,1.0
Brazil.regions.BA:Mirante,1.0,0.0,23,1.0
Brazil.regions.BA:Medeiros Neto,1.0,0.0,23,1.0
Brazil.regions.PR:Sertaneja,1.0,0.0,23,1.0
Brazil.regions.MA:Cajapió,1.0,0.0,23,1.0
Brazil.regions.PR:Leópolis,1.0,0.0,23,1.0
Brazil.regions.GO:Nova Glória,1.0,0.0,23,1.0
Brazil.regions.SP:Cedral,1.0,0.0,23,1.0
Brazil.regions.MA:Icatu,1.0,0.0,23,1.0
Brazil.regions.PR:Assaí,1.0,0.0,23,1.0
Brazil.regions.PI:Ribeira do Piauí,1.0,0.0,23,1.0
Brazil.regions.PI:Pimenteiras,1.0,0.0,23,1.0
Brazil.regions.PI:Lagoa do Barro do Piauí,1.0,0.0,23,1.0
Brazil.regions.PI:Inhuma,1.0,0.0,23,1.0
Brazil.regions.PI:Caracol,1.0,0.0,23,1.0
Brazil.regions.SP:Chavantes,1.0,0.0,23,1.0
Brazil.regions.BA:Aurelino Leal,1.0,0.0,23,1.0
Brazil.regions.PI:Bonfim do Piauí,1.0,0.0,23,1.0
Brazil.regions.PI:Betânia do Piauí,1.0,0.0,23,1.0
Brazil.regions.SP:Duartina,1.0,0.0,23,1.0
Brazil.regions.SP:Estiva Gerbi,1.0,0.0,23,1.0
Brazil.regions.PE:Tuparetama,1.0,0.0,23,1.0
Brazil.regions.PE:Toritama,1.0,0.0,23,1.0
Brazil.regions.SP:Guzolândia,1.0,0.0,23,1.0
Brazil.regions.PR:Campo Magro,1.0,0.0,23,1.0
Brazil.regions.PR:Chopinzinho,1.0,0.0,23,1.0
Brazil.regions.SP:Apiaí,1.0,0.0,23,1.0
Brazil.regions.BA:Campo Formoso,1.0,0.0,23,1.0
Brazil.regions.BA:Conde,1.0,0.0,23,1.0
Brazil.regions.BA:Conceição do Jacuípe,1.0,0.0,23,1.0
Brazil.regions.PR:Jaguapitã,1.0,0.0,23,1.0
Brazil.regions.PR:Jacarezinho,1.0,0.0,23,1.0
Brazil.regions.PR:Ibaiti,1.0,0.0,23,1.0
Brazil.regions.BA:Cansanção,1.0,0.0,23,1.0
Brazil.regions.BA:Canarana,1.0,0.0,23,1.0
Brazil.regions.SP:Bariri,1.0,0.0,23,1.0
Brazil.regions.BA:Barreiras,1.0,0.0,23,1.0
Brazil.regions.BA:Cachoeira,1.0,0.0,23,1.0
Brazil.regions.SP:Barra do Turvo,1.0,0.0,23,1.0
Brazil.regions.PR:Faxinal,1.0,0.0,23,1.0
Brazil.regions.PR:Dois Vizinhos,1.0,0.0,23,1.0
Brazil.regions.PR:Cornélio Procópio,1.0,0.0,23,1.0
Brazil.regions.SP:Bilac,1.0,0.0,23,1.0
