region,similarity,distance,days,is_same_cluster,score
Brazil.regions.MG:Campos Altos,1.0,0.0,43,True,1.4999999999999998
Brazil.regions.BA:Barreiras,1.0,0.0,43,True,1.4999999999999998
Brazil.regions.GO:Hidrolândia,1.0,0.0,43,True,1.4999999999999998
Brazil.regions.MG:Guimarânia,1.0,0.0,43,True,1.4999999999999998
Brazil.regions.PR:Faxinal,0.9999998506786524,0.09090909090909091,43,True,1.4999997760179784
Brazil.regions.RS:Santiago,0.9999995121011781,0.29704016913319237,43,True,1.4999992681517669
Brazil.regions.PR:Palmeira,0.9999983574651762,1.0,43,True,1.499997536197764
Brazil.regions.RS:Anta Gorda,0.9999983557288814,1.0010570824524312,43,True,1.499997533593322
Brazil.regions.SC:Papanduva,0.9999983557288814,1.0010570824524312,43,True,1.499997533593322
Brazil.regions.RS:Cachoeira do Sul,0.9999979077648385,1.2737843551797041,43,True,1.4999968616472577
Brazil.regions.RS:Vila Maria,0.9999977167724171,1.390063424947146,43,True,1.4999965751586255
Brazil.regions.RN:Tibau,0.9999974858452167,1.5306553911205074,43,True,1.499996228767825
Brazil.regions.BA:Barra do Rocha,0.9999967461836575,1.9809725158562368,43,True,1.4999951192754861
Brazil.regions.PR:Lapa,0.9999964961572151,2.1331923890063424,43,True,1.4999947442358224
Brazil.regions.PR:Verê,0.9999961923056355,2.3181818181818183,43,True,1.4999942884584532
Brazil.regions.RS:Uruguaiana,0.999995315476792,2.8520084566596196,43,True,1.4999929732151878
Brazil.regions.PR:Terra Rica,0.9999921259033548,4.793868921775899,43,True,1.4999881888550322
Brazil.regions.GO:Rio Verde,0.9999839722632566,9.757928118393234,43,True,1.4999759583948848
Brazil.regions.RO:Ji-Paraná,0.9999788623478374,12.86892177589852,43,True,1.499968293521756
Sweden.regions.Gotland,0.9999771486249291,13.912262156448202,43,True,1.4999657229373935
Brazil.regions.RN:Apodi,0.9999652081260034,21.181818181818183,43,True,1.499947812189005
