region,cases_distance,deaths_distance,cases_per_100k_distance,deaths_per_100k_distance,is_same_cluster
Brazil.regions.PE:Jaboatão dos Guararapes,2.210581456259822,0.0,8.56822254210412,0.0,False
Brazil.regions.RS:Canoas,5.3012048192771095,0.0,6.8290122513438805,0.0,False
United_States_of_America.regions.Virginia:Manassas Park city,4.8763750654793085,0.0,37.594015665775075,0.0,False
Armenia,26.91409114719748,0.0,8.368912912013181,0.0,False
Brazil.regions.AL,3.200104766893661,0.0,9.194865271022378,0.0,False
Brazil.regions.SE,11.078575170246202,0.0,8.73531008093236,0.0,False
Brazil.regions.AC:Cruzeiro do Sul,1.8543740178103723,0.0,3.989307766446093,0.0,False
Brazil.regions.AM:Itacoatiara,7.370350969093766,0.0,1.8999150487776215,0.0,False
Brazil.regions.BA:Barreiras,2.498166579360922,0.0,8.724324308412994,0.0,False
Brazil.regions.BA:Bom Jesus da Lapa,1.0,0.0,1.017235823515838,0.0,False
Brazil.regions.BA:Campo Alegre de Lourdes,0.35568360398114196,0.0,3.4009777920192197,0.0,False
Brazil.regions.BA:Campo Formoso,2.498166579360922,0.0,7.96328746040561,0.0,False
Brazil.regions.CE:Tauá,10.947092718700889,0.0,15.174478399009374,0.0,False
Brazil.regions.GO:Formosa,0.5180722891566264,0.0,6.219496604281237,0.0,False
Brazil.regions.GO:Jataí,1.6914614981665792,0.0,7.576754234625091,0.0,False
Brazil.regions.GO:Minaçu,1.1752464403066814,0.0,3.553672655898493,0.0,False
Brazil.regions.GO:Padre Bernardo,1.0,0.0,2.4002366663269887,0.0,False
Brazil.regions.GO:Quirinópolis,0.75,0.0,2.859001879352627,0.0,False
Brazil.regions.MA:Arame,5.468784227820373,0.0,17.312325788655567,0.0,False
Brazil.regions.MA:Açailândia,2.498166579360922,0.0,8.478339826783474,0.0,False
Brazil.regions.MA:Parnarama,2.0,0.0,6.103263581999044,0.0,False
Brazil.regions.MA:Tuntum,1.6914614981665792,0.0,5.048708913052177,0.0,False
Brazil.regions.MG:Diamantina,3.266666666666667,0.0,6.146114403598294,0.0,False
Brazil.regions.MG:Paracatu,2.351492928234678,0.0,4.493019337003092,0.0,False
Brazil.regions.MG:Três Marias,2.498166579360922,0.0,6.277046609002263,0.0,False
Brazil.regions.MG:Unaí,2.498166579360922,0.0,8.182520449367193,0.0,False
Brazil.regions.MS:Naviraí,2.498166579360922,0.0,7.545439654156186,0.0,False
Brazil.regions.MS:Nova Andradina,5.489785227867993,0.0,7.353773833645364,0.0,False
Brazil.regions.MS:Ponta Porã,2.498166579360922,0.0,8.28688620110235,0.0,False
Brazil.regions.MS:Sidrolândia,2.498166579360922,0.0,7.633509329827551,0.0,False
Brazil.regions.MT:Primavera do Leste,1.0419067574646412,0.0,3.158576890512074,0.0,False
Brazil.regions.MT:Sorriso,14.770398481973436,0.0,11.783078847715384,0.0,False
Brazil.regions.PA:Acará,1.9114719748559452,0.0,6.513434206310885,0.0,False
Brazil.regions.PA:Ipixuna do Pará,15.605028810895757,0.0,20.500837518780326,0.0,False
Brazil.regions.PA:Muaná,1.979570455735987,0.0,5.604011054622775,0.0,False
Brazil.regions.PA:Ulianópolis,21.280834914611006,0.0,33.16909487980957,0.0,False
Brazil.regions.PI:Floriano,4.614457831325302,0.0,4.313978776853424,0.0,False
Brazil.regions.RO:Buritis,1.6076479832372974,0.0,4.600127822244739,0.0,False
