region,similarity,distance,days,score
Brazil.regions.MS:Corumbá,1.0,0.0,16,1.0
Brazil.regions.MG:Jaboticatubas,1.0,0.0,16,1.0
Brazil.regions.MG:Caetanópolis,1.0,0.0,16,1.0
Brazil.regions.PB:Queimadas,1.0,0.0,16,1.0
Brazil.regions.SC:Ituporanga,1.0,0.0,16,1.0
Brazil.regions.PA:Marabá,1.0,0.0,16,1.0
Brazil.regions.ES:Irupi,1.0,0.0,16,1.0
Brazil.regions.SP:Tuiuti,1.0,0.0,16,1.0
Brazil.regions.MG:São Brás do Suaçuí,1.0,0.0,16,1.0
Nigeria,1.0,0.0,16,1.0
Brazil.regions.GO:Niquelândia,0.9999998216850614,0.0625,16,0.9999998216850614
Brazil.regions.CE:Itapipoca,0.9999996433701228,0.125,16,0.9999996433701228
Brazil.regions.SP:Monte Azul Paulista,0.9999994650551842,0.1875,16,0.9999994650551842
Brazil.regions.PE:Altinho,0.9999994650551842,0.1875,16,0.9999994650551842
Brazil.regions.CE:Pindoretama,0.9999994650551842,0.1875,16,0.9999994650551842
Brazil.regions.PA:Primavera,0.9999994650551842,0.1875,16,0.9999994650551842
Brazil.regions.PA:Acará,0.9999994650551842,0.1875,16,0.9999994650551842
Brazil.regions.RJ:Valença,0.9999994650551842,0.1875,16,0.9999994650551842
Brazil.regions.PR:Verê,0.9999994650551842,0.1875,16,0.9999994650551842
Brazil.regions.MG:Muzambinho,0.9999994650551842,0.1875,16,0.9999994650551842
Brazil.regions.SP:Junqueirópolis,0.9999994650551842,0.1875,16,0.9999994650551842
Brazil.regions.PR:Terra Boa,0.9999994650551842,0.1875,16,0.9999994650551842
Brazil.regions.PR:Rio Negro,0.9999994650551842,0.1875,16,0.9999994650551842
Brazil.regions.GO:Jataí,0.9999994650551842,0.1875,16,0.9999994650551842
Brazil.regions.BA:Itaberaba,0.9999994650551842,0.1875,16,0.9999994650551842
Brazil.regions.AL:Capela,0.9999994650551842,0.1875,16,0.9999994650551842
Brazil.regions.SP:Juquiá,0.9999994650551842,0.1875,16,0.9999994650551842
Brazil.regions.SP:Promissão,0.9999994650551842,0.1875,16,0.9999994650551842
Brazil.regions.PR:Morretes,0.9999994650551842,0.1875,16,0.9999994650551842
Brazil.regions.MA:Colinas,0.9999994650551842,0.1875,16,0.9999994650551842
Brazil.regions.PE:Ipubi,0.9999994650551842,0.1875,16,0.9999994650551842
Brazil.regions.SC:Tijucas,0.9999994650551842,0.1875,16,0.9999994650551842
Brazil.regions.PR:Ibiporã,0.9999994650551842,0.1875,16,0.9999994650551842
Brazil.regions.PA:Novo Progresso,0.9999994650551842,0.1875,16,0.9999994650551842
Brazil.regions.MG:Cambuquira,0.9999994650551842,0.1875,16,0.9999994650551842
Brazil.regions.BA:São Francisco do Conde,0.9999994650551842,0.1875,16,0.9999994650551842
Brazil.regions.MG:Carmo do Cajuru,0.9999994650551842,0.1875,16,0.9999994650551842
Brazil.regions.RR:São Luiz,0.9999994650551842,0.1875,16,0.9999994650551842
Brazil.regions.MG:Ituiutaba,0.9999994650551842,0.1875,16,0.9999994650551842
Brazil.regions.RS:Dois Irmãos,0.9999994650551842,0.1875,16,0.9999994650551842
Brazil.regions.CE:Ipaumirim,0.9999994650551842,0.1875,16,0.9999994650551842
Brazil.regions.RS:Salvador do Sul,0.9999994650551842,0.1875,16,0.9999994650551842
Brazil.regions.RS:Cruz Alta,0.9999994650551842,0.1875,16,0.9999994650551842
Brazil.regions.CE:Itarema,0.9999992867402456,0.25,16,0.9999992867402456
Brazil.regions.PR:Peabiru,0.9999992867402456,0.25,16,0.9999992867402456
Brazil.regions.RS:Campinas do Sul,0.9999992867402456,0.25,16,0.9999992867402456
Brazil.regions.PR:Mariópolis,0.9999992867402456,0.25,16,0.9999992867402456
Brazil.regions.GO:Aragoiânia,0.9999992867402456,0.25,16,0.9999992867402456
Brazil.regions.RS:Campo Bom,0.9999992867402456,0.25,16,0.9999992867402456
Spain,0.9999992867402456,0.25,16,0.9999992867402456
Brazil.regions.RS:Cachoeira do Sul,0.9999992867402456,0.25,16,0.9999992867402456
Brazil.regions.RS:Candelária,0.9999992867402456,0.25,16,0.9999992867402456
Brazil.regions.MT:Ipiranga do Norte,0.9999992867402456,0.25,16,0.9999992867402456
Brazil.regions.SP:Capela do Alto,0.9999992867402456,0.25,16,0.9999992867402456
Brazil.regions.BA:Valente,0.9999992867402456,0.25,16,0.9999992867402456
Brazil.regions.GO:Jesúpolis,0.9999992867402456,0.25,16,0.9999992867402456
Brazil.regions.SC:Turvo,0.9999992867402456,0.25,16,0.9999992867402456
Brazil.regions.SE:Canindé de São Francisco,0.9999992867402456,0.25,16,0.9999992867402456
Brazil.regions.PE:Jatobá,0.9999992867402456,0.25,16,0.9999992867402456
Brazil.regions.GO:Senador Canedo,0.9999992867402456,0.25,16,0.9999992867402456
Brazil.regions.PE:Santa Maria do Cambucá,0.9999992867402456,0.25,16,0.9999992867402456
Brazil.regions.SE:Ribeirópolis,0.9999992867402456,0.25,16,0.9999992867402456
Brazil.regions.MG:Poços de Caldas,0.9999992867402456,0.25,16,0.9999992867402456
Brazil.regions.GO:Águas Lindas de Goiás,0.9999992867402456,0.25,16,0.9999992867402456
Brazil.regions.PA:São João da Ponta,0.9999992867402456,0.25,16,0.9999992867402456
Brazil.regions.PA:Quatipuru,0.9999992867402456,0.25,16,0.9999992867402456
Brazil.regions.RS:Ernestina,0.9999992867402456,0.25,16,0.9999992867402456
Brazil.regions.RJ:Areal,0.9999992867402456,0.25,16,0.9999992867402456
Brazil.regions.MG:Minas Novas,0.9999992867402456,0.25,16,0.9999992867402456
Brazil.regions.MG:Curvelo,0.9999992867402456,0.25,16,0.9999992867402456
Brazil.regions.MG:Itaguara,0.9999992867402456,0.25,16,0.9999992867402456
Brazil.regions.MA:Junco do Maranhão,0.9999992867402456,0.25,16,0.9999992867402456
Brazil.regions.RN:Serra Negra do Norte,0.9999992867402456,0.25,16,0.9999992867402456
Brazil.regions.BA:Paramirim,0.9999992867402456,0.25,16,0.9999992867402456
Brazil.regions.SP:Serra Negra,0.9999992867402456,0.25,16,0.9999992867402456
Brazil.regions.SP:Santana de Parnaíba,0.9999992867402456,0.25,16,0.9999992867402456
Brazil.regions.SC:Itaiópolis,0.9999992867402456,0.25,16,0.9999992867402456
Brazil.regions.MG:Manhuaçu,0.9999992867402456,0.25,16,0.9999992867402456
Brazil.regions.PE:Alagoinha,0.9999992867402456,0.25,16,0.9999992867402456
Brazil.regions.PR:Rio Branco do Sul,0.9999992867402456,0.25,16,0.9999992867402456
Brazil.regions.RS:Nova Bréscia,0.9999992867402456,0.25,16,0.9999992867402456
Brazil.regions.PE:Orobó,0.999999108425307,0.3125,16,0.999999108425307
Brazil.regions.CE:Beberibe,0.999999108425307,0.3125,16,0.999999108425307
Brazil.regions.PI:Angical do Piauí,0.999999108425307,0.3125,16,0.999999108425307
Brazil.regions.RS:Paraí,0.999999108425307,0.3125,16,0.999999108425307
Brazil.regions.SP:Igaratá,0.999999108425307,0.3125,16,0.999999108425307
Brazil.regions.PE:Cupira,0.999999108425307,0.3125,16,0.999999108425307
Brazil.regions.MA:Itapecuru Mirim,0.999999108425307,0.3125,16,0.999999108425307
Brazil.regions.RS:Osório,0.999999108425307,0.3125,16,0.999999108425307
Brazil.regions.PA:Tucuruí,0.999999108425307,0.3125,16,0.999999108425307
Brazil.regions.BA:Rio Real,0.999999108425307,0.3125,16,0.999999108425307
Brazil.regions.BA:Caetanos,0.999999108425307,0.3125,16,0.999999108425307
Brazil.regions.SE:Tomar do Geru,0.999999108425307,0.3125,16,0.999999108425307
Brazil.regions.RS:Bom Retiro do Sul,0.999999108425307,0.3125,16,0.999999108425307
Brazil.regions.RN:São José de Mipibu,0.999999108425307,0.3125,16,0.999999108425307
Brazil.regions.BA:Santa Luzia,0.999999108425307,0.3125,16,0.999999108425307
Brazil.regions.RJ:Sumidouro,0.999999108425307,0.3125,16,0.999999108425307
Brazil.regions.ES:Afonso Cláudio,0.999999108425307,0.3125,16,0.999999108425307
Brazil.regions.RS:São Jorge,0.999999108425307,0.3125,16,0.999999108425307
Brazil.regions.PR:Umuarama,0.999999108425307,0.3125,16,0.999999108425307
