region,similarity,distance,days,is_same_cluster,score
Brazil.regions.MG:Lavras,0.9999368871940916,0.2690058479532163,23,False,0.9999368871940916
Brazil.regions.SC:Gravatal,0.9999158495921221,0.3586744639376217,23,True,0.9999158495921221
Brazil.regions.ES:Guarapari,0.9999053307911373,0.40350877192982443,23,False,0.9999053307911373
Brazil.regions.PE:Camocim de São Félix,0.9998948119901526,0.4483430799220271,23,False,0.9998948119901526
Brazil.regions.SC:Navegantes,0.9998842931891678,0.49317738791422994,23,False,0.9998842931891678
Brazil.regions.SP:Ilhabela,0.999873774388183,0.5380116959064327,23,False,0.999873774388183
Brazil.regions.GO:Anápolis,0.9998600542129856,0.5964912280701753,23,False,0.9998600542129856
Brazil.regions.SP:Pilar do Sul,0.9998554808212531,0.6159844054580896,23,False,0.9998554808212531
Brazil.regions.SP:Buritama,0.9998449620202684,0.6608187134502923,23,False,0.9998449620202684
Brazil.regions.CE:Pereiro,0.9998422179852289,0.6725146198830407,23,False,0.9998422179852289
Brazil.regions.PA:Barcarena,0.9998422179852289,0.6725146198830407,23,False,0.9998422179852289
Brazil.regions.RS:Esteio,0.9998422179852289,0.672514619883041,23,False,0.9998422179852289
Brazil.regions.RS:Serafina Corrêa,0.9998422179852289,0.6725146198830407,23,False,0.9998422179852289
Brazil.regions.ES:Rio Novo do Sul,0.9998390166110162,0.6861598440545807,23,False,0.9998390166110162
Brazil.regions.BA:Campo Alegre de Lourdes,0.9998330712017639,0.7115009746588693,23,False,0.9998330712017639
Brazil.regions.PR:Ponta Grossa,0.9998316991842441,0.7173489278752434,23,False,0.9998316991842441
Brazil.regions.RJ:São Fidélis,0.9998298698275511,0.7251461988304091,23,False,0.9998298698275511
Brazil.regions.RS:Sapucaia do Sul,0.9998211803832594,0.7621832358674464,23,False,0.9998211803832594
Brazil.regions.MG:Muriaé,0.9998211803832594,0.7621832358674462,23,False,0.9998211803832594
Brazil.regions.PR:Paranavaí,0.9998211803832594,0.7621832358674462,23,True,0.9998211803832594
Brazil.regions.BA:Simões Filho,0.9998211803832594,0.7621832358674464,23,False,0.9998211803832594
