region,similarity,distance,days,score
Gabon,0.9999838941345788,5.645161290322581,31,0.9999838941345787
Brazil.regions.SP:Embu-Guaçu,0.9999837100675454,5.709677419354839,31,0.9999837100675453
Brazil.regions.PE:Chã Grande,0.999983526000512,5.774193548387097,31,0.9999835260005119
Brazil.regions.SP:Americana,0.9999833419334787,5.838709677419355,31,0.9999833419334786
Brazil.regions.RJ:Itaguaí,0.999983249899962,5.870967741935484,31,0.9999832498999619
Brazil.regions.SP:Caraguatatuba,0.9999828817658952,6.0,31,0.9999828817658951
Brazil.regions.RJ:Queimados,0.999982329564795,6.193548387096774,31,0.9999823295647949
Brazil.regions.PA:Marituba,0.999982329564795,6.193548387096774,31,0.9999823295647949
Brazil.regions.SC:Joinville,0.9999821454977617,6.258064516129032,31,0.9999821454977615
Brazil.regions.MS:Três Lagoas,0.9999816853301782,6.419354838709677,31,0.9999816853301781
Brazil.regions.RJ:Araruama,0.9999815012631448,6.483870967741935,31,0.9999815012631447
Brazil.regions.MG:Contagem,0.9999814092296281,6.516129032258065,31,0.999981409229628
Brazil.regions.PA:Parauapebas,0.9999812251625947,6.580645161290323,31,0.9999812251625946
Brazil.regions.RJ:Teresópolis,0.9999812251625947,6.580645161290323,31,0.9999812251625946
Brazil.regions.SP:Jandira,0.9999812251625947,6.580645161290323,31,0.9999812251625946
Brazil.regions.SP:Ribeirão Pires,0.999980857028528,6.709677419354839,31,0.9999808570285279
Brazil.regions.SP:Presidente Prudente,0.999980857028528,6.709677419354839,31,0.9999808570285279
Guyana,0.9999802127939111,6.935483870967742,31,0.999980212793911
Brazil.regions.PR:Maringá,0.9999801207603944,6.967741935483871,31,0.9999801207603943
Monaco,0.9999801207603944,6.967741935483871,31,0.9999801207603943
Brazil.regions.CE:Cascavel,0.9999800287268777,7.0,31,0.9999800287268776
Brazil.regions.RS:Marau,0.9999798446598444,7.064516129032258,31,0.9999798446598442
Brazil.regions.PE:Pombos,0.9999798446598444,7.064516129032258,31,0.9999798446598442
Brazil.regions.CE:Russas,0.9999797526263277,7.096774193548387,31,0.9999797526263275
Brazil.regions.SP:Arujá,0.9999795685592943,7.161290322580645,31,0.9999795685592942
Thailand,0.9999795685592943,7.161290322580645,31,0.9999795685592942
Brazil.regions.RJ:Japeri,0.9999794765257776,7.193548387096774,31,0.9999794765257775
Benin,0.9999792924587442,7.258064516129032,31,0.9999792924587441
Togo,0.9999791083917108,7.32258064516129,31,0.9999791083917107
Brazil.regions.SP:Poá,0.9999790163581941,7.354838709677419,31,0.999979016358194
Brazil.regions.CE:Aquiraz,0.9999790163581941,7.354838709677419,31,0.999979016358194
Brazil.regions.SC:São José,0.9999784641570939,7.548387096774194,31,0.9999784641570938
Brazil.regions.BA:Itabuna,0.9999780960230272,7.67741935483871,31,0.9999780960230271
Brazil.regions.RJ:Rio das Ostras,0.9999780039895105,7.709677419354839,31,0.9999780039895104
Brazil.regions.SE:Aracaju,0.9999778199224771,7.774193548387097,31,0.999977819922477
Brazil.regions.SP:Ubatuba,0.9999778199224771,7.774193548387097,31,0.999977819922477
Brazil.regions.PA:Bujaru,0.9999777278889604,7.806451612903226,31,0.9999777278889603
Brazil.regions.GO:Goianésia,0.9999776358554437,7.838709677419355,31,0.9999776358554436
Brazil.regions.SP:Peruíbe,0.9999774517884104,7.903225806451613,31,0.9999774517884102
Brazil.regions.PA:Salinópolis,0.9999773597548937,7.935483870967742,31,0.9999773597548935
Angola,0.9999773597548937,7.935483870967742,31,0.9999773597548935
Brazil.regions.AL,0.9999773597548937,7.935483870967742,31,0.9999773597548935
Mozambique,0.9999771756878603,8.0,31,0.9999771756878602
Brazil.regions.PE:Glória do Goitá,0.9999769916208269,8.064516129032258,31,0.9999769916208268
Brazil.regions.PB:Bayeux,0.9999769916208269,8.064516129032258,31,0.9999769916208268
Brazil.regions.SC:Tubarão,0.9999769916208269,8.064516129032258,31,0.9999769916208268
Brazil.regions.RN:Açu,0.9999768995873102,8.096774193548388,31,0.9999768995873101
Brazil.regions.RN:Canguaretama,0.9999768995873102,8.096774193548388,31,0.9999768995873101
Brazil.regions.BA:Lauro de Freitas,0.9999768075537935,8.129032258064516,31,0.9999768075537934
Brazil.regions.SC:Ipumirim,0.9999768075537935,8.129032258064516,31,0.9999768075537934
Brazil.regions.PB:Cabedelo,0.9999768075537935,8.129032258064516,31,0.9999768075537934
Brazil.regions.MA:Zé Doca,0.9999768075537935,8.129032258064516,31,0.9999768075537934
