region,similarity,distance,days
Brazil.regions.RS:Canguçu,0.9881756756756757,0.1891891891891892,37
Brazil.regions.SC:Águas Mornas,0.9881756756756757,0.1891891891891892,37
Brazil.regions.BA:Medeiros Neto,0.9864864864864865,0.21621621621621623,37
Brazil.regions.BA:Palmeiras,0.9864864864864865,0.21621621621621623,37
Brazil.regions.BA:Piripá,0.9864864864864865,0.21621621621621623,37
Brazil.regions.BA:Santa Maria da Vitória,0.9864864864864865,0.21621621621621623,37
Brazil.regions.GO:Campestre de Goiás,0.9864864864864865,0.21621621621621623,37
Brazil.regions.MG:Jeceaba,0.9864864864864865,0.21621621621621623,37
Brazil.regions.MS:Ponta Porã,0.9864864864864865,0.21621621621621623,37
Brazil.regions.PB:Serra Branca,0.9864864864864865,0.21621621621621623,37
Brazil.regions.PR:Chopinzinho,0.9864864864864865,0.21621621621621623,37
Brazil.regions.PR:Leópolis,0.9864864864864865,0.21621621621621623,37
Brazil.regions.PR:Sertaneja,0.9864864864864865,0.21621621621621623,37
Brazil.regions.RN:Carnaubais,0.9864864864864865,0.21621621621621623,37
Brazil.regions.RS:Nova Palma,0.9864864864864865,0.21621621621621623,37
Brazil.regions.RS:Santiago,0.9864864864864865,0.21621621621621623,37
Brazil.regions.SC:Paulo Lopes,0.9864864864864865,0.21621621621621623,37
Brazil.regions.MG:Capitólio,0.9847972972972973,0.24324324324324326,37
Brazil.regions.PR:Pinhão,0.9847972972972973,0.24324324324324326,37
Brazil.regions.RS:São Lourenço do Sul,0.9847972972972973,0.24324324324324326,37
Brazil.regions.GO:Bom Jesus de Goiás,0.9831081081081081,0.2702702702702703,37
Brazil.regions.PR:Iretama,0.9831081081081081,0.2702702702702703,37
Brazil.regions.RS:Minas do Leão,0.9831081081081081,0.2702702702702703,37
Brazil.regions.SC:Timbé do Sul,0.9831081081081081,0.2702702702702703,37
Brazil.regions.BA:Prado,0.981418918918919,0.2972972972972973,37
Brazil.regions.PI:São José do Divino,0.981418918918919,0.2972972972972973,37
Brazil.regions.RN:Caraúbas,0.981418918918919,0.2972972972972973,37
Brazil.regions.MT:São José dos Quatro Marcos,0.9780405405405406,0.35135135135135137,37
Brazil.regions.BA:Itagibá,0.9763513513513513,0.3783783783783784,37
Brazil.regions.CE:Ipaporanga,0.9746621621621622,0.40540540540540543,37
Brazil.regions.BA:Santa Cruz Cabrália,0.9695945945945946,0.4864864864864865,37
Brazil.regions.RO:Jaru,0.9695945945945946,0.4864864864864865,37
Brazil.regions.MT:Lucas do Rio Verde,0.9679054054054054,0.5135135135135135,37
Sweden.regions.Gotland,0.9577702702702703,0.6756756756756757,37
Brazil.regions.CE:Jaguaribe,0.9493243243243243,0.8108108108108109,37
Brazil.regions.RN:Apodi,0.9324324324324325,1.0810810810810811,37
Brazil.regions.AM:Iranduba,0.5861486486486487,6.621621621621622,37
Brazil.regions.GO:Nova Glória,0.9861111111111112,0.2222222222222222,36
Brazil.regions.GO:Vianópolis,0.9861111111111112,0.2222222222222222,36
Brazil.regions.MA:Cajapió,0.9861111111111112,0.2222222222222222,36
Brazil.regions.SC:Anita Garibaldi,0.9861111111111112,0.2222222222222222,36
Brazil.regions.BA:Ibotirama,0.984375,0.25,36
Brazil.regions.CE:Cariús,0.9839285714285715,0.2571428571428571,35
Brazil.regions.GO:Goiatuba,0.9785714285714285,0.34285714285714286,35
Brazil.regions.MA:São Benedito do Rio Preto,0.9732142857142857,0.42857142857142855,35
Brazil.regions.GO:Anhanguera,0.9852941176470589,0.23529411764705882,34
