region,similarity,distance,days
Brazil.regions.RS:Taquara,0.9703903095558546,0.5641025641025641,39
Brazil.regions.MG:Santana do Paraíso,0.9690444145356663,0.5897435897435898,39
Brazil.regions.SP:São José do Rio Pardo,0.9690444145356663,0.5897435897435898,39
Brazil.regions.BA:Pojuca,0.9676985195154778,0.6153846153846154,39
Brazil.regions.PR:Quatro Barras,0.9676985195154778,0.6153846153846154,39
Brazil.regions.BA:Catu,0.9650067294751009,0.6666666666666666,39
Brazil.regions.PE:Belo Jardim,0.9636608344549125,0.6923076923076923,39
Brazil.regions.RS:Carlos Barbosa,0.9636608344549125,0.6923076923076923,39
Brazil.regions.SP:Cachoeira Paulista,0.9636608344549125,0.6923076923076923,39
Brazil.regions.PR:Francisco Beltrão,0.9582772543741588,0.7948717948717948,39
Brazil.regions.SP:Cravinhos,0.9528936742934051,0.8974358974358975,39
Brazil.regions.RJ:Mangaratiba,0.9502018842530283,0.9487179487179487,39
Brazil.regions.MG:Muriaé,0.9488559892328399,0.9743589743589743,39
Brazil.regions.SC:Joaçaba,0.9488559892328399,0.9743589743589743,39
Brazil.regions.MG:Lagoa da Prata,0.9475100942126514,1.0,39
Northern_Mariana_Islands,0.9475100942126514,1.0,39
Brazil.regions.CE:Itapajé,0.9448183041722745,1.0512820512820513,39
Brazil.regions.MG:Governador Valadares,0.9448183041722745,1.0512820512820513,39
Brazil.regions.RJ:Resende,0.9421265141318977,1.1025641025641026,39
Brazil.regions.SC:São Ludgero,0.9394347240915208,1.1538461538461537,39
Brazil.regions.RJ:Rio Bonito,0.9286675639300135,1.358974358974359,39
Brazil.regions.PR:Campo Mourão,0.9165545087483177,1.5897435897435896,39
Brazil.regions.RJ:Campos dos Goytacazes,0.8855989232839838,2.1794871794871793,39
Brazil.regions.MS:Campo Grande,0.8654104979811574,2.5641025641025643,39
Sweden.regions.Skåne,0.4333781965006729,10.794871794871796,39
Cyprus,0.020188425302826385,18.666666666666668,39
Brazil.regions.PE:Cachoeirinha,0.9577164647824137,0.8055555555555556,36
Brazil.regions.MG:Cambuí,0.9518842530282638,0.9166666666666666,36
Brazil.regions.MG:Montes Claros,0.9358456707043518,1.2222222222222223,36
Brazil.regions.SP:Bebedouro,0.9595077869640454,0.7714285714285715,35
Brazil.regions.MA:Santa Inês,0.8860219188617574,2.1714285714285713,35
Brazil.regions.PR:Toledo,0.9629483017971657,0.7058823529411765,34
Brazil.regions.SP:Jales,0.9614044810387142,0.7352941176470589,34
Brazil.regions.SC:Schroeder,0.9634161262694237,0.696969696969697,33
Brazil.regions.RS:Bom Retiro do Sul,0.9506913006240059,0.9393939393939394,33
Brazil.regions.PE:Pombos,0.8997919980423346,1.9090909090909092,33
Brazil.regions.RJ:Itatiaia,0.9639131897711979,0.6875,32
