region,similarity,distance,days,is_same_cluster,score
Brazil.regions.RS:Bagé,0.9999824829978475,10.664615384615384,25,True,1.4999737244967712
Brazil.regions.MA:Arari,0.9999775200157028,13.686153846153847,25,True,1.499966280023554
Brazil.regions.MA:Anajatuba,0.9999771005375786,13.941538461538462,25,True,1.4999656508063677
Brazil.regions.CE:Ibicuitinga,0.9999752507906692,15.067692307692308,25,True,1.4999628761860035
Brazil.regions.MA:Bacabeira,0.9999747858269652,15.350769230769231,25,True,1.4999621787404476
Brazil.regions.SC:Ipumirim,0.9999730321051686,16.41846153846154,25,True,1.4999595481577528
Brazil.regions.SC:Arabutã,0.9999682156876697,19.35076923076923,25,True,1.4999523235315044
Brazil.regions.SP:Mirandópolis,0.9999678972886116,19.544615384615383,25,True,1.4999518459329173
Brazil.regions.CE:Pentecoste,0.9999670128467834,20.083076923076923,25,True,1.499950519270175
Brazil.regions.PA:Marapanim,0.9999660323798423,20.68,25,True,1.4999490485697633
Brazil.regions.MA:Vargem Grande,0.9999651883696405,21.193846153846152,25,True,1.4999477825544607
Brazil.regions.CE:Itapiúna,0.9999643595212986,21.698461538461537,25,True,1.4999465392819478
Brazil.regions.PR:Araruna,0.9999637328310889,22.08,25,True,1.499945599246633
Brazil.regions.PR:Assis Chateaubriand,0.9999631010869259,22.464615384615385,25,True,1.4999446516303887
Turks_and_Caicos_islands,0.9999630404394863,22.501538461538463,25,True,1.4999445606592292
Brazil.regions.PE:Serra Talhada,0.9999629343064668,22.566153846153846,25,True,1.4999444014596999
Brazil.regions.PA:Ourém,0.9999625906376421,22.775384615384617,25,True,1.499943885956463
Brazil.regions.SP:Igaratá,0.999962257076724,22.978461538461538,25,True,1.499943385615086
Brazil.regions.ES:Vila Valério,0.9999612665018764,23.58153846153846,25,True,1.4999418997528144
Brazil.regions.BA:Brumado,0.9999610744516508,23.698461538461537,25,True,1.499941611677476
Brazil.regions.PA:Bujaru,0.9999609733725848,23.76,25,True,1.499941460058877
Brazil.regions.RN:Baraúna,0.9999600939847099,24.295384615384616,25,True,1.4999401409770647
Brazil.regions.PR:Paranacity,0.9999600889307565,24.298461538461538,25,True,1.4999401333961346
Brazil.regions.PR:São João do Ivaí,0.9999591438414887,24.873846153846152,25,True,1.4999387157622328
Brazil.regions.CE:Tabuleiro do Norte,0.999959083194049,24.91076923076923,25,True,1.4999386247910733
Brazil.regions.SP:Piratininga,0.9999590629782358,24.923076923076923,25,True,1.4999385944673536
Brazil.regions.MG:Monte Carmelo,0.9999589922228895,24.966153846153848,25,True,1.499938488334334
Brazil.regions.SP:São Miguel Arcanjo,0.999958835550337,25.06153846153846,25,True,1.4999382533255055
Brazil.regions.RJ:Sapucaia,0.9999587445791777,25.116923076923076,25,True,1.4999381168687664
Brazil.regions.RJ:Quissamã,0.9999584615577926,25.28923076923077,25,True,1.4999376923366887
Brazil.regions.SP:Guararapes,0.9999572283931863,26.04,25,True,1.4999358425897793
Brazil.regions.CE:Coreaú,0.9999571374220269,26.095384615384614,25,True,1.49993570613304
Brazil.regions.PE:Tupanatinga,0.9999568847243616,26.24923076923077,25,True,1.4999353270865423
Brazil.regions.ES:Nova Venécia,0.9999567482676225,26.332307692307694,25,True,1.4999351224014337
Brazil.regions.CE:Santana do Acaraú,0.9999566269727431,26.406153846153845,25,True,1.4999349404591145
Brazil.regions.CE:Beberibe,0.9999566219187899,26.40923076923077,25,True,1.4999349328781846
Brazil.regions.MG:Munhoz,0.999955843609981,26.883076923076924,25,True,1.4999337654149714
Brazil.regions.RS:Arroio dos Ratos,0.9999558233941678,26.895384615384614,25,True,1.4999337350912514
Brazil.regions.PI:Luís Correia,0.9999557425309149,26.944615384615386,25,True,1.4999336137963721
Brazil.regions.RS:Sananduva,0.9999556818834753,26.981538461538463,25,True,1.4999335228252129
Brazil.regions.BA:Barro Preto,0.9999556363978955,27.00923076923077,25,True,1.4999334545968432
