region,cases_distance,deaths_distance,cases_per_100k_distance,deaths_per_100k_distance,is_same_cluster
Armenia,104.86409966024914,0.0,6.9450626647547535,0.0,False
Brazil.regions.AC:Cruzeiro do Sul,11.436013590033976,0.0,6.301260422941836,0.0,False
Brazil.regions.BA:Barreiras,0.6936579841449604,0.0,9.911677540093597,0.0,False
Brazil.regions.BA:Bom Jesus da Lapa,2.0,0.0,1.893562486707661,0.0,False
Brazil.regions.BA:Campo Alegre de Lourdes,3.082106455266138,0.0,6.160718762755375,0.0,False
Brazil.regions.BA:Campo Formoso,0.6936579841449604,0.0,9.150640692086213,0.0,False
Brazil.regions.GO:Formosa,2.4949037372593437,0.0,7.110957327068329,0.0,False
Brazil.regions.GO:Jataí,0.9937712344280861,0.0,7.891083401181389,0.0,False
Brazil.regions.GO:Minaçu,1.6538882803943047,0.0,4.841211766039728,0.0,False
Brazil.regions.GO:Padre Bernardo,0.0,0.0,3.2765633295188117,0.0,False
Brazil.regions.GO:Quirinópolis,0.25,0.0,3.7353285425444493,0.0,False
Brazil.regions.MA:Arame,6.495071193866376,0.0,18.20369061274863,0.0,False
Brazil.regions.MA:Açailândia,3.309739524348811,0.0,6.266522748096666,0.0,False
Brazil.regions.MA:Parnarama,3.0,0.0,5.226936918807221,0.0,False
Brazil.regions.MA:Tuntum,2.1970554926387313,0.0,3.470844691840683,0.0,False
Brazil.regions.MG:Diamantina,3.8666666666666667,0.0,5.6203184056832,0.0,False
Brazil.regions.MG:Paracatu,6.698754246885617,0.0,3.791317778014461,0.0,False
Brazil.regions.MG:Três Marias,0.6936579841449604,0.0,7.464399840682868,0.0,False
Brazil.regions.MG:Unaí,0.2944507361268403,0.0,8.896755986840631,0.0,False
Brazil.regions.MS:Naviraí,0.6936579841449604,0.0,8.73279288583679,0.0,False
Brazil.regions.MS:Nova Andradina,8.185730464326163,0.0,8.55526045728268,0.0,False
Brazil.regions.MS:Ponta Porã,0.6936579841449604,0.0,9.474239432782953,0.0,False
Brazil.regions.MS:Sidrolândia,0.6936579841449604,0.0,8.820862561508156,0.0,False
Brazil.regions.MT:Primavera do Leste,3.8986409966024915,0.0,2.7330059979561216,0.0,False
Brazil.regions.MT:Sorriso,16.595825426944973,0.0,12.73530769065543,0.0,False
Brazil.regions.PA:Ipixuna do Pará,18.597156398104268,0.0,23.270972234414728,0.0,False
Brazil.regions.PA:Muaná,2.197055492638732,0.0,4.196226038769348,0.0,False
Brazil.regions.PA:Ulianópolis,23.106261859582542,0.0,34.171209491052764,0.0,False
Brazil.regions.PI:Floriano,12.02321630804077,0.0,12.548001340530334,0.0,False
Brazil.regions.RO:Buritis,0.9201585503963762,0.0,5.0186814123458445,0.0,False
Brazil.regions.RO:Ji-Paraná,0.6200453001132503,0.0,9.72255878518259,0.0,False
Brazil.regions.RS:Alegrete,0.6936579841449604,0.0,9.196117979359288,0.0,False
Brazil.regions.RS:Caçapava do Sul,0.1078838174273859,0.0,3.9303574977223956,0.0,False
Brazil.regions.RS:Itaqui,0.7272727272727273,0.0,1.6407145343272165,0.0,False
Brazil.regions.RS:Sant'Ana do Livramento,4.176670441676104,0.0,3.4409009193938753,0.0,False
Brazil.regions.RS:São Borja,2.155555555555556,0.0,1.3022153448005116,0.0,False
Brazil.regions.RS:São Gabriel,0.6936579841449604,0.0,8.944840413507121,0.0,False
Brazil.regions.RS:Uruguaiana,1.3335220838052093,0.0,8.286800062548714,0.0,False
United_States_of_America.regions.California:Del Norte,0.5832389580973952,0.0,3.7393880633960506,0.0,False
United_States_of_America.regions.California:Humboldt,0.6936579841449604,0.0,9.817325112416441,0.0,False
United_States_of_America.regions.California:Mendocino,1.8204983012457534,0.0,6.504069413849442,0.0,False
United_States_of_America.regions.Colorado:Fremont,3.9949037372593432,0.0,3.7590714068681286,0.0,False
United_States_of_America.regions.Colorado:La Plata,34.38561721404303,0.0,53.82578468364412,0.0,False
United_States_of_America.regions.Colorado:Mesa,12.98131370328426,0.0,3.140802306305629,0.0,False
United_States_of_America.regions.Hawaii:Hawaii,17.369762174405437,0.0,2.8396171521801663,0.0,False
United_States_of_America.regions.Idaho:Jefferson,2.0475651189127975,0.0,3.668183159161485,0.0,False
United_States_of_America.regions.Kansas:Butler,3.074745186862967,0.0,3.428530543168373,0.0,False
United_States_of_America.regions.Kansas:Ford,0.34824462061155154,0.0,5.390892749357604,0.0,False
United_States_of_America.regions.Maine:Hancock,4.257078142695357,0.0,2.8482899606610457,0.0,False
United_States_of_America.regions.Maine:Oxford,8.040770101925254,0.0,6.91586767268025,0.0,False
United_States_of_America.regions.Maine:Penobscot,19.41392978482446,0.0,5.263864195846117,0.0,False
United_States_of_America.regions.Minnesota:Becker,4.067383918459797,0.0,9.306145889241279,0.0,False
United_States_of_America.regions.Minnesota:Morrison,8.074745186862968,0.0,19.76739995056474,0.0,False
United_States_of_America.regions.Minnesota:Otter Tail,2.4801812004530013,0.0,3.7114583552607643,0.0,False
United_States_of_America.regions.Montana:Cascade,9.095130237825595,0.0,4.2732272306508445,0.0,False
United_States_of_America.regions.Montana:Gallatin,65.56058890147226,0.0,49.27716682140227,0.0,False
United_States_of_America.regions.Nevada:Lyon,6.19762174405436,0.0,5.0040776169934755,0.0,False
United_States_of_America.regions.New Mexico:Curry,6.316534541336353,0.0,6.906005205226326,0.0,False
United_States_of_America.regions.New York:Franklin,9.37995469988675,0.0,11.745055521277322,0.0,False
United_States_of_America.regions.North Dakota:Grand Forks,72.04643261608153,0.0,95.69820262607952,0.0,False
United_States_of_America.regions.North Dakota:Ward,5.889014722536807,0.0,3.7812998789009775,0.0,False
United_States_of_America.regions.Oklahoma:Le Flore,2.434881087202718,0.0,2.496852213740515,0.0,False
United_States_of_America.regions.Oregon:Coos,13.261608154020387,0.0,14.917996970931352,0.0,False
United_States_of_America.regions.Oregon:Umatilla,2.014722536806342,0.0,5.797633121718218,0.0,False
United_States_of_America.regions.South Dakota:Pennington,5.478482446206115,0.0,4.2512237765051895,0.0,False
United_States_of_America.regions.Texas:Maverick,6.41845979614949,0.0,4.997869458466092,0.0,False
United_States_of_America.regions.Utah:Wasatch,55.66421291053228,0.0,157.7544431762377,0.0,False
United_States_of_America.regions.Washington:Clallam,6.877123442808607,0.0,2.9209399938083696,0.0,False
United_States_of_America.regions.Washington:Grays Harbor,0.7701019252548131,0.0,7.823376627107528,0.0,False
United_States_of_America.regions.West Virginia:Randolph,2.007361268403171,0.0,4.0881290029403585,0.0,False
United_States_of_America.regions.Wisconsin:Douglas,4.711211778029445,0.0,5.787911157010671,0.0,False
United_States_of_America.regions.Wisconsin:Oneida,3.6070215175537945,0.0,5.625813329147556,0.0,False
United_States_of_America.regions.Wyoming:Laramie,37.771234428086075,0.0,29.346423647786846,0.0,False
Brazil.regions.AL:Canapi,0.0,0.0,0.5893787783100679,0.0,True
Brazil.regions.AL:Maravilha,1.0666666666666667,0.0,16.322393573929862,0.0,True
Brazil.regions.AL:Olho d'Água do Casado,0.0,0.0,4.436859945718579,0.0,True
Brazil.regions.BA:Adustina,0.6936579841449604,0.9767836919592299,4.686472126874572,5.73229866173257,True
Brazil.regions.BA:Aiquara,0.41902604756511896,0.0,24.35490522985236,0.0,True
Brazil.regions.BA:Araças,0.0,0.0,1.9801205720954727,0.0,True
Brazil.regions.BA:Aurelino Leal,0.6936579841449604,0.0,4.0963249714174506,0.0,True
Brazil.regions.BA:Barra do Rocha,1.3561721404303508,0.0,40.24310641730182,0.0,True
Brazil.regions.BA:Barro Preto,1.2599093997734994,0.0,39.638902353836244,0.0,True
Brazil.regions.BA:Caldeirão Grande,0.6024464831804281,0.0,6.441327134250944,0.0,True
Brazil.regions.BA:Conde,0.6936579841449604,0.0,6.684598335585341,0.0,True
Brazil.regions.BA:Cravolândia,0.5979614949037373,0.0,29.534609575893274,0.0,True
Brazil.regions.BA:Dário Meira,1.285377358490566,0.0,16.266128878792273,0.0,True
Brazil.regions.BA:Itaberaba,0.44733861834654587,0.14439411098527746,7.23507595885836,0.22390502408980986,True
Brazil.regions.BA:Itamaraju,0.6936579841449604,0.0,9.004292539617653,0.0,True
Brazil.regions.BA:Itatim,0.7984144960362402,0.0,6.252161367536206,0.0,True
Brazil.regions.BA:Juazeiro,1.9467723669309172,0.07361268403171008,8.875130821462623,0.03396876152210592,True
Brazil.regions.BA:Nordestina,0.8614668218859138,0.0,8.049851984388917,0.0,True
Brazil.regions.BA:Ponto Novo,0.6666666666666666,0.0,4.943099393410054,0.0,True
Brazil.regions.CE:Antonina do Norte,0.14691943127962087,0.0,9.505843959297286,0.0,True
Brazil.regions.CE:Apuiarés,6.710079275198187,0.891845979614949,47.00482751426283,6.108534106951706,True
Brazil.regions.CE:Aurora,0.8262849707221861,1.0,3.956033035626831,4.0561369351829315,True
Brazil.regions.CE:Caridade,4.9892412231030585,1.143827859569649,19.084843152649572,5.073082270677469,True
Brazil.regions.CE:Croatá,0.6936579841449604,0.0,5.018837798510544,0.0,True
Brazil.regions.CE:Ibicuitinga,16.61381653454134,0.8069082672706682,135.61244449922276,6.442381375414517,True
Brazil.regions.CE:Itatira,13.776896942242356,1.4269535673839184,60.987287734042646,6.591922979553371,True
Brazil.regions.CE:Jucás,2.614949037372593,0.0,7.501085319922451,0.0,True
Brazil.regions.CE:Milhã,7.777251184834124,0.5639810426540285,60.827234227961796,4.287199107974371,True
Brazil.regions.CE:Pentecoste,11.20215175537939,1.8657984144960362,23.703410571184385,4.94238143226944,True
Brazil.regions.CE:Piquet Carneiro,0.0,0.0,0.33550867160563413,0.0,True
Brazil.regions.CE:Quixelô,1.6477916194790487,0.0,10.138192974009069,0.0,True
Brazil.regions.CE:São João do Jaguaribe,2.3640996602491504,0.0,41.55937124291767,0.0,True
Brazil.regions.CE:Tejuçuoca,24.150805270863838,0.22693997071742314,124.80713019129468,1.1827798546798518,True
Brazil.regions.ES:Conceição da Barra,0.4459203036053131,0.0,2.132999881566306,0.0,True
Brazil.regions.ES:Domingos Martins,30.748584371460925,0.0,85.2861719150399,0.0,True
Brazil.regions.ES:Ibitirama,0.31438415159345395,0.0,3.8220257787137877,0.0,True
Brazil.regions.ES:Muniz Freire,2.0327304048234285,0.3359173126614987,11.17483899668509,1.9233742494216932,True
Brazil.regions.ES:Pancas,13.883817427385893,0.0,57.87103756110933,0.0,True
Brazil.regions.ES:Pinheiros,4.300172265288545,0.9909560723514212,12.567167383646215,3.6638298974060746,True
Brazil.regions.ES:Rio Bananal,4.0440020953378735,0.0,20.118682703960047,0.0,True
Brazil.regions.ES:São Domingos do Norte,0.0,0.0,5.344671116153467,0.0,True
Brazil.regions.GO:Campos Belos,11.344398340248961,1.0,55.78068582054282,5.028410519434806,True
Brazil.regions.GO:Catalão,0.6936579841449604,0.0,9.63609333845651,0.0,True
Brazil.regions.GO:Guapó,0.6936579841449604,0.0,4.248111502268689,0.0,True
Brazil.regions.GO:Jaraguá,4.290519877675841,0.0,3.3880386717037307,0.0,True
Brazil.regions.GO:Rio Verde,4.388448471121178,0.0,7.973992375597668,0.0,True
Brazil.regions.MA:Anajatuba,17.066817667044166,1.5096262740656852,59.55505821584041,5.632303376732772,True
Brazil.regions.MA:Anapurus,19.401431359791804,0.0,123.4595425283389,0.0,True
Brazil.regions.MA:Arari,16.528878822197058,0.9513023782559457,50.58095233929259,3.1871561855264865,True
Brazil.regions.MA:Bequimão,19.890995260663512,0.5639810426540285,91.5621272517527,2.6502868545772023,True
Brazil.regions.MA:Buriticupu,41.04042412193506,0.0,50.54430003925815,0.0,True
Brazil.regions.MA:Cajari,14.69551073519844,0.0,74.66962579145623,0.0,True
Brazil.regions.MA:Cantanhede,0.36240090600226504,0.0,2.3071904353552815,0.0,True
Brazil.regions.MA:Caxias,18.099093997734993,0.0,3.717928165621446,0.0,True
Brazil.regions.MA:Central do Maranhão,0.8928571428571429,0.0,15.592627751686365,0.0,True
Brazil.regions.MA:Codó,103.63533408833523,0.27746319365798416,75.98866259284608,0.22583872053165346,True
Brazil.regions.MA:Coroatá,55.38998835855647,0.0,80.23897510864771,0.0,True
Brazil.regions.MA:Governador Edison Lobão,17.963302752293576,0.0,97.29095867588904,0.0,True
Brazil.regions.MA:Lago Verde,1.6666666666666667,0.0,10.171107658477714,0.0,True
Brazil.regions.MA:Monção,12.72933182332956,1.3080407701019254,33.32158135062396,3.912307142734717,True
Brazil.regions.MA:Nina Rodrigues,1.6666666666666667,0.0,12.217250755767587,0.0,True
Brazil.regions.MA:Olho d'Água das Cunhãs,16.106693174287606,0.0,81.48524386646106,0.0,True
Brazil.regions.MA:Peritoró,9.139150943396226,0.0,37.46207802806454,0.0,True
Brazil.regions.MA:Pirapemas,17.258440046565774,0.10477299185098952,91.8932383217191,0.5625395535623599,True
Brazil.regions.MA:Presidente Sarney,8.323651452282157,0.7634854771784232,43.005359437643676,4.035762116388748,True
Brazil.regions.MA:Senador Alexandre Costa,0.8056265984654731,0.0,9.97495967996114,0.0,True
Brazil.regions.MA:São Bernardo,22.11764705882353,0.0,74.86255034147175,0.0,True
Brazil.regions.MA:Vargem Grande,7.81426953567384,0.0,7.390569801910537,0.0,True
Brazil.regions.MA:Vitorino Freire,7.2536806342015865,0.05379388448471121,19.911110088071617,0.1706496351385059,True
Brazil.regions.MA:Água Doce do Maranhão,6.801752464403068,0.0,56.07472374567449,0.0,True
Brazil.regions.MG:Cana Verde,4.534526854219949,0.0,92.5458371776152,0.0,True
Brazil.regions.MG:Capinópolis,0.1078838174273859,0.0,0.7212788935348843,0.0,True
Brazil.regions.MG:Cruzília,0.0,0.0,0.2542634791032725,0.0,True
Brazil.regions.MG:Divinésia,0.6936579841449604,0.0,18.71042079047736,0.0,True
Brazil.regions.MG:Divisa Nova,0.2464454976303318,0.0,8.868215527488813,0.0,True
Brazil.regions.MG:Goianá,0.7049830124575311,0.0,42.50071349093712,0.0,True
Brazil.regions.MG:Inhapim,0.0,0.0,2.089580690808045,0.0,True
Brazil.regions.MG:Itaipé,0.0,0.0,1.6049078335522047,0.0,True
Brazil.regions.MG:Itumirim,0.1078838174273859,0.0,9.698598109005072,0.0,True
Brazil.regions.MG:Lagoa Dourada,0.0,0.0,1.454903170756662,0.0,True
Brazil.regions.MG:Malacacheta,0.0,0.0,0.8701524671529146,0.0,True
