region,similarity,distance,days,score
Brazil.regions.BA:Santa Teresinha,1.0,0.0,8,1.0
Brazil.regions.AP:Mazagão,1.0,0.0,8,1.0
Brazil.regions.SC:Santa Rosa de Lima,1.0,0.0,8,1.0
Brazil.regions.RJ:Bom Jardim,1.0,0.0,8,1.0
Brazil.regions.SC:Paial,1.0,0.0,8,1.0
Brazil.regions.RJ:Aperibé,1.0,0.0,8,1.0
Brazil.regions.MS:Paranaíba,1.0,0.0,8,1.0
Cameroon,1.0,0.0,8,1.0
Brazil.regions.PI:Castelo do Piauí,1.0,0.0,8,1.0
Brazil.regions.SC:Herval d'Oeste,1.0,0.0,8,1.0
Brazil.regions.SP:Santo Antônio do Pinhal,1.0,0.0,8,1.0
Brazil.regions.RS:Alvorada,1.0,0.0,8,1.0
Brazil.regions.CE:Deputado Irapuan Pinheiro,1.0,0.0,8,1.0
Brazil.regions.SP:Votorantim,1.0,0.0,8,1.0
Brazil.regions.SP:Cosmorama,1.0,0.0,8,1.0
Brazil.regions.PR:Palmeira,1.0,0.0,8,1.0
Brazil.regions.SC:Balneário Barra do Sul,1.0,0.0,8,1.0
Brazil.regions.CE:Frecheirinha,1.0,0.0,8,1.0
Brazil.regions.SP:Matão,1.0,0.0,8,1.0
Brazil.regions.MT:Várzea Grande,1.0,0.0,8,1.0
Brazil.regions.SP:Orlândia,1.0,0.0,8,1.0
Brazil.regions.RS:Encantado,1.0,0.0,8,1.0
Brazil.regions.AL:Marechal Deodoro,1.0,0.0,8,1.0
Brazil.regions.PR:Araucária,1.0,0.0,8,1.0
Brazil.regions.RS:Rio Grande,1.0,0.0,8,1.0
Brazil.regions.AL:Porto Calvo,1.0,0.0,8,1.0
Brazil.regions.MS:Bataguassu,1.0,0.0,8,1.0
Brazil.regions.ES:João Neiva,1.0,0.0,8,1.0
Brazil.regions.PE:São João,1.0,0.0,8,1.0
Nicaragua,1.0,0.0,8,1.0
Brazil.regions.MG:São Lourenço,1.0,0.0,8,1.0
Brazil.regions.RJ:Piraí,1.0,0.0,8,1.0
Brazil.regions.SE:Carira,1.0,0.0,8,1.0
Brazil.regions.MG:Borda da Mata,1.0,0.0,8,1.0
Brazil.regions.PE:Petrolina,1.0,0.0,8,1.0
Brazil.regions.SE:Propriá,1.0,0.0,8,1.0
Brazil.regions.PA:Muaná,0.9999996433701228,0.125,8,0.9999996433701228
Brazil.regions.CE:Banabuiú,0.9999992867402456,0.25,8,0.9999992867402456
Brazil.regions.RN:Portalegre,0.9999992867402456,0.25,8,0.9999992867402456
Brazil.regions.SP:Paraibuna,0.9999992867402456,0.25,8,0.9999992867402456
Brazil.regions.CE:Ipu,0.9999992867402456,0.25,8,0.9999992867402456
Belize,0.9999992867402456,0.25,8,0.9999992867402456
Brazil.regions.SC:Fraiburgo,0.9999992867402456,0.25,8,0.9999992867402456
Brazil.regions.MG:São João del Rei,0.9999992867402456,0.25,8,0.9999992867402456
Brazil.regions.MG:Itapecerica,0.9999992867402456,0.25,8,0.9999992867402456
Brazil.regions.SP:Ubatuba,0.9999992867402456,0.25,8,0.9999992867402456
Brazil.regions.GO:Aparecida de Goiânia,0.9999992867402456,0.25,8,0.9999992867402456
Brazil.regions.SP:Bady Bassitt,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.PI:Nazária,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.RS:Pinto Bandeira,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.SE:Porto da Folha,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.PE:Chã de Alegria,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.PA:Terra Santa,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.SP,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.SE:Pacatuba,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.PA:São João de Pirabas,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.RS:São Luiz Gonzaga,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.CE:Ipueiras,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.MG:Janaúba,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.PA:Magalhães Barata,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.PI:Vila Nova do Piauí,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.MG:Itajubá,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.PR:Bandeirantes,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.AM:Alvarães,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.RS:Sapiranga,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.MG:Mariana,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.MG:Lagoa da Prata,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.RS:Santa Maria,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.PA:Pacajá,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.BA:Juazeiro,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.CE:Pacatuba,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.PE:Itapissuma,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.SC:Balneário Piçarras,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.MA:Santa Luzia,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.PB:Itabaiana,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.PE:Triunfo,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.SC:Rio do Sul,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.MG:Conceição das Alagoas,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.BA:São José da Vitória,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.SP:Cajuru,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.SP:Guaraçaí,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.BA:Ibicaraí,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.CE:Acopiara,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.PB:Pombal,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.SP:Holambra,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.SC:Jaraguá do Sul,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.SC:Jaguaruna,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.PI:Fartura do Piauí,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.SP:Itapura,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.PA:Xinguara,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.PB:Esperança,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.SE:Divina Pastora,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.MG:Governador Valadares,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.MG:Guaxupé,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.PB:Campina Grande,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.SP:Birigui,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.SP:Jandira,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.PI:Marcos Parente,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.SP:José Bonifácio,0.9999989301103684,0.375,8,0.9999989301103684
Brazil.regions.PE:Joaquim Nabuco,0.9999989301103684,0.375,8,0.9999989301103684
