region,cases_distance,deaths_distance,cases_per_100k_distance,deaths_per_100k_distance,is_same_cluster
Brazil.regions.RS:Canoas,8.295338719701679,5.13113735239279,1.4226258969617316,2.744012046916885,False
Brazil.regions.BA:Bom Jesus da Lapa,2.0,0.0,3.854080481528996,0.0,False
Brazil.regions.GO:Formosa,5.1035164524784635,3.5870639740149697,1.665069619169422,1.7377165319996561,False
Brazil.regions.GO:Minaçu,1.4019715224534504,0.0,8.943655952317764,0.0,False
Brazil.regions.GO:Padre Bernardo,0.0,0.0,2.4710796387178453,0.0,False
Brazil.regions.GO:Quirinópolis,0.25,0.0,2.0123144256922076,0.0,False
Brazil.regions.MA:Arame,6.24315443592552,0.0,22.679972693162913,0.0,False
Brazil.regions.MA:Parnarama,3.0,0.0,10.974579887043879,0.0,False
Brazil.regions.MG:Diamantina,3.8666666666666667,0.0,9.713298543387447,0.0,False
Brazil.regions.MT:Sorriso,16.111954459203037,0.0,18.841131367038,0.0,False
Brazil.regions.PA:Breu Branco,0.5660377358490566,0.0,2.9585530151319346,0.22107132459618095,False
Brazil.regions.PA:Ulianópolis,22.62239089184061,0.0,40.14287174800864,0.0,False
Brazil.regions.RS:Caçapava do Sul,0.7800829875518672,0.0,2.111723107754595,0.0,False
Brazil.regions.RS:Itaqui,0.7272727272727273,0.0,4.106928433909441,0.0,False
Brazil.regions.RS:São Borja,2.155555555555556,0.0,4.750216580477625,0.0,False
United_States_of_America.regions.Kansas:Cowley,11.706041174485318,4.752784340195747,1.477592075271583,1.3224262481813478,False
Brazil.regions.AL:Canapi,0.2941176470588235,0.0,5.015781897625876,0.0,False
Brazil.regions.AL:Maravilha,1.0666666666666667,0.0,22.070036542166513,0.0,False
Brazil.regions.AL:Olho d'Água do Casado,0.0,0.0,10.184502913955237,0.0,False
Brazil.regions.BA:Araças,0.0,0.0,7.727763540332129,0.0,False
Brazil.regions.BA:Ponto Novo,0.6666666666666666,0.0,10.690742361646713,0.0,False
Brazil.regions.CE:Piquet Carneiro,0.0,0.0,5.412134296631023,0.0,False
Brazil.regions.ES:Conceição da Barra,0.22770398481973436,0.0,4.273265437716157,0.0,False
Brazil.regions.ES:Pancas,13.211618257261412,0.0,63.801654742358615,0.0,False
Brazil.regions.ES:São Domingos do Norte,0.0,0.0,11.092314084390125,0.0,False
Brazil.regions.MA:Central do Maranhão,0.8928571428571429,0.0,21.340270719923023,0.0,False
Brazil.regions.MA:Lago Verde,1.6666666666666667,0.0,15.91875062671437,0.0,False
Brazil.regions.MA:Nina Rodrigues,1.6666666666666667,0.0,17.964893724004245,0.0,False
Brazil.regions.MA:Senador Alexandre Costa,0.5115089514066496,0.0,15.580120355897087,0.0,False
Brazil.regions.MA:São Bernardo,21.823529411764707,0.0,80.4677110174077,0.0,False
Brazil.regions.MA:Água Doce do Maranhão,6.549835706462212,0.0,62.51872206253285,0.0,False
