region,similarity,distance,days,is_same_cluster,score
Brazil.regions.CE:Reriutaba,1.0,0.0,9,False,1.0
Brazil.regions.PA:Bujaru,1.0,0.0,9,False,1.0
Brazil.regions.PE:Iguaracy,1.0,0.0,9,False,1.0
Brazil.regions.CE:Graça,1.0,0.0,9,False,1.0
Brazil.regions.BA:Sátiro Dias,1.0,0.0,9,False,1.0
Brazil.regions.PI:Luzilândia,1.0,0.0,9,False,1.0
Brazil.regions.SE:Nossa Senhora do Socorro,1.0,0.0,9,False,1.0
Brazil.regions.BA:Coaraci,1.0,0.0,9,False,1.0
Brazil.regions.MA:Tuntum,1.0,0.0,9,False,1.0
Brazil.regions.PI:Alvorada do Gurguéia,1.0,0.0,9,False,1.0
Brazil.regions.PE:Gravatá,1.0,0.0,9,False,1.0
Brazil.regions.SC:Indaial,1.0,0.0,9,False,1.0
Brazil.regions.SE:Tomar do Geru,1.0,0.0,9,False,1.0
Brazil.regions.MA:Morros,1.0,0.0,9,False,1.0
Brazil.regions.CE:Irauçuba,1.0,0.0,9,False,1.0
Brazil.regions.SP:Vinhedo,1.0,0.0,9,False,1.0
Brazil.regions.BA:Rio Real,1.0,0.0,9,False,1.0
Brazil.regions.RN:Porto do Mangue,1.0,0.0,9,False,1.0
Brazil.regions.MG:São Gotardo,1.0,0.0,9,False,1.0
Brazil.regions.MA:Bacabeira,1.0,0.0,9,False,1.0
Brazil.regions.MG:Toledo,1.0,0.0,9,False,1.0
Brazil.regions.ES:Venda Nova do Imigrante,1.0,0.0,9,False,1.0
Brazil.regions.RN:Macaíba,1.0,0.0,9,False,1.0
Brazil.regions.BA:Caetanos,1.0,0.0,9,False,1.0
Brazil.regions.ES:Viana,1.0,0.0,9,False,1.0
Brazil.regions.MA:Barreirinhas,1.0,0.0,9,False,1.0
Brazil.regions.SP:Pindorama,1.0,0.0,9,True,1.0
Brazil.regions.PE:Bezerros,1.0,0.0,9,False,1.0
Brazil.regions.MG:Frutal,1.0,0.0,9,False,1.0
Brazil.regions.SP:Quintana,1.0,0.0,9,False,1.0
Brazil.regions.SP:Poá,1.0,0.0,9,False,1.0
Brazil.regions.RS:Chapada,1.0,0.0,9,False,1.0
Brazil.regions.BA:Teixeira de Freitas,1.0,0.0,9,False,1.0
Brazil.regions.PI:Elesbão Veloso,1.0,0.0,9,False,1.0
Brazil.regions.PE:Frei Miguelinho,1.0,0.0,9,False,1.0
Brazil.regions.CE:Barroquinha,1.0,0.0,9,False,1.0
Brazil.regions.CE:Caririaçu,1.0,0.0,9,False,1.0
Brazil.regions.BA:Jaguarari,1.0,0.0,9,False,1.0
Brazil.regions.PE:Aliança,1.0,0.0,9,False,1.0
Brazil.regions.RN:Currais Novos,1.0,0.0,9,False,1.0
Brazil.regions.SP:Pracinha,1.0,0.0,9,False,1.0
Brazil.regions.RN:Areia Branca,1.0,0.0,9,True,1.0
Brazil.regions.SP:Coroados,1.0,0.0,9,False,1.0
Brazil.regions.SC:São Ludgero,1.0,0.0,9,False,1.0
Brazil.regions.SP:Ribeirão Pires,1.0,0.0,9,False,1.0
Brazil.regions.RS:Espumoso,1.0,0.0,9,False,1.0
Brazil.regions.AP:Oiapoque,1.0,0.0,9,False,1.0
Brazil.regions.PI:José de Freitas,1.0,0.0,9,False,1.0
Brazil.regions.PR:Umuarama,1.0,0.0,9,True,1.0
