region,similarity,distance,days,score
Brazil.regions.SP:Votuporanga,0.9999991221418407,0.3076923076923077,13,0.9999991221418406
Brazil.regions.RS:Sapucaia do Sul,0.999998902677301,0.38461538461538464,13,0.9999989026773008
Brazil.regions.MA:Vargem Grande,0.9999986832127612,0.46153846153846156,13,0.9999986832127611
Brazil.regions.SP:Cabreúva,0.9999986832127612,0.46153846153846156,13,0.9999986832127611
Brazil.regions.PR:Guaratuba,0.9999986832127612,0.46153846153846156,13,0.9999986832127611
Brazil.regions.SP:Vargem Grande do Sul,0.9999986832127612,0.46153846153846156,13,0.9999986832127611
Brazil.regions.SP:Cajamar,0.9999984637482213,0.5384615384615384,13,0.9999984637482212
Brazil.regions.CE:Mulungu,0.9999984637482213,0.5384615384615384,13,0.9999984637482212
Brazil.regions.RS:Esteio,0.9999984637482213,0.5384615384615384,13,0.9999984637482212
Brazil.regions.SP:Regente Feijó,0.9999982442836816,0.6153846153846154,13,0.9999982442836814
Brazil.regions.PA:Alenquer,0.9999982442836816,0.6153846153846154,13,0.9999982442836814
Brazil.regions.MA:Zé Doca,0.9999982442836816,0.6153846153846154,13,0.9999982442836814
Brazil.regions.PE:Gravatá,0.9999982442836816,0.6153846153846154,13,0.9999982442836814
Brazil.regions.MT:Querência,0.9999980248191418,0.6923076923076923,13,0.9999980248191417
Curaçao,0.9999980248191418,0.6923076923076923,13,0.9999980248191417
Brazil.regions.BA:Santo Amaro,0.9999980248191418,0.6923076923076923,13,0.9999980248191417
Brazil.regions.PB:Coxixola,0.9999980248191418,0.6923076923076923,13,0.9999980248191417
Brazil.regions.PB:Cruz do Espírito Santo,0.9999980248191418,0.6923076923076923,13,0.9999980248191417
Brazil.regions.RS:Maratá,0.9999980248191418,0.6923076923076923,13,0.9999980248191417
Brazil.regions.MA:Milagres do Maranhão,0.9999980248191418,0.6923076923076923,13,0.9999980248191417
Brazil.regions.MA:Vitória do Mearim,0.9999980248191418,0.6923076923076923,13,0.9999980248191417
Brazil.regions.CE:São Luís do Curu,0.9999980248191418,0.6923076923076923,13,0.9999980248191417
Brazil.regions.SC:Joinville,0.9999980248191418,0.6923076923076923,13,0.9999980248191417
Brazil.regions.BA:Una,0.9999980248191418,0.6923076923076923,13,0.9999980248191417
Brazil.regions.SC:Capivari de Baixo,0.9999980248191418,0.6923076923076923,13,0.9999980248191417
Brazil.regions.ES:Venda Nova do Imigrante,0.9999980248191418,0.6923076923076923,13,0.9999980248191417
Brazil.regions.BA:Barro Preto,0.9999980248191418,0.6923076923076923,13,0.9999980248191417
Guinea,0.9999980248191418,0.6923076923076923,13,0.9999980248191417
Brazil.regions.MG:Itanhandu,0.9999980248191418,0.6923076923076923,13,0.9999980248191417
Brazil.regions.RO:Espigão D'Oeste,0.9999980248191418,0.6923076923076923,13,0.9999980248191417
Brazil.regions.PI:Pio IX,0.9999980248191418,0.6923076923076923,13,0.9999980248191417
Brazil.regions.PR:Guaraci,0.9999980248191418,0.6923076923076923,13,0.9999980248191417
Brazil.regions.PB:Alagoa Grande,0.9999980248191418,0.6923076923076923,13,0.9999980248191417
Brazil.regions.PA:Salinópolis,0.9999980248191418,0.6923076923076923,13,0.9999980248191417
Brazil.regions.BA:Jaguaquara,0.9999980248191418,0.6923076923076923,13,0.9999980248191417
Brazil.regions.BA:Itaparica,0.9999980248191418,0.6923076923076923,13,0.9999980248191417
Brazil.regions.PR:Pinhais,0.9999980248191418,0.6923076923076923,13,0.9999980248191417
Brazil.regions.SP:Ilhabela,0.9999978053546019,0.7692307692307693,13,0.9999978053546018
Brazil.regions.ES:Pedro Canário,0.9999978053546019,0.7692307692307693,13,0.9999978053546018
Brazil.regions.SP:Valinhos,0.9999978053546019,0.7692307692307693,13,0.9999978053546018
Brazil.regions.GO:Santo Antônio do Descoberto,0.9999978053546019,0.7692307692307693,13,0.9999978053546018
Brazil.regions.PA:Parauapebas,0.9999978053546019,0.7692307692307693,13,0.9999978053546018
Brazil.regions.SP:Álvares Machado,0.9999978053546019,0.7692307692307693,13,0.9999978053546018
Brazil.regions.CE:Várzea Alegre,0.9999978053546019,0.7692307692307693,13,0.9999978053546018
Brazil.regions.BA:Simões Filho,0.9999978053546019,0.7692307692307693,13,0.9999978053546018
Brazil.regions.CE:Senador Pompeu,0.9999978053546019,0.7692307692307693,13,0.9999978053546018
Brazil.regions.SP:Paulínia,0.9999978053546019,0.7692307692307693,13,0.9999978053546018
Brazil.regions.SE:Areia Branca,0.9999978053546019,0.7692307692307693,13,0.9999978053546018
Brazil.regions.PA:Monte Alegre,0.9999978053546019,0.7692307692307693,13,0.9999978053546018
Brazil.regions.RS:Montenegro,0.9999978053546019,0.7692307692307693,13,0.9999978053546018
Brazil.regions.MS:Ladário,0.9999978053546019,0.7692307692307693,13,0.9999978053546018
Central_African_Republic,0.9999978053546019,0.7692307692307693,13,0.9999978053546018
Brazil.regions.RS:Ijuí,0.9999978053546019,0.7692307692307693,13,0.9999978053546018
Brazil.regions.PA:Santa Maria do Pará,0.9999978053546019,0.7692307692307693,13,0.9999978053546018
Brazil.regions.MG:Senador José Bento,0.9999978053546019,0.7692307692307693,13,0.9999978053546018
Brazil.regions.RS:Marau,0.9999978053546019,0.7692307692307693,13,0.9999978053546018
Brazil.regions.PR:Três Barras do Paraná,0.9999978053546019,0.7692307692307693,13,0.9999978053546018
Brazil.regions.PA:Itaituba,0.9999978053546019,0.7692307692307693,13,0.9999978053546018
Brazil.regions.ES:Nova Venécia,0.9999978053546019,0.7692307692307693,13,0.9999978053546018
Brazil.regions.RN:Areia Branca,0.9999975858900622,0.8461538461538461,13,0.999997585890062
Brazil.regions.PR:Piraquara,0.9999975858900622,0.8461538461538461,13,0.999997585890062
Brazil.regions.MG:Guaxupé,0.9999975858900622,0.8461538461538461,13,0.999997585890062
Brazil.regions.PE:Afogados da Ingazeira,0.9999975858900622,0.8461538461538461,13,0.999997585890062
Brazil.regions.PA:Curralinho,0.9999975858900622,0.8461538461538461,13,0.999997585890062
Brazil.regions.RN:Pau dos Ferros,0.9999975858900622,0.8461538461538461,13,0.999997585890062
Brazil.regions.PA:Santo Antônio do Tauá,0.9999975858900622,0.8461538461538461,13,0.999997585890062
Brazil.regions.CE:Trairi,0.9999975858900622,0.8461538461538461,13,0.999997585890062
Brazil.regions.SP:Poá,0.9999975858900622,0.8461538461538461,13,0.999997585890062
Brazil.regions.MT:Confresa,0.9999975858900622,0.8461538461538461,13,0.999997585890062
Brazil.regions.CE:Reriutaba,0.9999975858900622,0.8461538461538461,13,0.999997585890062
Brazil.regions.PR:Cianorte,0.9999975858900622,0.8461538461538461,13,0.999997585890062
Brazil.regions.PR:Cruzeiro do Sul,0.9999975858900622,0.8461538461538461,13,0.999997585890062
Brazil.regions.RJ:Silva Jardim,0.9999975858900622,0.8461538461538461,13,0.999997585890062
Brazil.regions.AL:Penedo,0.9999975858900622,0.8461538461538461,13,0.999997585890062
Brazil.regions.PA:Cachoeira do Arari,0.9999975858900622,0.8461538461538461,13,0.999997585890062
Brazil.regions.RJ:Angra dos Reis,0.9999975858900622,0.8461538461538461,13,0.999997585890062
Brazil.regions.PI:Elesbão Veloso,0.9999975858900622,0.8461538461538461,13,0.999997585890062
Brazil.regions.TO:Porto Nacional,0.9999975858900622,0.8461538461538461,13,0.999997585890062
Brazil.regions.GO:Itumbiara,0.9999975858900622,0.8461538461538461,13,0.999997585890062
Brazil.regions.SP:Igarapava,0.9999973664255223,0.9230769230769231,13,0.9999973664255222
Brazil.regions.CE:Graça,0.9999973664255223,0.9230769230769231,13,0.9999973664255222
Brazil.regions.GO:Carmo do Rio Verde,0.9999973664255223,0.9230769230769231,13,0.9999973664255222
Brazil.regions.PE:Santa Cruz do Capibaribe,0.9999973664255223,0.9230769230769231,13,0.9999973664255222
Brazil.regions.SC:Morro da Fumaça,0.9999973664255223,0.9230769230769231,13,0.9999973664255222
Brazil.regions.MT:Primavera do Leste,0.9999973664255223,0.9230769230769231,13,0.9999973664255222
Brazil.regions.RS:Santa Rosa,0.9999973664255223,0.9230769230769231,13,0.9999973664255222
Brazil.regions.SP:Barueri,0.9999973664255223,0.9230769230769231,13,0.9999973664255222
Brazil.regions.PR:Mandirituba,0.9999973664255223,0.9230769230769231,13,0.9999973664255222
Brazil.regions.PE:Petrolândia,0.9999973664255223,0.9230769230769231,13,0.9999973664255222
Brazil.regions.PA:Bujaru,0.9999973664255223,0.9230769230769231,13,0.9999973664255222
Brazil.regions.PR:Mandaguaçu,0.9999973664255223,0.9230769230769231,13,0.9999973664255222
Brazil.regions.RS:Caxias do Sul,0.9999973664255223,0.9230769230769231,13,0.9999973664255222
Brazil.regions.SP:Ribeirão Branco,0.9999973664255223,0.9230769230769231,13,0.9999973664255222
Brazil.regions.CE:Granja,0.9999973664255223,0.9230769230769231,13,0.9999973664255222
Brazil.regions.PE:Chã de Alegria,0.9999973664255223,0.9230769230769231,13,0.9999973664255222
Brazil.regions.MA:São João Batista,0.9999973664255223,0.9230769230769231,13,0.9999973664255222
Brazil.regions.BA:Itacaré,0.9999973664255223,0.9230769230769231,13,0.9999973664255222
Brazil.regions.MA:Urbano Santos,0.9999973664255223,0.9230769230769231,13,0.9999973664255222
Brazil.regions.AM:Santa Isabel do Rio Negro,0.9999973664255223,0.9230769230769231,13,0.9999973664255222
Brazil.regions.MG:Estiva,0.9999973664255223,0.9230769230769231,13,0.9999973664255222
