region,similarity,distance,days,score
Brazil.regions.SP,0.9937263257027578,2198.9444444444443,72,0.9937263257027578
Ireland,0.9933263058571838,2339.152777777778,72,0.9933263058571838
Mexico,0.9928998557751563,2488.625,72,0.9928998557751563
Ecuador,0.9924655202102889,2640.8611111111113,72,0.9924655202102889
Poland,0.9924476887164297,2647.1111111111113,72,0.9924476887164297
Saudi_Arabia,0.9920789334234221,2776.3611111111113,72,0.9920789334234221
Israel,0.9918367817368146,2861.2361111111113,72,0.9918367817368146
Pakistan,0.9911980576267791,3085.1111111111113,72,0.9911980576267791
Belgium,0.9901289605060672,3459.8333333333335,72,0.9901289605060672
Brazil.regions.SP:São Paulo,0.989707225863527,3607.652777777778,72,0.989707225863527
Austria,0.9889802160461177,3862.472222222222,72,0.9889802160461177
Qatar,0.988715477800622,3955.2638888888887,72,0.988715477800622
Ukraine,0.9879493971988902,4223.777777777777,72,0.9879493971988902
Romania,0.9879108811721543,4237.277777777777,72,0.9879108811721543
Indonesia,0.9868602495539721,4605.527777777777,72,0.9868602495539721
Belarus,0.9867589270433101,4641.041666666667,72,0.9867589270433101
Czechia,0.9864832917737894,4737.652777777777,72,0.9864832917737894
Denmark,0.9862601603472982,4815.861111111111,72,0.9862601603472982
Norway,0.9861780958500042,4844.625,72,0.9861780958500042
Portugal,0.9850959619260041,5223.916666666667,72,0.9850959619260041
South_Korea,0.9847580749301438,5342.347222222223,72,0.9847580749301438
Sweden.regions.Stockholm,0.9841807704100678,5544.694444444444,72,0.9841807704100678
Dominican_Republic,0.9836360380854411,5735.625,72,0.9836360380854411
Argentina,0.9810830436713112,6630.458333333333,72,0.9810830436713112
Luxembourg,0.9807432942749811,6749.541666666667,72,0.9807432942749811
Morocco,0.9803761636291918,6878.222222222223,72,0.9803761636291918
France,0.9799707547099181,7020.319444444444,72,0.9799707547099181
Sweden,0.9797554295151831,7095.791666666667,72,0.9797554295151831
Canada,0.9795164082463865,7179.569444444444,72,0.9795164082463865
Algeria,0.9786395742550184,7486.902777777777,72,0.9786395742550184
Russia,0.9784785756782409,7543.333333333333,72,0.9784785756782409
Greece,0.9784085573456873,7567.875,72,0.9784085573456873
United_Kingdom,0.9778352550053441,7768.819444444444,72,0.9778352550053441
