region,similarity,distance,days,is_same_cluster,score
Brazil.regions.RJ:Rio de Janeiro,0.9898193226199009,657.6264510779441,71,False,0.9898193226199009
South_Africa,0.9881119710446455,767.9137645107799,71,False,0.9881119710446455
Dominican_Republic,0.9877224668047334,793.0740049751249,71,False,0.9877224668047334
Indonesia,0.9875547886841018,803.9052653399675,71,False,0.9875547886841018
Denmark,0.9840112188807283,1032.8041044776128,71,False,0.9840112188807283
Romania,0.9831582972434996,1087.899046434495,71,False,0.9831582972434996
Serbia,0.9821167770326557,1155.1766169154234,71,False,0.9821167770326557
Ukraine,0.9817020328230064,1181.9672470978448,71,False,0.9817020328230064
Sweden.regions.Stockholm,0.9815463890172528,1192.0211442786076,71,False,0.9815463890172528
South_Korea,0.9798757084062931,1299.939676616916,71,False,0.9798757084062931
Czechia,0.9757815221645733,1564.4058872305147,71,False,0.9757815221645733
Brazil.regions.RJ,0.9754381013277668,1586.5893449419577,71,False,0.9754381013277668
Qatar,0.97530096469372,1595.4477611940308,71,False,0.97530096469372
Belarus,0.9739557047936602,1682.3455638474309,71,False,0.9739557047936602
Norway,0.9739164119532964,1684.883706467662,71,False,0.9739164119532964
Argentina,0.9737714257367985,1694.2491708126045,71,False,0.9737714257367985
Pakistan,0.970605502361744,1898.7537313432847,71,False,0.970605502361744
Luxembourg,0.970318427791771,1917.2974709784423,71,False,0.970318427791771
Morocco,0.9700623536169234,1933.8387230514104,71,False,0.9700623536169234
Brazil.regions.SP:São Paulo,0.9668148119137919,2143.6154643449436,71,False,0.9668148119137919
Sweden,0.965331260085457,2239.4463101160877,71,False,0.965331260085457
Brazil.regions.BA,0.9646256609263878,2285.024875621892,71,False,0.9646256609263878
Hungary,0.9622151331007918,2440.7342454394707,71,False,0.9622151331007918
Algeria,0.9620481898756555,2451.518034825872,71,False,0.9620481898756555
Israel,0.9612485722304591,2503.1697761194046,71,False,0.9612485722304591
Canada,0.9607698824852748,2534.0910033167515,71,False,0.9607698824852748
Greece,0.9603020749698908,2564.3092868988406,71,False,0.9603020749698908
Poland,0.9597431019032934,2600.416459369819,71,False,0.9597431019032934
Moldova,0.9729803746899949,1745.3475479744143,70,False,0.9592764257506992
Brazil.regions.ES,0.9587197454850385,2666.5207296849103,71,False,0.9587197454850385
Russia,0.9558267956720709,2853.392412935325,71,False,0.9558267956720709
Sweden.regions.Västra Götaland,0.9557555396913914,2857.9952321724722,71,False,0.9557555396913914
Iceland,0.9553540621104635,2883.9288971807646,71,False,0.9553540621104635
Cameroon,0.9539968031961827,2971.6017827529035,71,False,0.9539968031961827
Kuwait,0.9538953715720909,2978.1538142620243,71,False,0.9538953715720909
Croatia,0.9535263320857724,3001.9921227197374,71,False,0.9535263320857724
Bosnia_and_Herzegovina,0.9532664454399714,3018.7796434494217,71,False,0.9532664454399714
Armenia,0.9531565673314106,3025.877280265341,71,False,0.9531565673314106
Bahrain,0.953144382186453,3026.6643864013276,71,False,0.953144382186453
Slovenia,0.9527823386485168,3050.050787728029,71,False,0.9527823386485168
Egypt,0.9524846385807944,3069.280887230515,71,False,0.9524846385807944
Estonia,0.9521093316232875,3093.5240464344956,71,False,0.9521093316232875
Iraq,0.9518180915757913,3112.3368573797698,71,False,0.9518180915757913
Australia,0.950516996006758,3196.3818407960216,71,False,0.950516996006758
Azerbaijan,0.9504126440555891,3203.122512437813,71,False,0.9504126440555891
Slovakia,0.9503133015885601,3209.539593698177,71,False,0.9503133015885601
Lithuania,0.9491429949536193,3285.136194029853,71,False,0.9491429949536193
Oman,0.9482055378703872,3345.691749585408,71,False,0.9482055378703872
New_Zealand,0.9479677045077437,3361.054726368161,71,False,0.9479677045077437
Bangladesh,0.9752039122208088,1601.7169190256752,69,False,0.9477333794821945
North_Macedonia,0.9477029848810878,3378.154436152572,71,False,0.9477029848810878
