region,similarity,distance,days,is_same_cluster,score
Bahamas,0.9999056223139524,57.45856019358742,57,True,1.4998584334709284
Montenegro,0.9995443590512534,277.4010889292196,57,True,1.4993165385768799
Sweden.regions.Jönköping,0.9994607318699,328.3145795523291,57,True,1.49919109780485
Sweden.regions.Uppsala,0.9992786350736396,439.17785843920143,57,True,1.4989179526104592
Brazil.regions.AC:Rio Branco,0.9992718115487542,443.3321234119782,57,True,1.498907717323131
Sweden.regions.Örebro,0.9992297018447215,468.96914700544465,57,True,1.498844552767082
Sweden.regions.Östergötland,0.9981036552895828,1154.5232909860858,57,True,1.497155482934374
Brazil.regions.BA:Juazeiro,0.999983792738146,9.86722571628232,53,True,1.3928345684567032
Brazil.regions.PA:Parauapebas,0.9998776772471599,74.47193877551021,48,True,1.258774575820085
Namibia,0.9999969037274584,1.8850574712643677,57,False,0.9999969037274583
Saint_Lucia,0.999996675183593,2.024198427102238,57,False,0.9999966751835929
Curaçao,0.99999321025986,4.133696309739867,57,False,0.9999932102598599
Brazil.regions.PR:Campo Largo,0.9999918479396884,4.9630973986690865,57,False,0.9999918479396883
Brazil.regions.GO:Rio Verde,0.9999916283388438,5.096793708408954,57,False,0.9999916283388437
Brazil.regions.PR:Cianorte,0.9999914643834622,5.196612220205687,57,False,0.9999914643834621
Saint_Vincent_and_the_Grenadines,0.9999913809152678,5.247428917120387,57,False,0.9999913809152677
Brazil.regions.BA:Porto Seguro,0.999990428980385,5.826981246218995,57,False,0.9999904289803849
Greenland,0.999989589330097,6.338173018753781,57,False,0.9999895893300969
Seychelles,0.9999893965583149,6.455535390199637,57,False,0.9999893965583148
Brazil.regions.MG:Patrocínio,0.9999889315212322,6.738656987295826,57,False,0.9999889315212321
Brazil.regions.PR:Pinhais,0.9999880421874952,7.280096793708409,57,False,0.999988042187495
Gambia,0.9999880272824605,7.289171203871748,57,False,0.9999880272824604
Brazil.regions.RS:Alvorada,0.9999870505058531,7.883847549909256,57,False,0.999987050505853
Antigua_and_Barbuda,0.99998690741752,7.970961887477314,57,False,0.9999869074175199
Suriname,0.9999867335254485,8.076830006049606,57,False,0.9999867335254484
Brazil.regions.MG:Ipatinga,0.9999862078745582,8.396854204476709,57,False,0.999986207874558
Brazil.regions.SP:Vargem Grande Paulista,0.9999854039963534,8.88626739261948,57,False,0.9999854039963533
Brazil.regions.RJ:Barra Mansa,0.9999848445607177,9.226860254083485,57,False,0.9999848445607176
Nicaragua,0.9999845623587273,9.398669086509377,57,False,0.9999845623587272
Brazil.regions.RS:Erechim,0.9999845077069335,9.431941923774955,57,False,0.9999845077069334
Brazil.regions.SP:Jaguariúna,0.9999838230690062,9.84875983061101,57,False,0.9999838230690061
Brazil.regions.RS:Farroupilha,0.9999829377099451,10.387779794313369,57,False,0.999982937709945
Mauritania,0.9999822679770526,10.795523290986086,57,False,0.9999822679770525
Brazil.regions.RJ:Guapimirim,0.9999816459402712,11.174228675136115,57,False,0.9999816459402711
Brazil.regions.MG:Sete Lagoas,0.9999815167633038,11.25287356321839,57,False,0.9999815167633037
Brazil.regions.RS:Bagé,0.9999814183900747,11.312764670296431,57,False,0.9999814183900746
Brazil.regions.GO:Jataí,0.9999812703333968,11.40290381125227,57,False,0.9999812703333967
Brazil.regions.RJ:Miguel Pereira,0.9999812395296583,11.421657592256503,57,False,0.9999812395296582
Brazil.regions.RS:Sapiranga,0.9999810964413253,11.508771929824562,57,False,0.9999810964413252
Bhutan,0.9999807774735827,11.702964307320023,57,False,0.9999807774735826
Brazil.regions.PE:Belo Jardim,0.9999805360120205,11.849969751966123,57,False,0.9999805360120204
Brazil.regions.MG:Coronel Fabriciano,0.9999802905757825,11.999395039322444,57,False,0.9999802905757824
