region,cases_distance,deaths_distance,cases_per_100k_distance,deaths_per_100k_distance,is_same_cluster
Brazil.regions.BA:Barreiras,207.94788456150184,3.842532922387223,1.3265311054363509,0.003036876831011383,False
Brazil.regions.BA:Bom Jesus da Lapa,2.0,0.0,4.337729943325032,0.0,False
Brazil.regions.BA:Campo Alegre de Lourdes,11.232124079915879,0.0,17.11370375018018,0.0,False
Brazil.regions.BA:Campo Formoso,60.82798716920609,0.6445469125902166,1.355511397340421,0.0005094060675293007,False
Brazil.regions.GO:Minaçu,1.018619934282585,0.0,9.617707593782297,0.0,False
Brazil.regions.GO:Padre Bernardo,0.0,0.0,2.9547291005138816,0.0,False
Brazil.regions.GO:Quirinópolis,0.25,0.0,2.4959638874882435,0.0,False
Brazil.regions.MA:Arame,5.859802847754655,0.0,23.35402433462745,0.0,False
Brazil.regions.MA:Parnarama,3.0,0.0,11.458229348839915,0.0,False
Brazil.regions.MG:Diamantina,3.8666666666666667,0.0,10.196948005183485,0.0,False
Brazil.regions.MG:Três Marias,14.419032597266037,0.0,3.0784307318531376,0.0,False
Brazil.regions.MS:Naviraí,32.36200428724545,0.40996784565916405,2.3156388522896356,0.0003240107182135683,False
Brazil.regions.MS:Ponta Porã,225.31544715447157,4.3994579945799455,2.009411775096573,0.003477032551863521,False
Brazil.regions.MT:Sorriso,15.64705882352941,0.0,19.618090499475908,0.0,False
Brazil.regions.PA:Ipixuna do Pará,11.459715639810426,0.0,30.973346618402484,0.0,False
Brazil.regions.PA:Ulianópolis,22.157495256166982,0.0,40.91983088044655,0.0,False
Brazil.regions.RS:Caçapava do Sul,1.6846473029045643,0.0,2.971944380487985,0.0,False
Brazil.regions.RS:Itaqui,0.5454545454545454,0.0,4.590434198973406,0.0,False
Brazil.regions.RS:São Borja,2.155555555555556,0.0,5.233866042273661,0.0,False
Brazil.regions.RS:São Gabriel,87.70755990550118,1.2141410732365845,1.540067888730402,0.0009595745747314921,False
United_States_of_America.regions.California:Tehama,80.5612244897959,0.5409922589725545,1.7759645246707407,1.148042642334981,False
Brazil.regions.AL:Canapi,0.5754475703324808,0.0,5.641458857078285,0.0,False
Brazil.regions.AL:Maravilha,1.0666666666666667,0.0,22.553686003962554,0.0,False
Brazil.regions.AL:Olho d'Água do Casado,0.0,0.0,10.668152375751273,0.0,False
Brazil.regions.BA:Araças,0.0,0.0,8.211413002128166,0.0,False
Brazil.regions.BA:Caldeirão Grande,11.984709480122323,0.0,15.845182721582402,0.0,False
