region,cases_distance,deaths_distance,cases_per_100k_distance,deaths_per_100k_distance,is_same_cluster
Brazil.regions.BA:Barreiras,260.0685346035304,0.7094424208461755,0.7436874063393485,0.002250156233926056,False
Brazil.regions.BA:Bom Jesus da Lapa,0.0,0.0,4.329005100471227,0.0,False
Brazil.regions.BA:Campo Alegre de Lourdes,11.83964248159832,0.0,17.072695141859622,0.0,False
Brazil.regions.BA:Campo Formoso,28.357457898957495,0.0,1.3112622537451746,0.0,False
Brazil.regions.GO:Formosa,13.10803558819376,0.0,5.1774828400350685,0.0,False
Brazil.regions.GO:Minaçu,5.450164293537788,0.0,9.592957091760944,0.0,False
Brazil.regions.GO:Padre Bernardo,2.833333333333333,0.0,2.9433611535266904,0.0,False
Brazil.regions.GO:Quirinópolis,4.892857142857142,0.0,2.4772707661885236,0.0,False
Brazil.regions.MA:Arame,2.8433734939759034,0.0,23.329273832606095,0.0,False
Brazil.regions.MA:Parnarama,1.0,0.0,11.44950450598611,0.0,False
Brazil.regions.MA:Tuntum,12.075411577270312,0.0,35.49626744998653,0.0,False
Brazil.regions.MG:Diamantina,1.0,0.0,10.182091160740223,0.0,False
Brazil.regions.MG:Três Marias,15.77155625657203,0.0,3.0374221235325845,0.0,False
Brazil.regions.MG:Unaí,52.881930415263746,0.0,9.917278649252617,0.0,False
Brazil.regions.MS:Naviraí,18.672829581993568,0.0,2.2789295305565522,0.0,False
Brazil.regions.MS:Nova Andradina,43.43735408560311,0.0,20.209335450779538,0.0,False
Brazil.regions.MS:Ponta Porã,301.1262872628726,1.1414634146341465,1.2275725775019477,0.0036204080031950257,False
Brazil.regions.MS:Sidrolândia,388.9089985781028,2.132338005281332,2.1922365405675097,0.0067631896746439225,False
Brazil.regions.MT:Primavera do Leste,9.00109914266872,0.0,24.009381165428426,0.0,False
Brazil.regions.MT:Sorriso,8.7134724857685,0.0,19.591164571415852,0.0,False
Brazil.regions.PA:Ipixuna do Pará,7.028436018957347,0.0,30.938424578426478,0.0,False
Brazil.regions.PA:Ulianópolis,15.383301707779887,0.0,40.8929049523865,0.0,False
Brazil.regions.PI:Floriano,8.054476266773483,0.0,35.362533224832234,0.0,False
Brazil.regions.RS:Alegrete,46.40928235865867,0.0,2.9182873407760286,0.0,False
Brazil.regions.RS:Caçapava do Sul,8.746887966804978,0.0,2.943151695383763,0.0,False
Brazil.regions.RS:Itaqui,5.327272727272727,0.0,4.568993149831777,0.0,False
Brazil.regions.RS:São Borja,3.6888888888888887,0.0,5.212947679017833,0.0,False
Brazil.regions.RS:São Gabriel,43.16554168072899,0.0,1.4700953633829008,0.0,False
Brazil.regions.RS:Uruguaiana,39.59736753290584,0.0,3.457756449898058,0.0,False
United_States_of_America.regions.California:Del Norte,40.41191360107998,0.0,13.356352529764692,0.0,False
United_States_of_America.regions.California:Tehama,38.55533075299085,0.7477128782547501,1.7144950078352643,1.1488428465594462,False
United_States_of_America.regions.Minnesota:Becker,7.299732722413133,0.0,51.82252938300206,0.0,False
United_States_of_America.regions.Minnesota:Morrison,5.757660725015023,0.0,43.00510574269794,0.0,False
United_States_of_America.regions.Minnesota:Otter Tail,56.45025197984162,0.0,31.538186092218023,0.0,False
United_States_of_America.regions.Oregon:Coos,5.409443808069238,0.0,35.65981771928803,0.0,False
United_States_of_America.regions.West Virginia:Randolph,56.754582865693976,0.0,16.04395685891254,0.0,False
United_States_of_America.regions.Wisconsin:Oneida,86.45428076256499,0.0,17.116132216449838,0.0,False
Brazil.regions.AL:Canapi,6.6291560102301785,0.0,5.618506399207144,0.0,False
Brazil.regions.AL:Maravilha,4.777777777777778,0.0,22.532767640706723,0.0,False
Brazil.regions.AL:Olho d'Água do Casado,2.0,0.0,10.659427532897467,0.0,False
Brazil.regions.BA:Aiquara,16.485647530040055,0.0,48.07077518121323,0.0,False
Brazil.regions.BA:Araças,4.523809523809524,0.0,8.194683329613246,0.0,False
Brazil.regions.BA:Aurelino Leal,22.10727632446692,0.0,14.316133425052953,0.0,False
Brazil.regions.BA:Barra do Rocha,45.71027053296614,0.0,51.6508292075441,0.0,False
Brazil.regions.BA:Barro Preto,15.062687762868013,0.0,52.18207747825041,0.0,False
Brazil.regions.BA:Caldeirão Grande,13.827217125382264,0.0,15.805597067287188,0.0,False
Brazil.regions.BA:Cravolândia,15.323663773412518,0.0,39.51267020364917,0.0,False
Brazil.regions.BA:Dário Meira,11.595911949685535,0.0,24.780231762708414,0.0,False
Brazil.regions.BA:Itamaraju,71.00820734341254,0.0,6.1343419428718375,0.0,False
Brazil.regions.BA:Itatim,19.754011870740825,0.0,27.623590239017396,0.0,False
Brazil.regions.BA:Nordestina,10.061699650756694,0.0,14.715455596704645,0.0,False
Brazil.regions.BA:Ponto Novo,3.266666666666667,0.0,11.159534978999487,0.0,False
Brazil.regions.CE:Antonina do Norte,11.829383886255927,0.0,17.232247365135777,0.0,False
Brazil.regions.CE:Croatá,28.357457898957495,0.0,5.443065147320843,0.0,False
Brazil.regions.CE:Piquet Carneiro,2.6666666666666665,0.0,5.884944432266546,0.0,False
Brazil.regions.CE:Quixelô,13.111551528878822,0.0,20.14731302098947,0.0,False
Brazil.regions.CE:São João do Jaguaribe,11.328232069438098,0.0,79.89135895534302,0.0,False
Brazil.regions.ES:Conceição da Barra,7.436432637571157,0.0,5.023298642094011,0.0,False
Brazil.regions.ES:Domingos Martins,18.19072635906807,0.0,105.07217517200348,0.0,False
Brazil.regions.ES:Ibitirama,12.624892334194659,0.0,11.206644965663239,0.0,False
Brazil.regions.ES:Pancas,5.676348547717843,0.0,64.63308332998778,0.0,False
Brazil.regions.ES:Rio Bananal,7.3797799895233105,0.0,27.187633260027063,0.0,False
Brazil.regions.ES:São Domingos do Norte,2.0,0.0,11.567238703332356,0.0,False
Brazil.regions.GO:Catalão,260.57399831885687,0.7094424208461755,0.9285514294282302,0.002250156233926056,False
Brazil.regions.GO:Guapó,22.766761925697956,0.0,6.962411316111832,0.0,False
Brazil.regions.GO:Jaraguá,10.13914373088685,0.0,11.434510617412144,0.0,False
Brazil.regions.MA:Anapurus,9.462589459986988,0.0,130.18289056351858,0.0,False
Brazil.regions.MA:Buriticupu,28.124585818422794,0.0,58.701849656305825,0.0,False
Brazil.regions.MA:Cajari,6.191932335718933,0.0,81.39297382663595,0.0,False
Brazil.regions.MA:Cantanhede,10.801452784503633,0.0,51.133195926601424,0.0,False
Brazil.regions.MA:Central do Maranhão,4.25,0.0,21.80522706041934,0.0,False
Brazil.regions.MA:Coroatá,44.741559953434226,0.0,86.43838525813973,0.0,False
