region,similarity,distance,days,score
Namibia,0.9999937803749419,2.18,50,0.9999937803749419
Dominica,0.9999937803749419,2.18,50,0.9999937803749419
Grenada,0.9999932668279188,2.36,50,0.9999932668279188
Saint_Lucia,0.999993152706358,2.4,50,0.999993152706358
Brazil.regions.MG:Lagoa da Prata,0.9999917261868494,2.9,50,0.9999917261868494
Greenland,0.9999913838221672,3.02,50,0.9999913838221672
Fiji,0.9999911555790458,3.1,50,0.9999911555790458
Seychelles,0.9999896719987568,3.62,50,0.9999896719987568
Curaçao,0.9999894437556354,3.7,50,0.9999894437556354
Brazil.regions.BA:Porto Seguro,0.9999892725732943,3.76,50,0.9999892725732943
Laos,0.9999891013909533,3.82,50,0.9999891013909533
Brazil.regions.PR:Cianorte,0.9999885878439301,4.0,50,0.9999885878439301
Turks_and_Caicos_islands,0.9999877889930052,4.28,50,0.9999877889930052
New_Caledonia,0.9999873325067624,4.44,50,0.9999873325067624
Vietnam,0.9999867048381786,4.66,50,0.9999867048381786
Brazil.regions.GO:Rio Verde,0.9999866477773982,4.68,50,0.9999866477773982
Brazil.regions.RS:Gravataí,0.999985791865693,4.98,50,0.999985791865693
Brazil.regions.SC:Jaraguá do Sul,0.9999856777441323,5.02,50,0.9999856777441323
Suriname,0.9999855636225716,5.06,50,0.9999855636225716
Brazil.regions.SC:Imbituba,0.9999854495010109,5.1,50,0.9999854495010109
Belize,0.9999847647716468,5.34,50,0.9999847647716468
Brazil.regions.RS:Torres,0.9999847077108663,5.36,50,0.9999847077108663
Brazil.regions.SC:Gravatal,0.9999844794677449,5.44,50,0.9999844794677449
Brazil.regions.PR:Telêmaco Borba,0.9999842512246235,5.52,50,0.9999842512246235
Brazil.regions.PR:Campo Largo,0.9999840229815021,5.6,50,0.9999840229815021
Brazil.regions.PR:Pato Branco,0.999983509434479,5.78,50,0.999983509434479
Saint_Vincent_and_the_Grenadines,0.9999834523736987,5.8,50,0.9999834523736987
Brazil.regions.PR:Colombo,0.9999833953129184,5.82,50,0.9999833953129184
Brazil.regions.MG:Betim,0.9999833953129184,5.82,50,0.9999833953129184
Sweden.regions.Gotland,0.9999828247051149,6.02,50,0.9999828247051149
Brazil.regions.PR:Ponta Grossa,0.9999825964619935,6.1,50,0.9999825964619935
Brazil.regions.RS:Viamão,0.9999823111580917,6.2,50,0.9999823111580917
Brazil.regions.RS:Pelotas,0.9999822540973113,6.22,50,0.9999822540973113
Brazil.regions.RS:Sant'Ana do Livramento,0.9999822540973113,6.22,50,0.9999822540973113
Brazil.regions.BA:Brumado,0.999982197036531,6.24,50,0.999982197036531
Brazil.regions.PR:Pinhais,0.999982197036531,6.24,50,0.999982197036531
Brazil.regions.MG:Timóteo,0.9999814552463865,6.5,50,0.9999814552463865
Brazil.regions.BA:Teixeira de Freitas,0.999981055820924,6.64,50,0.999981055820924
Brazil.regions.GO:Luziânia,0.9999808846385829,6.7,50,0.9999808846385829
Brazil.regions.SC:Içara,0.9999806563954615,6.78,50,0.9999806563954615
Nicaragua,0.9999804852131206,6.84,50,0.9999804852131206
Brazil.regions.MG:Mariana,0.9999800287268777,7.0,50,0.9999800287268777
Gambia,0.9999800287268777,7.0,50,0.9999800287268777
Brazil.regions.RS:Canoas,0.9999798575445367,7.06,50,0.9999798575445367
Brazil.regions.RS:Farroupilha,0.999979743422976,7.1,50,0.999979743422976
Brazil.regions.RS:Alvorada,0.9999796863621956,7.12,50,0.9999796863621956
Brazil.regions.MT:Várzea Grande,0.9999793439975135,7.24,50,0.9999793439975135
Brazil.regions.SC:Laguna,0.9999788875112707,7.4,50,0.9999788875112707
Brazil.regions.PR:Guaíra,0.9999783169034673,7.6,50,0.9999783169034673
Mongolia,0.9999782027819065,7.64,50,0.9999782027819065
Brazil.regions.BA:Juazeiro,0.9999780886603459,7.68,50,0.9999780886603459
Antigua_and_Barbuda,0.9999778604172245,7.76,50,0.9999778604172245
Brazil.regions.RS:Santa Maria,0.9999776321741031,7.84,50,0.9999776321741031
Brazil.regions.RS:Capão da Canoa,0.9999775180525423,7.88,50,0.9999775180525423
Brazil.regions.ES:Cachoeiro de Itapemirim,0.9999775180525423,7.88,50,0.9999775180525423
Brazil.regions.MG:Poços de Caldas,0.999977460991762,7.9,50,0.999977460991762
Brazil.regions.MG:Patrocínio,0.9999771756878603,8.0,50,0.9999771756878603
Mauritania,0.9999771756878603,8.0,50,0.9999771756878603
Brazil.regions.SC:São Ludgero,0.9999770615662996,8.04,50,0.9999770615662996
Brazil.regions.RJ:Barra Mansa,0.9999768903839585,8.1,50,0.9999768903839585
Brazil.regions.SC:Tijucas,0.9999768333231782,8.12,50,0.9999768333231782
Brazil.regions.SP:Vargem Grande Paulista,0.9999766621408371,8.18,50,0.9999766621408371
Brazil.regions.CE:Juazeiro do Norte,0.9999764338977157,8.26,50,0.9999764338977157
Brazil.regions.GO:Valparaíso de Goiás,0.9999764338977157,8.26,50,0.9999764338977157
Brazil.regions.RR:Bonfim,0.9999762056545943,8.34,50,0.9999762056545943
Brazil.regions.RS:Serafina Corrêa,0.999976148593814,8.36,50,0.999976148593814
Papua_New_Guinea,0.9999760915330336,8.38,50,0.9999760915330336
Brazil.regions.RS:Erechim,0.9999758062291318,8.48,50,0.9999758062291318
Brazil.regions.MG:Ipatinga,0.9999756921075712,8.52,50,0.9999756921075712
Brazil.regions.SC:Porto Belo,0.999975349742889,8.64,50,0.999975349742889
Timor_Leste,0.9999752356213284,8.68,50,0.9999752356213284
Brazil.regions.GO:Jataí,0.9999752356213284,8.68,50,0.9999752356213284
Brazil.regions.SC:Lages,0.9999746650135249,8.88,50,0.9999746650135249
Brazil.regions.MG:Sete Lagoas,0.9999744367704035,8.96,50,0.9999744367704035
Brazil.regions.RS:Rio Grande,0.9999743797096231,8.98,50,0.9999743797096231
Brazil.regions.SC:Gaspar,0.9999739802841607,9.12,50,0.9999739802841607
Bhutan,0.9999738091018197,9.18,50,0.9999738091018197
Brazil.regions.BA:Prado,0.9999738091018197,9.18,50,0.9999738091018197
Brazil.regions.SC:Jaguaruna,0.9999737520410393,9.2,50,0.9999737520410393
