region,cases_distance,deaths_distance,cases_per_100k_distance,deaths_per_100k_distance,is_same_cluster
Brazil.regions.AC:Epitaciolândia,0.41818181818181815,0.0,2.4955730379079553,0.0,True
Brazil.regions.AC:Plácido de Castro,34.38240719391284,2.085543002075167,167.42583717581587,10.553833318532297,True
Brazil.regions.AM:Careiro da Várzea,6.3299021262234225,0.11896726290921364,28.331292332959542,0.39360550176745623,True
Brazil.regions.AM:Parintins,148.11480069324094,12.41102253032929,95.2165212463314,10.86085298393259,True
Brazil.regions.BA:Abaré,1.0,0.0,6.158505618179505,0.0,True
Brazil.regions.BA:Anagé,1.0,0.9,6.5926759500107535,4.08997955010225,True
Brazil.regions.BA:Belmonte,12.605470901413621,0.9206902882320543,72.72329594690082,3.9467176278808904,True
Brazil.regions.BA:Bom Jesus da Lapa,1.0,0.0,6.798577396995166,0.0,True
Brazil.regions.BA:Boquira,1.0,0.0,6.48766490314443,0.0,True
Brazil.regions.BA:Caetanos,4.305817610062893,0.0,21.34247628507115,0.0,True
Brazil.regions.BA:Campo Alegre de Lourdes,2.7996941896024463,0.0,24.518923544367116,0.0,True
Brazil.regions.BA:Cristópolis,0.0,0.0,3.2410475469201288,0.0,True
Brazil.regions.BA:Ibotirama,12.322268630468235,0.0,70.51273279898446,0.0,True
Brazil.regions.BA:Itarantim,12.642887117079312,0.17415023080151068,70.92819312363811,0.881907281113641,True
Brazil.regions.BA:Jaguarari,3.6872037914691944,0.0,25.957240794860528,0.0,True
Brazil.regions.BA:Licínio de Almeida,4.865443425076452,0.0,21.067544188570597,0.0,True
Brazil.regions.BA:Mirangaba,0.0,0.0,0.2307829161027204,0.0,True
Brazil.regions.BA:Monte Santo,1.0,0.0,9.113543501801441,0.0,True
Brazil.regions.BA:Palmeiras,12.68485102811582,0.0,65.11705752926306,0.0,True
Brazil.regions.BA:Pau Brasil,0.7291361639824304,0.0,24.614129774069838,0.0,True
Brazil.regions.BA:Queimadas,1.0,0.0,7.206125542938983,0.0,True
Brazil.regions.BA:Ruy Barbosa,0.8000000000000002,0.0,7.242763927944691,0.0,True
Brazil.regions.BA:Santa Luzia,10.273259513809341,0.0,52.2433432869509,0.0,True
Brazil.regions.BA:Santa Teresinha,8.077102803738319,0.0,34.84174490482087,0.0,True
Brazil.regions.BA:Serra do Ramalho,9.58825283243888,0.0,57.78350566350271,0.0,True
Brazil.regions.BA:Umburanas,1.6666666666666665,0.0,8.475326307247304,0.0,True
Brazil.regions.BA:Una,6.460614152202938,0.0,37.29570938670978,0.0,True
Brazil.regions.BA:Várzea Nova,3.9668184775536757,0.0,19.782095061439257,0.0,True
Brazil.regions.CE:Alto Santo,1.6727828746177371,0.9923547400611621,10.512579075756367,5.787674909956621,True
Brazil.regions.CE:Banabuiú,9.423937871174052,0.3631795340338054,51.33796277789402,1.995820926712125,True
Brazil.regions.CE:Catunda,1.1966717095310135,0.0,14.350324855956616,0.0,True
Brazil.regions.CE:Choró,5.920749279538906,0.0,55.768458699336314,0.0,True
Brazil.regions.CE:Ibaretama,6.958341678349689,0.9513318646104546,33.512040764225,7.124480376023775,True
Brazil.regions.CE:Jaguaretama,1.7831620166421929,0.47968673519334315,9.853790387528385,2.6411559034982,True
Brazil.regions.CE:Parambu,1.573055028462998,1.0,4.957332711826377,3.172488182481521,True
Brazil.regions.CE:Potiretama,5.431247144814984,0.0,5.24780739880126,0.0,True
Brazil.regions.CE:Solonópole,3.425076452599389,1.0,18.046849454438064,5.457323728443571,True
Brazil.regions.CE:Tamboril,3.049335863377609,0.0,5.270377814291985,0.0,True
Brazil.regions.CE:Tauá,33.25508939635334,1.862276509116658,21.408541125665767,3.1639621962939537,True
Brazil.regions.GO:Avelinópolis,3.141078838174274,0.0,18.31380389605991,0.0,True
Brazil.regions.GO:Caldazinha,1.0,0.0,15.151020098421027,0.0,True
Brazil.regions.GO:Campestre de Goiás,14.164866689166388,0.0,58.608195633686826,0.0,True
Brazil.regions.GO:Campinorte,5.859327217125383,0.0,29.305483250168226,0.0,True
Brazil.regions.GO:Formosa,5.578115682766845,0.0,58.67812303928512,0.0,True
Brazil.regions.GO:Goiatuba,8.638920913073553,0.2663131196679732,59.544263312984235,0.7810914200556481,True
Brazil.regions.GO:Indiara,1.0,0.0,4.731358129716389,0.0,True
Brazil.regions.GO:Minaçu,1.166240409207161,0.0,6.9672653512391545,0.0,True
Brazil.regions.GO:Morrinhos,10.112687155240348,0.0,59.71403635656106,0.0,True
Brazil.regions.GO:Padre Bernardo,1.0,0.0,8.181578239806317,0.0,True
Brazil.regions.GO:Pirenópolis,1.0,0.0,7.122323302666162,0.0,True
Brazil.regions.GO:Quirinópolis,1.2857142857142858,0.0,10.73070824992725,0.0,True
Brazil.regions.GO:Vianópolis,12.344251483842605,0.0,67.09467020686668,0.0,True
Brazil.regions.MA:Aldeias Altas,3.607683352735739,0.0,23.10411552932613,0.0,True
Brazil.regions.MA:Altamira do Maranhão,10.764157604858074,0.8642847055500636,53.272335216233856,10.633424034818697,True
Brazil.regions.MA:Amapá do Maranhão,1.7362428842504745,0.0,10.32165539682047,0.0,True
Brazil.regions.MA:Arame,5.181585677749361,0.0,12.872506188743811,0.0,True
Brazil.regions.MA:Açailândia,37.911069861626736,0.5315558555518056,40.60154640811473,0.4727252039235232,True
Brazil.regions.MA:Bacurituba,0.4000000000000001,0.0,17.211591200793034,0.0,True
Brazil.regions.MA:Barra do Corda,83.66390041493776,1.3941908713692945,77.39653164093194,1.5805002396151255,True
Brazil.regions.MA:Belágua,5.829046898638427,0.0,99.7171340008663,0.0,True
Brazil.regions.MA:Bom Jesus das Selvas,7.944140197152245,0.0,17.98708350694611,0.0,True
Brazil.regions.MA:Buriti Bravo,0.5454545454545454,0.0,6.051889481337404,0.0,True
Brazil.regions.MA:Centro do Guilherme,3.540090771558244,0.0,31.46530581334709,0.0,True
Brazil.regions.MA:Cidelândia,12.0,0.0,84.94414510984302,0.0,True
Brazil.regions.MA:Cândido Mendes,9.5850622406639,0.0,44.965480653825736,0.0,True
Brazil.regions.MA:Estreito,30.063400576368874,0.0,51.55420182757294,0.0,True
Brazil.regions.MA:Itaipava do Grajaú,0.0,0.0,1.3185291570736055,0.0,True
Brazil.regions.MA:Lagoa Grande do Maranhão,1.0,0.0,2.360548611437336,0.0,True
Brazil.regions.MA:Luís Domingues,1.857685009487666,0.0,59.671140802447255,0.0,True
Brazil.regions.MA:Milagres do Maranhão,4.481041571493833,0.0,6.533814067906077,0.0,True
Brazil.regions.MA:Morros,7.531226486079759,1.128668171557562,36.450857573518704,5.807997589448681,True
Brazil.regions.MA:Paulino Neves,1.7333682556312204,0.0,11.755122464106861,0.0,True
Brazil.regions.MA:Pedro do Rosário,2.807228915662651,0.0,6.940198592497261,0.0,True
Brazil.regions.MA:Primeira Cruz,6.6,0.0,45.01699961789175,0.0,True
Brazil.regions.MA:Santa Filomena do Maranhão,1.0,0.0,1.7279479985655453,0.0,True
Brazil.regions.MA:Santa Luzia,7.81024447031432,0.7334109429569267,11.845389677188892,1.009276484452264,True
Brazil.regions.MA:Santana do Maranhão,1.7715582450832073,0.0,7.963065881700051,0.0,True
Brazil.regions.MA:Santo Amaro do Maranhão,4.0,0.0,26.72734761352998,0.0,True
Brazil.regions.MA:São Francisco do Brejão,5.388379204892965,0.0,24.528395095289625,0.0,True
Brazil.regions.MA:São João do Soter,1.0,0.0,5.74422704731288,0.0,True
Brazil.regions.MA:São Raimundo do Doca Bezerra,7.0,0.0,160.7170172789614,0.0,True
Brazil.regions.MA:Tuntum,8.72385252069225,0.0,24.69227220669336,0.0,True
Brazil.regions.MA:Turiaçu,18.021905805038337,0.0,41.25885380801939,0.0,True
Brazil.regions.MA:Vila Nova dos Martírios,5.155555555555556,0.0,43.56020058130239,0.0,True
Brazil.regions.MG:Abaeté,10.680836040107332,0.0,60.84723180871015,0.0,True
Brazil.regions.MG:Alvarenga,0.0,0.0,40.053073814727895,0.0,True
Brazil.regions.MG:Andrelândia,1.0,0.0,2.9564694000952763,0.0,True
Brazil.regions.MG:Araçuaí,1.0,0.0,8.412895863476585,0.0,True
Brazil.regions.MG:Bocaiúva,1.0,0.0,9.136257319398348,0.0,True
Brazil.regions.MG:Cachoeira Dourada,1.0,0.0,26.010004853656383,0.0,True
Brazil.regions.MG:Catuji,1.9254947613504074,0.0,26.695550903010258,0.0,True
Brazil.regions.MG:Diamantina,2.4,0.0,3.1744800665799744,0.0,True
Brazil.regions.MG:Guapé,0.6785714285714286,0.0,3.052929046915014,0.0,True
Brazil.regions.MG:Itacarambi,3.5915080527086385,0.0,20.0593054840184,0.0,True
Brazil.regions.MG:Itambacuri,1.3818181818181818,0.8181818181818182,9.390326730243688,3.524974443935282,True
Brazil.regions.MG:Jequitibá,1.0,0.0,8.053076958242551,0.0,True
Brazil.regions.MG:Martinho Campos,5.966865473823725,0.9609012591119948,31.32595506583384,7.1773323805795854,True
Brazil.regions.MG:Medina,1.9272727272727275,0.0,9.089820765671528,0.0,True
Brazil.regions.MG:Nova Ponte,1.3214285714285714,0.0,10.507280802760649,0.0,True
Brazil.regions.MG:Pedra Azul,1.0,0.0,7.4423268626944985,0.0,True
Brazil.regions.MG:Pedra do Indaiá,1.0,0.0,14.039135963101552,0.0,True
Brazil.regions.MG:Santa Rita de Jacutinga,1.6666666666666665,0.0,5.625556911891692,0.0,True
Brazil.regions.MG:Senador José Bento,2.10011641443539,0.0,205.73604454668228,0.0,True
Brazil.regions.MG:São Francisco,10.05099894847529,1.9200841219768665,13.435514888756664,3.4090586829126046,True
Brazil.regions.MG:São João do Paraíso,2.3910186199342824,0.0,14.648994020741306,0.0,True
Brazil.regions.MG:São Sebastião do Rio Preto,1.0,0.0,55.263964744652085,0.0,True
Brazil.regions.MG:Três Marias,6.764439411098528,0.0,40.14604315908008,0.0,True
Brazil.regions.MG:Tupaciguara,3.363914373088685,0.0,24.727332246314585,0.0,True
Brazil.regions.MG:Vazante,7.905234032741527,0.0,47.632149890389286,0.0,True
Brazil.regions.MS:Deodápolis,1.0,0.0,3.3995551158625252,0.0,True
Brazil.regions.MS:Jardim,10.771558245083204,0.0,36.57734697498141,0.0,True
Brazil.regions.MS:Naviraí,10.218843172331546,0.0,61.42116311494762,0.0,True
Brazil.regions.MS:Nova Andradina,5.545055686803916,0.0,64.25373806106283,0.0,True
Brazil.regions.MS:Paranhos,1.0,0.0,4.108702957699411,0.0,True
Brazil.regions.MS:Ponta Porã,15.077642980935874,0.0,89.68036110276735,0.0,True
Brazil.regions.MS:Sidrolândia,15.101213171577124,0.0,88.88849133764822,0.0,True
Brazil.regions.MT:Curvelândia,1.624593363695511,0.0,37.6282315175289,0.0,True
Brazil.regions.MT:Jaciara,2.1891279728199318,0.0,11.287802313960626,0.0,True
Brazil.regions.MT:Lucas do Rio Verde,6.761887277400404,1.1591701854231686,63.37610596537312,1.7688073144065202,True
