region,cases_distance,deaths_distance,cases_per_100k_distance,deaths_per_100k_distance,is_same_cluster
Brazil.regions.BA:Barreiras,16.489773045671058,0.0,0.902570706875305,0.0,False
Brazil.regions.BA:Bom Jesus da Lapa,2.0,0.0,4.307031075517179,0.0,False
Brazil.regions.BA:Campo Alegre de Lourdes,3.9319137749737116,0.0,17.09440070562347,0.0,False
Brazil.regions.BA:Campo Formoso,0.4991980753809142,0.0,1.3571674879405473,0.0,False
Brazil.regions.GO:Formosa,5.371840135574073,0.0,5.207778448252846,0.0,False
Brazil.regions.GO:Minaçu,1.7962760131434832,0.0,9.587623332479083,0.0,False
Brazil.regions.GO:Padre Bernardo,0.0,0.0,2.9240302327060284,0.0,False
Brazil.regions.GO:Quirinópolis,0.25,0.0,2.4652650196803902,0.0,False
Brazil.regions.MA:Arame,6.637458926615554,0.0,23.323940073324234,0.0,False
Brazil.regions.MA:Parnarama,3.0,0.0,11.427530481032061,0.0,False
Brazil.regions.MA:Tuntum,13.873251902991681,0.0,35.52323422479686,0.0,False
Brazil.regions.MG:Diamantina,3.8666666666666667,0.0,10.166249137375631,0.0,False
Brazil.regions.MG:Três Marias,0.0,0.0,3.0591276872964306,0.0,False
Brazil.regions.MG:Unaí,4.995136550692105,0.0,10.000683532792214,0.0,False
Brazil.regions.MS:Naviraí,0.2853697749196141,0.0,2.3107422497805667,0.0,False
Brazil.regions.MS:Nova Andradina,8.310505836575876,0.0,20.287376020699156,0.0,False
Brazil.regions.MS:Ponta Porã,21.11111111111111,0.0,1.4605340261274042,0.0,False
Brazil.regions.MS:Sidrolândia,33.55169612025188,0.06246191346739793,2.3840072960256546,0.0019668756752039534,False
Brazil.regions.MT:Primavera do Leste,13.58100681468455,0.0,24.042059593715933,0.0,False
Brazil.regions.MT:Sorriso,16.719165085388994,0.0,19.588238951582493,0.0,False
Brazil.regions.PA:Ipixuna do Pará,18.843601895734597,0.0,30.948483472381888,0.0,False
Brazil.regions.PA:Ulianópolis,23.229601518026566,0.0,40.88997933255313,0.0,False
Brazil.regions.PI:Floriano,20.22872020829161,0.0,35.388082349830576,0.0,False
Brazil.regions.RS:Alegrete,0.8715373400291591,0.0,2.9920690672190373,0.0,False
Brazil.regions.RS:Caçapava do Sul,0.0,0.0,2.942576943396785,0.0,False
